onset	duration	category
323060	n/a	MRI_trigger
333560	n/a	MRI_trigger
344060	n/a	MRI_trigger
354560	n/a	MRI_trigger
365060	n/a	MRI_trigger
375560	n/a	MRI_trigger
386060	n/a	MRI_trigger
396560	n/a	MRI_trigger
407060	n/a	MRI_trigger
417560	n/a	MRI_trigger
428060	n/a	MRI_trigger
438560	n/a	MRI_trigger
449060	n/a	MRI_trigger
459560	n/a	MRI_trigger
470060	n/a	MRI_trigger
480560	n/a	MRI_trigger
491060	n/a	MRI_trigger
501560	n/a	MRI_trigger
512060	n/a	MRI_trigger
522560	n/a	MRI_trigger
533060	n/a	MRI_trigger
543560	n/a	MRI_trigger
554060	n/a	MRI_trigger
564560	n/a	MRI_trigger
575060	n/a	MRI_trigger
585560	n/a	MRI_trigger
596060	n/a	MRI_trigger
606560	n/a	MRI_trigger
617060	n/a	MRI_trigger
627560	n/a	MRI_trigger
638060	n/a	MRI_trigger
648560	n/a	MRI_trigger
659060	n/a	MRI_trigger
669560	n/a	MRI_trigger
680060	n/a	MRI_trigger
690560	n/a	MRI_trigger
701060	n/a	MRI_trigger
711560	n/a	MRI_trigger
722060	n/a	MRI_trigger
732560	n/a	MRI_trigger
743060	n/a	MRI_trigger
753560	n/a	MRI_trigger
764060	n/a	MRI_trigger
774560	n/a	MRI_trigger
785060	n/a	MRI_trigger
795560	n/a	MRI_trigger
806060	n/a	MRI_trigger
816560	n/a	MRI_trigger
827060	n/a	MRI_trigger
837560	n/a	MRI_trigger
848060	n/a	MRI_trigger
858560	n/a	MRI_trigger
869060	n/a	MRI_trigger
879560	n/a	MRI_trigger
890060	n/a	MRI_trigger
900560	n/a	MRI_trigger
911060	n/a	MRI_trigger
921560	n/a	MRI_trigger
932060	n/a	MRI_trigger
942560	n/a	MRI_trigger
953060	n/a	MRI_trigger
963560	n/a	MRI_trigger
974060	n/a	MRI_trigger
984560	n/a	MRI_trigger
995060	n/a	MRI_trigger
1005560	n/a	MRI_trigger
1016060	n/a	MRI_trigger
1026560	n/a	MRI_trigger
1037060	n/a	MRI_trigger
1047560	n/a	MRI_trigger
1058060	n/a	MRI_trigger
1068560	n/a	MRI_trigger
1079060	n/a	MRI_trigger
1089560	n/a	MRI_trigger
1100060	n/a	MRI_trigger
1110560	n/a	MRI_trigger
1121060	n/a	MRI_trigger
1131560	n/a	MRI_trigger
1142060	n/a	MRI_trigger
1152560	n/a	MRI_trigger
1163060	n/a	MRI_trigger
1173560	n/a	MRI_trigger
1184060	n/a	MRI_trigger
1194560	n/a	MRI_trigger
1205060	n/a	MRI_trigger
1215560	n/a	MRI_trigger
1226060	n/a	MRI_trigger
1236560	n/a	MRI_trigger
1247060	n/a	MRI_trigger
1257560	n/a	MRI_trigger
1268060	n/a	MRI_trigger
1278560	n/a	MRI_trigger
1289060	n/a	MRI_trigger
1299560	n/a	MRI_trigger
1310060	n/a	MRI_trigger
1320560	n/a	MRI_trigger
1331060	n/a	MRI_trigger
1341560	n/a	MRI_trigger
1352060	n/a	MRI_trigger
1362560	n/a	MRI_trigger
1373060	n/a	MRI_trigger
1383560	n/a	MRI_trigger
1394060	n/a	MRI_trigger
1404560	n/a	MRI_trigger
1415060	n/a	MRI_trigger
1425560	n/a	MRI_trigger
1436060	n/a	MRI_trigger
1446560	n/a	MRI_trigger
1457060	n/a	MRI_trigger
1467560	n/a	MRI_trigger
1478060	n/a	MRI_trigger
1488560	n/a	MRI_trigger
1499060	n/a	MRI_trigger
1509560	n/a	MRI_trigger
1520060	n/a	MRI_trigger
1530560	n/a	MRI_trigger
1541060	n/a	MRI_trigger
1551560	n/a	MRI_trigger
1562060	n/a	MRI_trigger
1572560	n/a	MRI_trigger
1583060	n/a	MRI_trigger
1593560	n/a	MRI_trigger
1604060	n/a	MRI_trigger
1614560	n/a	MRI_trigger
1625060	n/a	MRI_trigger
1635560	n/a	MRI_trigger
1646060	n/a	MRI_trigger
1656560	n/a	MRI_trigger
1667060	n/a	MRI_trigger
1677560	n/a	MRI_trigger
1688060	n/a	MRI_trigger
1698560	n/a	MRI_trigger
1709060	n/a	MRI_trigger
1719560	n/a	MRI_trigger
1730060	n/a	MRI_trigger
1740560	n/a	MRI_trigger
1751060	n/a	MRI_trigger
1761560	n/a	MRI_trigger
1772060	n/a	MRI_trigger
1782560	n/a	MRI_trigger
1793060	n/a	MRI_trigger
1803560	n/a	MRI_trigger
1814060	n/a	MRI_trigger
1824560	n/a	MRI_trigger
1835060	n/a	MRI_trigger
1845560	n/a	MRI_trigger
1856060	n/a	MRI_trigger
1866560	n/a	MRI_trigger
1877060	n/a	MRI_trigger
1887560	n/a	MRI_trigger
1898060	n/a	MRI_trigger
1908560	n/a	MRI_trigger
1919060	n/a	MRI_trigger
1929560	n/a	MRI_trigger
1940060	n/a	MRI_trigger
1950560	n/a	MRI_trigger
1961060	n/a	MRI_trigger
1971560	n/a	MRI_trigger
1982060	n/a	MRI_trigger
1992560	n/a	MRI_trigger
2003060	n/a	MRI_trigger
2013560	n/a	MRI_trigger
2024060	n/a	MRI_trigger
2034560	n/a	MRI_trigger
2045060	n/a	MRI_trigger
2055560	n/a	MRI_trigger
2066060	n/a	MRI_trigger
2076560	n/a	MRI_trigger
2087060	n/a	MRI_trigger
2097560	n/a	MRI_trigger
2108060	n/a	MRI_trigger
2118560	n/a	MRI_trigger
2129060	n/a	MRI_trigger
2139560	n/a	MRI_trigger
2150060	n/a	MRI_trigger
2160560	n/a	MRI_trigger
2171060	n/a	MRI_trigger
2181560	n/a	MRI_trigger
2192060	n/a	MRI_trigger
2202560	n/a	MRI_trigger
2213060	n/a	MRI_trigger
2223560	n/a	MRI_trigger
2234060	n/a	MRI_trigger
2244560	n/a	MRI_trigger
2255060	n/a	MRI_trigger
2265560	n/a	MRI_trigger
2276060	n/a	MRI_trigger
2286560	n/a	MRI_trigger
2297060	n/a	MRI_trigger
2307560	n/a	MRI_trigger
2318060	n/a	MRI_trigger
2328560	n/a	MRI_trigger
2339060	n/a	MRI_trigger
2349560	n/a	MRI_trigger
2360060	n/a	MRI_trigger
2370560	n/a	MRI_trigger
2381060	n/a	MRI_trigger
2391560	n/a	MRI_trigger
2402060	n/a	MRI_trigger
2412560	n/a	MRI_trigger
2423060	n/a	MRI_trigger
2433560	n/a	MRI_trigger
2444060	n/a	MRI_trigger
2454560	n/a	MRI_trigger
2465060	n/a	MRI_trigger
2475560	n/a	MRI_trigger
2486060	n/a	MRI_trigger
2496560	n/a	MRI_trigger
2507060	n/a	MRI_trigger
2517560	n/a	MRI_trigger
2528060	n/a	MRI_trigger
2538560	n/a	MRI_trigger
2549060	n/a	MRI_trigger
2559560	n/a	MRI_trigger
2570060	n/a	MRI_trigger
2580560	n/a	MRI_trigger
2591060	n/a	MRI_trigger
2601560	n/a	MRI_trigger
2612060	n/a	MRI_trigger
2622560	n/a	MRI_trigger
2633060	n/a	MRI_trigger
2643560	n/a	MRI_trigger
2654060	n/a	MRI_trigger
2664560	n/a	MRI_trigger
2675060	n/a	MRI_trigger
2685560	n/a	MRI_trigger
2696060	n/a	MRI_trigger
2706560	n/a	MRI_trigger
2717060	n/a	MRI_trigger
2727560	n/a	MRI_trigger
2738060	n/a	MRI_trigger
2748560	n/a	MRI_trigger
2759060	n/a	MRI_trigger
2769560	n/a	MRI_trigger
2780060	n/a	MRI_trigger
2790560	n/a	MRI_trigger
2801060	n/a	MRI_trigger
2811560	n/a	MRI_trigger
2822060	n/a	MRI_trigger
2832560	n/a	MRI_trigger
2843060	n/a	MRI_trigger
2853560	n/a	MRI_trigger
2864060	n/a	MRI_trigger
2874560	n/a	MRI_trigger
2885060	n/a	MRI_trigger
2895560	n/a	MRI_trigger
2906060	n/a	MRI_trigger
2916560	n/a	MRI_trigger
2927060	n/a	MRI_trigger
2937560	n/a	MRI_trigger
2948060	n/a	MRI_trigger
2958560	n/a	MRI_trigger
2969060	n/a	MRI_trigger
2979560	n/a	MRI_trigger
2990060	n/a	MRI_trigger
3000560	n/a	MRI_trigger
3011060	n/a	MRI_trigger
3021560	n/a	MRI_trigger
3032060	n/a	MRI_trigger
3042560	n/a	MRI_trigger
3053060	n/a	MRI_trigger
3063560	n/a	MRI_trigger
3074060	n/a	MRI_trigger
3084560	n/a	MRI_trigger
3095060	n/a	MRI_trigger
3105560	n/a	MRI_trigger
3116060	n/a	MRI_trigger
3126560	n/a	MRI_trigger
3137060	n/a	MRI_trigger
3147560	n/a	MRI_trigger
3158060	n/a	MRI_trigger
3168560	n/a	MRI_trigger
3179060	n/a	MRI_trigger
3189560	n/a	MRI_trigger
3200060	n/a	MRI_trigger
3210560	n/a	MRI_trigger
3221060	n/a	MRI_trigger
3231560	n/a	MRI_trigger
3242060	n/a	MRI_trigger
3252560	n/a	MRI_trigger
3263060	n/a	MRI_trigger
3273560	n/a	MRI_trigger
3284060	n/a	MRI_trigger
3294560	n/a	MRI_trigger
3305060	n/a	MRI_trigger
3315560	n/a	MRI_trigger
3326060	n/a	MRI_trigger
3336560	n/a	MRI_trigger
3347060	n/a	MRI_trigger
3357560	n/a	MRI_trigger
3368060	n/a	MRI_trigger
3378560	n/a	MRI_trigger
3389060	n/a	MRI_trigger
