num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	4.200343746	2.979859645	1.917125602	1.430671249	0.655464061	0.039810462
2	0	4.200343746	2.979859645	1.917125602	1.430671249	0.655464061	0.039810462
3	0	4.200343746	2.979859645	1.917125602	1.430671249	0.655464061	0.039810462
4	0	4.223830961	2.971869886	1.929600392	1.425028679	0.65792663	0.159807845
5	0	4.254409636	2.948897577	1.966611604	1.477585156	0.674123781	0.236982593
6	0	4.338810231	2.91539749	2.034226175	1.587278876	0.705576535	0.279570653
7	0	4.44712522	2.95486061	2.203972847	1.744230277	0.78366617	0.306966783
8	0	4.565827031	3.018863078	2.387389716	1.922150248	0.894310489	0.311289687
9	0	4.63934851	3.108818379	2.530028197	1.929426857	0.999505424	0.222577167
10	0	4.691330536	3.204826739	2.640340383	2.04295874	1.074589717	0.17141817
11	0	4.658696541	3.290296693	2.713207939	2.066930977	1.125739799	0.155790916
12	0	4.562879943	3.254258141	2.668769695	2.02510503	1.105188567	0.146285649
13	0	4.390959021	3.19073976	2.576363927	1.894735027	1.029778828	0.165371187
14	0	4.22115477	3.069754163	2.485732857	1.921303883	0.936810349	0.169796928
15	0	4.029773936	3.034367776	2.380912751	1.796236626	0.880935884	0.164652721
16	0	3.896440046	3.019480235	2.272703388	1.77590226	0.83599589	0.160765774
17	0	3.849269928	3.12907438	2.27638816	1.830524382	0.8812767	0.151783099
18	0	3.962565984	3.25506827	2.330201034	1.804268533	0.982493468	0.156925715
19	0	4.032842353	3.389402572	2.376932058	1.936004789	1.08981607	0.202341343
20	0	4.174298696	3.379595132	2.458639521	2.045410726	1.135938002	0.235600151
21	0	4.342240331	3.378813864	2.56306578	2.070166968	1.189014515	0.25245225
22	0	4.447840313	3.332448654	2.616863319	2.019515804	1.180704499	0.285220668
23	0	4.463955587	3.236297376	2.62284591	2.021603929	1.117232366	0.300002255
24	0	4.707132583	3.141243481	2.673162365	1.976832788	1.043876694	0.283681737
25	0	4.848262586	3.12702688	2.675419448	1.932960959	1.112133475	0.266249266
26	0	4.986757481	3.076089078	2.641098015	1.932062003	1.201307302	0.268023458
27	0	5.131644272	3.12741933	2.633364707	2.024795206	1.312102919	0.275230612
28	0	5.300726487	3.18775875	2.690464249	2.15283393	1.445219413	0.263045828
29	0	5.267476516	3.255188819	2.702512451	2.123228093	1.558142262	0.261793043
30	0	5.252941439	3.343682792	2.751868744	2.095752349	1.533610427	0.278925122
31	0	5.158807211	3.431569684	2.837983746	2.072618032	1.464455177	0.277369484
32	0	5.033722581	3.381725455	2.895033288	1.961822022	1.39019118	0.261523077
33	0	4.790584721	3.331024102	2.886742449	1.833617587	1.287348241	0.267419962
34	0	4.573795906	3.225511893	2.841692405	1.784166981	1.154139836	0.217108591
35	0	4.239704275	3.038412562	2.761356335	1.702152348	1.101637266	0.145086999
36	0	3.909841864	2.798308922	2.601327642	1.573624409	1.048615772	0.067383396
37	0	3.457895471	2.637214355	2.415112342	1.466087019	0.991369093	-0.015280258
38	0	2.995039367	2.463097544	2.209592879	1.404544957	0.941560736	-0.085761617
39	0	2.740889874	2.326339344	2.001221912	1.380271597	0.920631629	-0.086133445
40	0	2.678894642	2.197786161	1.786382382	1.399407354	0.900211973	-0.076068789
41	0	2.698164704	2.100866548	1.69413908	1.458175315	0.931358867	-0.023625993
42	0	2.746611222	2.075307116	1.644148129	1.517193734	0.980187281	0.051061051
43	0	2.875363053	2.056291256	1.689620762	1.498453807	1.025633678	0.105829767
44	0	2.920493781	2.079109376	1.809969545	1.410111914	1.062979051	0.158501459
45	0	2.933627368	2.160458384	1.934545901	1.409494076	1.097576949	0.204140041
46	0	2.942293724	2.222807682	1.976380268	1.442451645	1.10137028	0.242877774
47	0	2.921277545	2.208742053	2.019311107	1.506915515	1.087164494	0.258918561
48	0	2.820419334	2.187613964	2.032025941	1.618098155	1.069300599	0.256709615
49	0	2.758520038	2.115545249	2.006888162	1.751330416	1.045295046	0.222399791
50	0	2.728605408	2.039398109	1.985667212	1.744325065	1.031281426	0.179687221
51	0	2.691581224	1.932438925	1.996702284	1.66606834	1.01368681	0.072621827
52	0	2.665315171	1.821727572	1.972488681	1.574060326	0.985012701	-0.044760778
53	0	2.697739883	1.757660127	1.962954372	1.46384611	0.961111226	-0.142456121
54	0	2.725860077	1.692680742	1.958749556	1.328941432	0.936218774	-0.181742163
55	0	2.723381258	1.60551632	1.904454026	1.250061584	0.904487304	-0.182322377
56	0	2.710249025	1.650339958	1.870658406	1.230995853	0.901604863	-0.110364973
57	0	2.75313533	1.802923722	1.89850817	1.207822888	0.895745016	-0.051389019
58	0	2.936328769	2.025779471	1.952911474	1.329540954	0.89344286	0.066485396
59	0	3.300689299	2.398998984	2.099720283	1.479159718	0.929797722	0.160048561
60	0	3.566228821	2.692446282	2.253016865	1.648904123	0.947446384	0.224857193
61	0	3.770041816	2.876452644	2.352740947	1.812559675	0.95090453	0.275109308
62	0	3.90476345	3.002502606	2.414413364	1.965700259	0.982593171	0.339353028
63	0	3.91825634	3.038015672	2.440876993	1.956606667	1.013007415	0.300987158
64	0	3.704893436	2.910092901	2.360233807	1.916274894	0.999972263	0.229482801
65	0	3.437279787	2.746721418	2.265360495	1.851709068	0.997746508	0.151739973
66	0	3.083627925	2.572031807	2.175568563	1.758079319	0.995673934	0.060023619
67	0	2.602902259	2.378027652	2.084488689	1.634164506	0.978039376	-0.058760718
68	0	2.167406941	2.208330678	1.981633688	1.599992078	0.967451285	-0.111776003
69	0	2.202648047	2.170420343	1.924335887	1.572539828	0.974928857	-0.127793921
70	0	2.253870832	2.164525546	1.884426168	1.59705717	0.972407126	-0.131385566
71	0	2.311831439	2.135568659	1.832555174	1.601268505	0.955835043	-0.132463963
72	0	2.386229082	2.113387193	1.80734035	1.592195511	0.920623771	-0.119049779
73	0	2.37347303	2.118129473	1.810680617	1.586392663	0.847278788	-0.108949838
74	0	2.374877199	2.155307308	1.870027475	1.596841501	0.735130327	-0.101177489
75	0	2.372511383	2.123902477	1.875014265	1.499372742	0.609892111	-0.105173836
76	0	2.362538834	2.131621479	1.885052028	1.455442463	0.558126429	-0.086126187
77	0	2.402321936	2.133808649	1.865107147	1.467486982	0.548295505	-0.037891788
78	0	2.414738402	2.112530637	1.852695656	1.500363276	0.639169879	0.003883065
79	0	2.453969108	2.081562856	1.7931679	1.5000068	0.785319083	0.060796198
80	0	2.525388735	2.107137154	1.806154413	1.54584425	0.947935525	0.120185803
81	0	2.619985801	2.131632768	1.844318586	1.534360434	1.052648949	0.156428153
82	0	2.586772645	2.164230096	1.875150648	1.478933084	1.143584594	0.144366245
83	0	2.644672754	2.231729281	1.880924569	1.387274036	1.155564572	0.147142427
84	0	2.653812518	2.308198119	1.864467708	1.349882168	1.130340483	0.102976086
85	0	2.593725707	2.354750327	1.810279655	1.364433041	1.100645331	0.070355484
86	0	2.474688466	2.386007678	1.750440485	1.410878664	1.019066268	0.046363303
87	0	2.494670753	2.416651039	1.720689008	1.475508923	0.919424611	0.02596063
88	0	2.415970175	2.410760893	1.747441905	1.542327321	0.869861864	0.001662082
89	0	2.376039641	2.354505004	1.823901561	1.547746355	0.840265691	0.03164953
90	0	2.45709826	2.289281918	1.888191752	1.503428454	0.74307618	0.04213727
91	0	2.59974249	2.21689412	1.923327608	1.468733713	0.700783853	0.045025899
92	0	2.699250329	2.099712278	1.925868033	1.408553096	0.66158554	0.06896272
93	0	2.846004701	2.019495013	1.873226056	1.474527155	0.597608927	0.069552281
94	0	2.959679295	1.995072114	1.83334553	1.552588488	0.542321933	0.037493039
95	0	3.013147375	1.99512002	1.805708559	1.650678968	0.523525241	0.008226908
96	0	3.055147892	1.9793419	1.818055772	1.731995034	0.56652853	0.008411731
97	0	3.664724525	2.038951443	1.867372121	1.810071208	0.691413637	0.005891513
98	0	4.067531679	2.407848715	2.035865604	1.733194867	0.861581225	0.075398606
99	0	4.378963159	2.730422577	2.210673109	1.693724707	0.991085339	0.150723961
100	0	4.621728655	2.999160272	2.386063744	1.639284523	1.185260119	0.222941405
