num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	3.681266371	2.483546926	2.139570722	0.864411098	0.632742618	-0.323421034
2	0	3.7857429	2.699087914	2.275227745	0.855963541	0.453567152	-0.392839417
3	0	3.868435329	2.860614345	2.312108752	0.949552895	0.340861381	-0.388446283
4	0	3.939679193	2.977477196	2.335173554	1.01150747	0.21854487	-0.419854053
5	0	4.020334225	3.048950683	2.339314834	1.096358634	0.157284142	-0.415148241
6	0	4.173172983	3.167856048	2.421140322	1.210351399	0.243402623	-0.320531991
7	0	4.298184834	3.335875685	2.575281176	1.290732472	0.388283847	-0.257198043
8	0	4.487144904	3.501007518	2.74608165	1.413923029	0.607506724	-0.330059569
9	0	4.685458517	3.671690842	2.727185727	1.517573407	0.871010494	-0.399681693
10	0	4.875162463	3.835103297	2.701269882	1.607000738	1.132401482	-0.504279922
11	0	5.062597256	3.89410115	2.780641217	1.633681841	1.354026981	-0.499176315
12	0	5.252200091	3.873390117	2.739513986	1.623790998	1.550730271	-0.570953689
13	0	5.364797512	3.839188318	2.598372615	1.58404167	1.668300968	-0.442197226
14	0	5.422407655	3.800428414	2.710537065	1.530246081	1.720198535	-0.311746432
15	0	5.438204436	3.781728811	2.836215969	1.446667227	1.704457969	-0.190343779
16	0	5.397146353	3.807660623	2.823363211	1.40517348	1.61633761	-0.204136719
17	0	5.27744013	3.8799051	2.895460635	1.416712046	1.425765352	-0.146861009
18	0	5.171292328	3.89594608	2.842848132	1.408501511	1.222220119	-0.118090815
19	0	5.079206449	3.8474728	2.902798739	1.400874544	0.997473718	-0.122037212
20	0	4.962691382	3.711355755	2.917094606	1.430523782	0.78618612	-0.132354191
21	0	4.821799713	3.531132298	2.899188913	1.439105201	0.636031801	-0.147426595
22	0	4.683123304	3.271147648	2.829404077	1.410797894	0.62010952	-0.161722927
23	0	4.461250827	2.991885236	2.909551588	1.37635861	0.613041331	-0.159895381
24	0	4.156390331	2.736263379	2.81612592	1.311316792	0.618088567	-0.149265903
25	0	3.836305477	2.576239581	2.710448032	1.191870252	0.604494848	-0.153594697
26	0	3.550236361	2.457438506	2.592066436	1.036213777	0.569326845	-0.181996739
27	0	3.341869648	2.470909764	2.511601646	0.860375431	0.477883482	-0.263326091
28	0	3.253323485	2.533782004	2.426960721	0.672583661	0.343011902	-0.360073615
29	0	3.185430422	2.591558099	2.359274622	0.520020251	0.169909076	-0.453332917
30	0	3.031114084	2.641139946	2.332854522	0.418965059	-2.69932E-05	-0.530842763
31	0	2.8395547	2.655550104	2.327017403	0.354776246	-0.121222699	-0.597451627
32	0	2.591009485	2.541881112	2.227298143	0.348178699	-0.201311956	-0.647567273
33	0	2.372137956	2.408583623	2.157095831	0.361093734	-0.251442667	-0.685599212
34	0	2.259989743	2.278943567	2.120270863	0.359480003	-0.262814172	-0.738858983
35	0	2.362142041	2.143653674	2.082128599	0.460456153	-0.244037869	-0.81311783
36	0	2.533499786	2.058138377	2.005591446	0.587199802	-0.304692608	-0.861167706
37	0	2.705638969	2.108840248	2.009566098	0.680431673	-0.331660377	-0.878668432
