num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
54	0	4.55E+00	2.91E+00	3.78E+00	1.77E+00	1.471654702	0.312469017
55	0	4.40E+00	2.81E+00	3.61E+00	1.76E+00	1.441559174	0.31038142
56	0	4.18E+00	2.67E+00	3.393668673	1.75E+00	1.438894081	0.334605412
57	0	3.86700219	2.49E+00	3.14E+00	1.81E+00	1.421823268	0.332587375
58	0	3.439895341	2.258878869	2.789098064	1.851661153	1.433678451	0.332685079
59	0	2.987273079	2.08E+00	2.47E+00	1.91E+00	1.420603405	0.344782803
60	0	2.92E+00	2.00E+00	2.38E+00	1.95E+00	1.447002351	0.323535514
61	0	3.08E+00	2.12E+00	2.34E+00	1.98E+00	1.478768226	0.291109755
62	0	3.43E+00	2.460783291	2.347471806	1.98E+00	1.577574607	0.320258703
63	0	3.73E+00	2.80E+00	2.403226103	1.97E+00	1.696946008	0.400301355
64	0	3.939380767	3.035385868	2.462429278	1.948789586	1.850156788	0.483005865
65	0	4.102534449	3.231645392	2.595233709	1.89E+00	1.963782669	0.565055422
66	0	4.15E+00	3.32E+00	2.67E+00	1.79E+00	2.062746218	0.620489501
67	0	4.036127703	3.24E+00	2.66E+00	1.70E+00	2.098049442	0.606172917
68	0	3.812601551	3.05539121	2.616741658	1.64E+00	2.077842512	0.524493112
69	0	3.557241393	2.84E+00	2.58E+00	1.553717783	2.008569177	0.434971783
70	0	3.249981839	2.52E+00	2.46E+00	1.579709266	1.933499955	0.370820615
71	0	2.982083225	2.159181607	2.327738311	1.66E+00	1.808255794	0.304391552
72	0	2.887417058	1.96E+00	2.23E+00	1.684966275	1.708248507	0.277251832
73	0	2.929831557	1.89E+00	2.14E+00	1.69E+00	1.682229103	0.300884528
74	0	2.97E+00	1.780268385	1.99E+00	1.73E+00	1.657419905	0.291731005
75	0	2.928055439	1.728137741	1.931671046	1.67E+00	1.646322864	0.269635426
76	0	2.881447284	1.683943406	1.900635966	1.60E+00	1.643193118	0.254178955
77	0	2.832337653	1.608435696	1.925480102	1.589542808	1.639035022	0.253694307
78	0	2.759106484	1.572036073	1.983292512	1.582494871	1.59435295	0.266793251
79	0	2.664193391	1.586576987	2.087588984	1.53E+00	1.606662071	0.298654053
80	0	2.582082957	1.523872772	2.177649033	1.52E+00	1.62193157	0.302451054
81	0	2.50E+00	1.52E+00	2.28E+00	1.45E+00	1.69156438	0.316876675
82	0	2.43E+00	1.60E+00	2.33E+00	1.35E+00	1.746632339	0.327015413
83	0	2.332096342	1.66E+00	2.37E+00	1.229581625	1.792678036	0.314867025
84	0	2.222168545	1.747497838	2.393479928	1.200280733	1.809020707	0.30060189
85	0	2.200818465	1.869150342	2.368365506	1.270006416	1.823457859	0.291153289
86	0	2.223733361	1.94E+00	2.31E+00	1.41E+00	1.793407513	0.263512773
87	0	2.274515424	1.94E+00	2.260223402	1.558814248	1.827157024	0.234132602
88	0	2.321539762	1.91E+00	2.21E+00	1.68E+00	1.852223537	0.180413164
89	0	2.378615409	1.825006711	2.15E+00	1.72E+00	1.86325102	0.129003087
90	0	2.349719789	1.715989463	2.111470966	1.68E+00	1.855430101	0.091496601
91	0	2.347580038	1.62E+00	2.09E+00	1.61E+00	1.865364028	0.110487197
92	0	2.379333985	1.56E+00	2.08E+00	1.50E+00	1.759603972	0.119852416
93	0	2.444066547	1.535044088	2.09E+00	1.41E+00	1.655564878	0.164160867
94	0	2.542087473	1.568866123	2.09E+00	1.39E+00	1.570353977	0.214279822
95	0	2.677405607	1.61E+00	2.12E+00	1.422278665	1.482246721	0.273742609
96	0	2.692171436	1.658905688	2.155614489	1.451339953	1.408491578	0.270040852
97	0	2.632572747	1.68E+00	2.183823819	1.45E+00	1.449184856	0.274291079
98	0	2.55E+00	1.69E+00	2.194978022	1.43E+00	1.54653054	0.287165995
99	0	2.385547465	1.66E+00	2.22E+00	1.35E+00	1.647612303	0.285311724
100	0	2.158469814	1.63E+00	2.23E+00	1.24E+00	1.752469306	0.252356399
101	0	2.025422388	1.60606197	2.210323692	1.103610065	1.839546112	0.272140019
102	0	1.952438369	1.63E+00	2.186426986	1.009862743	1.892784192	0.301198689
103	0	1.925605541	1.67E+00	2.125368179	0.95179401	1.851457539	0.285654198
104	0	1.949916135	1.759027718	2.07E+00	1.01E+00	1.789915971	0.304575388
105	0	2.084319558	1.858074312	1.978947522	1.202543342	1.729282045	0.353559169
106	0	2.219883143	1.952196228	1.96E+00	1.463987055	1.654143266	0.39372686
107	0	2.343810517	2.02E+00	1.94E+00	1.67E+00	1.572939296	0.426227798
108	0	2.42E+00	2.03E+00	1.988885357	1.84E+00	1.570813698	0.486965158
109	0	2.480422474	2.01E+00	2.04E+00	1.92E+00	1.602274381	0.533991799
110	0	2.423710966	1.97E+00	2.120787264	1.91E+00	1.630710464	0.546924065
111	0	2.289473311	1.90E+00	2.14E+00	1.78E+00	1.657216418	0.517540621
112	0	2.287203795	1.86E+00	2.17E+00	1.63E+00	1.701184832	0.486358884
113	0	2.326352788	1.862354899	2.192277027	1.457309854	1.756666802	0.459652192
114	0	2.410147957	1.949817905	2.251038402	1.31E+00	1.771527684	0.388681355
115	0	2.560287181	2.016430976	2.31E+00	1.223165509	1.800818734	0.37419612
116	0	2.713661861	2.13E+00	2.367846811	1.29E+00	1.833518655	0.384992201
117	0	2.681535054	2.20706973	2.408903066	1.402295107	1.880243337	0.393359828
118	0	2.63801026	2.266170585	2.40E+00	1.50E+00	1.892523515	0.371766332
119	0	2.542311301	2.243483549	2.34E+00	1.59E+00	1.896903936	0.403841793
120	0	2.40E+00	2.19E+00	2.23E+00	1.69E+00	1.864115189	0.376114649
121	0	2.28E+00	2.05E+00	2.13E+00	1.72E+00	1.830404254	0.371500816
122	0	2.27E+00	1.872729294	2.041738985	1.69E+00	1.771666604	0.369592965
123	0	2.27E+00	1.65E+00	1.99E+00	1.62E+00	1.715196327	0.375781876
124	0	2.283299623	1.454453336	1.931231023	1.54E+00	1.686189697	0.329776149
125	0	2.28E+00	1.33E+00	1.96E+00	1.39E+00	1.673057752	0.314048376
126	0	2.23E+00	1.33E+00	1.94E+00	1.24E+00	1.658540437	0.267024552
127	0	2.255036238	1.36E+00	1.90E+00	1.09E+00	1.627958354	0.193653361
128	0	2.27E+00	1.42E+00	1.87E+00	1.02E+00	1.613282701	0.127078864
129	0	2.35E+00	1.50E+00	1.89E+00	9.47E-01	1.577570085	0.095616074
130	0	2.48E+00	1.53E+00	1.88E+00	9.55E-01	1.541157597	0.041921936
131	0	2.58E+00	1.54E+00	1.90E+00	9.97E-01	1.501124949	-0.014958704
132	0	2.62E+00	1.62E+00	1.942385738	1.054830881	1.466504431	-0.017706373
133	0	2.651140158	1.68E+00	2.02E+00	1.06E+00	1.441546858	-0.021141658
134	0	2.591877251	1.749785303	2.129629145	1.062011987	1.440105463	0.000970052
135	0	2.49E+00	1.86E+00	2.20E+00	1.02E+00	1.442475721	0.034686657
136	0	2.40E+00	1.99E+00	2.26E+00	9.86E-01	1.428036428	0.123113221
137	1	2.29E+00	2.04E+00	2.31E+00	0.921131843	1.435025545	0.150680439
138	1	2.21E+00	2.09E+00	2.28E+00	8.49E-01	1.421268113	0.195988858
139	1	2.18E+00	2.09E+00	2.184864361	8.53E-01	1.409714461	0.196868278
140	1	2.17E+00	2.03E+00	2.15E+00	8.89E-01	1.418253486	0.196959369
141	1	2.134955328	1.88E+00	2.12E+00	9.23E-01	1.468810477	0.162414144
142	1	2.12E+00	1.76E+00	2.11E+00	1.06E+00	1.523111136	0.172327369
143	1	2.09E+00	1.66E+00	2.15E+00	1.19E+00	1.578422952	0.148943359
144	1	2.098807889	1.58E+00	2.212697724	1.24E+00	1.615939686	0.136505428
145	1	2.15E+00	1.54E+00	2.20E+00	1.30E+00	1.656384728	0.134319609
146	1	2.23E+00	1.598918318	2.17E+00	1.35E+00	1.666090556	0.136405897
147	1	2.31E+00	1.58E+00	2.18E+00	1.34E+00	1.673572785	0.125485195
148	1	2.36E+00	1.53E+00	2.18E+00	1.34E+00	1.670417913	0.120167447
149	1	2.50E+00	1.53E+00	2.18E+00	1.38E+00	1.677212945	0.142145922
150	1	2.57E+00	1.54E+00	2.25E+00	1.38E+00	1.668936814	0.174128644
151	1	2.61E+00	1.530540825	2.303019106	1.394200855	1.673831238	0.169715233
152	1	2.69E+00	1.581100664	2.30E+00	1.38E+00	1.647997977	0.152508316
153	1	2.77E+00	1.620889252	2.27E+00	1.40E+00	1.66091741	0.157148511
154	1	2.70E+00	1.612232662	2.262633505	1.46E+00	1.666350859	0.149832775
155	1	2.67E+00	1.59E+00	2.21E+00	1.52E+00	1.664929199	0.124159791
156	1	2.63E+00	1.60E+00	2.16E+00	1.56E+00	1.664187128	0.138712485
157	1	2.54E+00	1.60E+00	2.14E+00	1.610556868	1.667458298	0.160365279
158	1	2.43205373	1.636041872	2.14E+00	1.60E+00	1.640802904	0.178761175
159	1	2.4406351	1.68E+00	2.15E+00	1.51E+00	1.652526806	0.208756661
160	1	2.42E+00	1.68E+00	2.15E+00	1.40E+00	1.686647105	0.228842413
161	1	2.48E+00	1.64E+00	2.18E+00	1.30E+00	1.719139203	0.239779009
162	1	2.62E+00	1.60E+00	2.21E+00	1.20E+00	1.789861262	0.287416495
163	1	2.74E+00	1.50E+00	2.23E+00	1.19E+00	1.840266735	0.31420454
164	1	2.84E+00	1.43E+00	2.22E+00	1.26E+00	1.831066284	0.344598014
165	1	2.933863473	1.389361792	2.230889647	1.33E+00	1.788794147	0.387570191
166	1	2.954362556	1.377508161	2.214294272	1.34E+00	1.733330016	0.430712055
167	1	2.875771027	1.38E+00	2.20E+00	1.34E+00	1.657938207	0.442980495
168	1	2.80E+00	1.43E+00	2.19E+00	1.29E+00	1.615449654	0.467510752
169	1	2.66E+00	1.42E+00	2.20E+00	1.18E+00	1.593431223	0.444597367
170	1	2.511470085	1.460772385	2.22E+00	1.11E+00	1.606966813	0.442647508
171	1	2.36E+00	1.50E+00	2.27E+00	1.11E+00	1.648915453	0.441926248
172	1	2.351827588	1.573263891	2.33321052	1.17E+00	1.662304248	0.412489413
173	1	2.365106707	1.641504761	2.41E+00	1.23E+00	1.636739029	0.38641286
174	1	2.447523362	1.739281502	2.486349631	1.324778244	1.646270781	0.410600308
175	1	2.497086677	1.747476065	2.53E+00	1.37E+00	1.638857362	0.400730727
176	1	2.541600289	1.78E+00	2.53E+00	1.43E+00	1.634557479	0.44381768
177	1	2.535302036	1.756556238	2.49527767	1.417714354	1.650605447	0.539594059
178	1	2.508958456	1.697282511	2.402561678	1.42E+00	1.696900321	0.613032848
179	1	2.485911943	1.630274716	2.32E+00	1.42E+00	1.76188986	0.66882101
180	1	2.514459385	1.667198565	2.247054293	1.469225789	1.841670307	0.715083819
181	1	2.623212593	1.69E+00	2.19E+00	1.472651604	1.884989039	0.672948917
182	1	2.74454909	1.761501105	2.1685476	1.515786717	1.913916496	0.598720006
183	1	2.87051476	1.857272769	2.20E+00	1.57E+00	1.937766625	0.528645289
184	1	2.96E+00	1.917415919	2.206508162	1.58E+00	1.888798142	0.461275679
185	1	3.01E+00	1.89E+00	2.22E+00	1.556533123	1.793395619	0.432914876
186	1	2.97E+00	1.8324779	2.232754752	1.59E+00	1.693955233	0.480024129
187	1	2.872822114	1.80514263	2.256921323	1.58E+00	1.595305664	0.526050094
188	1	2.743130259	1.796684292	2.267450319	1.55E+00	1.525605355	0.596103965
189	1	2.61E+00	1.84E+00	2.28E+00	1.63E+00	1.532931994	0.640935093
190	1	2.47E+00	1.93E+00	2.30E+00	1.67E+00	1.576451212	0.636703406
191	1	2.375518452	2.04E+00	2.33E+00	1.654063424	1.648621989	0.618821684
192	1	2.43E+00	2.06E+00	2.32E+00	1.67E+00	1.729630012	0.599404991
193	1	2.50E+00	2.02E+00	2.30E+00	1.69E+00	1.753243705	0.552916154
194	1	2.562570016	1.956238671	2.28E+00	1.58E+00	1.75699113	0.52224677
195	1	2.66E+00	1.86E+00	2.26E+00	1.49E+00	1.784423326	0.535110163
196	1	2.76E+00	1.76E+00	2.23E+00	1.45E+00	1.787377004	0.54145141
197	1	2.79E+00	1.73E+00	2.22E+00	1.36E+00	1.771054033	0.552027889
198	1	2.80E+00	1.75E+00	2.23E+00	1.28E+00	1.812564339	0.548920451
199	1	2.84E+00	1.77E+00	2.22E+00	1.29E+00	1.850557917	0.561727952
200	1	2.850648796	1.803913254	2.184149668	1.33E+00	1.855104087	0.600952636
201	1	2.85292881	1.810923369	2.187890428	1.32E+00	1.885539611	0.649962654
202	1	2.788724659	1.783936569	2.187066668	1.361551574	1.932553454	0.704720456
203	1	2.733910544	1.74E+00	2.16E+00	1.36E+00	1.897376163	0.753384514
204	1	2.637393687	1.68E+00	2.15E+00	1.34E+00	1.878831413	0.78555772
205	1	2.510831178	1.615019749	2.138170457	1.24E+00	1.85541784	0.7265462
206	1	2.40E+00	1.57E+00	2.08E+00	1.12E+00	1.787252675	0.649213874
207	1	2.39E+00	1.53E+00	2.01E+00	1.02E+00	1.690656152	0.552013126
208	1	2.38E+00	1.53E+00	1.97E+00	9.97E-01	1.66388246	0.466531608
209	1	2.44E+00	1.62E+00	1.95E+00	9.80E-01	1.602467557	0.357866002
210	1	2.52E+00	1.70E+00	1.93E+00	1.04E+00	1.564663026	0.362402642
211	1	2.57E+00	1.78E+00	1.93E+00	1.13E+00	1.562585171	0.383989012
212	1	2.66E+00	1.89E+00	1.98E+00	1.18E+00	1.563891939	0.406659833
213	1	2.72E+00	1.92E+00	2.048360812	1.19E+00	1.579077963	0.419365214
214	1	2.70E+00	1.91E+00	2.09E+00	1.19E+00	1.597717227	0.446333331
215	1	2.69E+00	1.90E+00	2.15E+00	1.19E+00	1.636948852	0.439469475
216	1	2.68E+00	1.89E+00	2.21E+00	1.24E+00	1.696181715	0.418709851
217	1	2.56118216	1.84E+00	2.239734755	1.26E+00	1.767655276	0.412073284
218	1	2.51E+00	1.80E+00	2.24E+00	1.29E+00	1.769005713	0.390140635
219	1	2.489639087	1.767636428	2.203445039	1.35E+00	1.778219996	0.354820167
220	1	2.475170419	1.685677375	2.152120725	1.41E+00	1.767683574	0.327854452
221	1	2.49E+00	1.62E+00	2.10E+00	1.40E+00	1.710423188	0.334676103
222	1	2.62E+00	1.69E+00	2.05E+00	1.4117578	1.665888294	0.338503408
223	1	2.64E+00	1.80E+00	2.07E+00	1.43E+00	1.706118667	0.391372212
224	1	2.72E+00	1.90E+00	2.15E+00	1.45E+00	1.784844615	0.462973409
225	1	2.77E+00	2.03E+00	2.25E+00	1.43E+00	1.82192108	0.50045721
226	1	2.80E+00	2.12E+00	2.341696459	1.44E+00	1.921381648	0.546838667
227	1	2.73E+00	2.05E+00	2.42E+00	1.42E+00	1.981197751	0.576174956
228	1	2.70E+00	1.987319957	2.407334983	1.37E+00	1.992569814	0.564215696
229	1	2.63E+00	1.97E+00	2.38E+00	1.30E+00	1.966807479	0.537460386
230	1	2.53E+00	1.970972373	2.311820724	1.22E+00	2.022364443	0.561407665
231	1	2.49E+00	1.99E+00	2.21E+00	1.14E+00	1.992644391	0.508481924
232	1	2.50E+00	2.07E+00	2.10E+00	1.096586713	1.953102226	0.453816979
233	1	2.54E+00	2.11E+00	2.06E+00	1.13E+00	1.924608213	0.431741791
234	1	2.58E+00	2.08E+00	2.053642522	1.18E+00	1.904677748	0.412659018
235	1	2.66E+00	2.00E+00	2.071960488	1.29E+00	1.783420976	0.336986639
236	1	2.77E+00	1.92E+00	2.15E+00	1.39E+00	1.717831864	0.321546344
237	1	2.88E+00	1.82E+00	2.29E+00	1.48E+00	1.707835044	0.350198142
238	1	2.93E+00	1.77E+00	2.335352846	1.50E+00	1.724916984	0.366936604
239	1	2.968743031	1.732782364	2.364359734	1.50E+00	1.721734208	0.397645866
240	1	3.007874086	1.70E+00	2.42E+00	1.49E+00	1.770538322	0.472481788
241	1	2.95E+00	1.64E+00	2.41E+00	1.47E+00	1.801614624	0.545929698
242	1	2.88E+00	1.60E+00	2.36E+00	1.45E+00	1.818240809	0.576433302
243	1	2.82E+00	1.48E+00	2.35E+00	1.45E+00	1.79250266	0.586934059
244	1	2.78E+00	1.37E+00	2.32E+00	1.52E+00	1.781992807	0.588787062
245	1	2.67E+00	1.29E+00	2.25E+00	1.54E+00	1.748898637	0.546339394
246	1	2.71E+00	1.24E+00	2.214112481	1.57E+00	1.712852821	0.50946493
247	1	2.794850466	1.19E+00	2.19E+00	1.59E+00	1.619982024	0.473284367
248	1	2.88E+00	1.23E+00	2.15E+00	1.62E+00	1.54679622	0.471292815
249	1	2.96E+00	1.24E+00	2.15E+00	1.54E+00	1.458287441	0.476056723
250	1	3.06E+00	1.24E+00	2.16E+00	1.538675357	1.388409678	0.502287606
251	1	3.04E+00	1.33E+00	2.18E+00	1.55E+00	1.396557679	0.489499547
252	1	2.98E+00	1.44E+00	2.22E+00	1.57E+00	1.466072559	0.485577287
253	1	2.92E+00	1.49E+00	2.27E+00	1.61E+00	1.554441928	0.457812371
254	1	2.80E+00	1.57E+00	2.32E+00	1.71E+00	1.654091163	0.413046146
255	1	2.707774868	1.632922075	2.355593819	1.69839412	1.72935101	0.367466626
256	1	2.67E+00	1.57E+00	2.36E+00	1.65E+00	1.715054345	0.333027331
257	1	2.63E+00	1.49E+00	2.35E+00	1.63E+00	1.689992071	0.30385843
258	1	2.64E+00	1.42E+00	2.35E+00	1.53E+00	1.6317221	0.271049248
259	1	2.73E+00	1.34E+00	2.38E+00	1.42E+00	1.558983911	0.241360775
260	1	2.822929662	1.263791269	2.429456032	1.372956945	1.491568215	0.206376711
261	1	2.940719992	1.271330136	2.513630135	1.359745431	1.468164062	0.178359332
262	1	3.04E+00	1.34469276	2.586979242	1.36E+00	1.464627925	0.162354645
263	1	3.11E+00	1.428955922	2.62E+00	1.469049847	1.474214183	0.163618562
264	1	3.16E+00	1.545908648	2.599561523	1.58E+00	1.482498932	0.170099758
265	1	3.17E+00	1.69E+00	2.53E+00	1.669481768	1.474722257	0.183770049
266	1	3.133091972	1.832100364	2.385289533	1.753039231	1.501724123	0.210309254
267	1	3.117557153	1.901345139	2.22E+00	1.78E+00	1.494457967	0.214081306
268	1	3.09E+00	1.96E+00	2.10E+00	1.71E+00	1.530158673	0.247934556
269	1	3.04E+00	1.96E+00	2.04E+00	1.59E+00	1.556330744	0.263774967
270	1	2.962006054	1.887440382	2.046791234	1.48E+00	1.626928734	0.297146706
271	1	2.92E+00	1.79E+00	2.16E+00	1.36E+00	1.635566728	0.328811242
272	1	2.81E+00	1.721160042	2.277853685	1.268063288	1.663677844	0.344509909
273	1	2.70E+00	1.60E+00	2.36E+00	1.27E+00	1.63416849	0.296900172
274	1	2.60E+00	1.53E+00	2.41E+00	1.33E+00	1.612107011	0.27191315
275	1	2.50E+00	1.53E+00	2.43E+00	1.31E+00	1.550416522	0.215660223
276	1	2.38E+00	1.51E+00	2.40E+00	1.29E+00	1.528666897	0.120147149
277	1	2.29E+00	1.533018179	2.364368144	1.303930093	1.529356509	0.057029069
278	1	2.183998583	1.60E+00	2.30E+00	1.287661283	1.522151398	0.018282511
279	1	2.13E+00	1.65E+00	2.27E+00	1.25E+00	1.529103033	0.022899071
280	1	2.11E+00	1.68E+00	2.22E+00	1.25E+00	1.526656454	0.031793328
281	1	2.15E+00	1.73E+00	2.17E+00	1.26E+00	1.519000623	0.094806718
282	1	2.21E+00	1.69E+00	2.08E+00	1.22E+00	1.437637059	0.12767477
283	1	2.24E+00	1.65E+00	2.00E+00	1.18E+00	1.41281415	0.199377705
284	1	2.239512291	1.63E+00	1.91E+00	1.20E+00	1.379213579	0.179101349
285	1	2.237584142	1.659219992	1.872045012	1.254916457	1.391829427	0.168582937
286	1	2.153664021	1.69E+00	1.90E+00	1.24E+00	1.387611155	0.1260902
287	1	2.05E+00	1.79E+00	2.00E+00	1.28E+00	1.46890004	0.122862079
288	1	1.98E+00	1.92E+00	2.14E+00	1.33E+00	1.516325227	0.036895355
289	1	1.96E+00	2.011459394	2.25E+00	1.35E+00	1.540232837	0.015861694
290	1	1.943318409	2.058108444	2.340290481	1.343950592	1.534022332	-0.022531286
291	1	2.071528811	2.087809578	2.3735297	1.429989516	1.525018254	-0.031342314
292	1	2.270000826	2.072198264	2.34E+00	1.50E+00	1.419603594	-0.094743597
293	1	2.427477659	1.96E+00	2.25E+00	1.55E+00	1.328953616	-0.077176155
294	1	2.535491993	1.853654505	2.152477124	1.594430021	1.264073673	-0.058703845
295	1	2.626061239	1.737895306	2.010730366	1.61E+00	1.212064134	0.0171448
296	1	2.614291836	1.639512087	1.88E+00	1.55E+00	1.245393613	0.101727031
297	1	2.49E+00	1.636700877	1.81E+00	1.48E+00	1.364072526	0.205840082
298	1	2.37E+00	1.717832581	1.77E+00	1.49E+00	1.480696242	0.307369117
299	1	2.28E+00	1.76E+00	1.78E+00	1.484263664	1.60391542	0.39519952
300	1	2.21E+00	1.85E+00	1.81E+00	1.51E+00	1.737671505	0.453889682
301	1	2.23E+00	1.91E+00	1.86E+00	1.574352358	1.797794017	0.47380117
302	1	2.43E+00	1.90E+00	1.913465166	1.65E+00	1.857778679	0.519009489
303	1	2.58E+00	1.88E+00	1.93E+00	1.64E+00	1.894165206	0.534086058
304	1	2.67E+00	1.86E+00	1.921029604	1.65E+00	1.903229705	0.523358706
305	1	2.76E+00	1.74E+00	1.935565711	1.63E+00	1.856605545	0.494247141
306	1	2.837107608	1.59E+00	1.938646369	1.58E+00	1.849226038	0.488699187
307	1	2.78E+00	1.46E+00	1.92E+00	1.45E+00	1.815773746	0.418256121
308	1	2.76E+00	1.33E+00	1.9478595	1.33E+00	1.776597751	0.362188263
309	1	2.79E+00	1.20E+00	1.99E+00	1.17E+00	1.738922953	0.330866631
310	1	2.775023983	1.240442808	2.007919432	1.098175926	1.766815036	0.306104719
311	1	2.71E+00	1.30E+00	2.05E+00	1.05E+00	1.793439328	0.277872532
312	1	2.73E+00	1.38E+00	2.13E+00	1.12E+00	1.84212931	0.292797699
313	1	2.68E+00	1.42E+00	2.17E+00	1.21E+00	1.903109532	0.289469231
314	1	2.58E+00	1.47E+00	2.23E+00	1.31E+00	1.962959769	0.274695169
315	1	2.52E+00	1.51E+00	2.28E+00	1.36E+00	1.992291226	0.307118484
316	1	2.51E+00	1.55E+00	2.29E+00	1.384257374	1.96868036	0.305308503
317	1	2.48E+00	1.58E+00	2.30E+00	1.40E+00	1.921638956	0.280544544
318	1	2.45E+00	1.60E+00	2.31E+00	1.43E+00	1.832811413	0.258383514
319	1	2.49E+00	1.64E+00	2.283920863	1.42E+00	1.72787165	0.276394619
320	1	2.54E+00	1.62E+00	2.26E+00	1.36E+00	1.594794121	0.214523658
321	1	2.637923973	1.607289338	2.265989758	1.33E+00	1.490526891	0.191391691
322	1	2.777281177	1.623705226	2.232210239	1.284879627	1.375325981	0.198221195
323	2	2.912514277	1.700968942	2.216973009	1.23727377	1.31331046	0.250756476
324	2	2.945825977	1.749223265	2.211822898	1.170169328	1.246794259	0.230898832
325	2	2.934592895	1.840138042	2.19089618	1.136029873	1.259150532	0.263768622
