num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	2.495383207	1.645197469	1.825207313	1.696705109	1.498177027	-0.265492826
2	0	2.50E+00	1.65E+00	1.83E+00	1.696705109	1.498177027	-0.265492826
3	0	2.50E+00	1.65E+00	1.83E+00	1.70E+00	1.498177027	-0.265492826
4	0	2.495383207	1.65E+00	1.83E+00	1.70E+00	1.498177027	-0.265492826
5	0	2.495383207	1.65E+00	1.825207313	1.696705109	1.498177027	-0.265492826
6	0	2.495383207	1.645197469	1.83E+00	1.70E+00	1.498177027	-0.265492826
7	0	2.50E+00	1.65E+00	1.83E+00	1.70E+00	1.498177027	-0.265492826
8	0	2.50E+00	1.65E+00	1.83E+00	1.70E+00	1.498177027	-0.265492826
9	0	2.495383207	1.65E+00	1.83E+00	1.70E+00	1.498177027	-0.265492826
10	0	2.50E+00	1.65E+00	1.83E+00	1.70E+00	1.498177027	-0.265492826
11	0	2.495383207	1.645197469	1.825207313	1.696705109	1.498177027	-0.265492826
12	0	2.50E+00	1.65E+00	1.83E+00	1.70E+00	1.498177027	-0.265492826
13	0	2.495383207	1.65E+00	1.83E+00	1.70E+00	1.498177027	-0.265492826
14	0	2.472461844	1.63E+00	1.82E+00	1.67E+00	1.47615291	-0.248886501
15	0	2.43E+00	1.61E+00	1.83E+00	1.62E+00	1.445390105	-0.217660678
16	0	2.43E+00	1.58E+00	1.85E+00	1.55E+00	1.433936377	-0.170537258
17	0	2.41E+00	1.55E+00	1.88E+00	1.45E+00	1.405533352	-0.131031392
18	0	2.370102775	1.53E+00	1.92E+00	1.316026467	1.371754248	-0.079850019
19	0	2.36E+00	1.54E+00	1.96E+00	1.23E+00	1.363976521	-0.047149907
20	0	2.35E+00	1.52E+00	2.00E+00	1.21E+00	1.400435909	-0.026123579
21	0	2.28E+00	1.56E+00	2.03E+00	1.26E+00	1.381442118	-0.015383306
22	0	2.26E+00	1.59E+00	2.07E+00	1.35E+00	1.403935374	0.034631034
23	0	2.32216118	1.71E+00	2.07560979	1.452440036	1.422937681	0.070592525
24	0	2.400127311	1.85E+00	2.10E+00	1.56E+00	1.463344525	0.112025972
25	0	2.520052712	2.06E+00	2.14E+00	1.646341441	1.428155001	0.158435375
26	0	2.643134467	2.25E+00	2.20E+00	1.65E+00	1.423760874	0.197494546
27	0	2.75E+00	2.45E+00	2.32E+00	1.73E+00	1.407049162	0.200905754
28	0	2.75E+00	2.56E+00	2.47E+00	1.79E+00	1.410674353	0.198640675
29	0	2.73E+00	2.65E+00	2.60E+00	1.79E+00	1.401834189	0.187955971
30	0	2.70E+00	2.69E+00	2.69E+00	1.78E+00	1.462280643	0.171715404
31	0	2.642953171	2.853245559	2.818988127	1.83E+00	1.518438853	0.20923355
32	0	2.59E+00	3.05E+00	2.92E+00	1.76E+00	1.54391703	0.28925641
33	0	2.629753721	3.305724893	3.008532535	1.717398062	1.567560263	0.410959673
34	0	2.700703862	3.55E+00	3.11E+00	1.72E+00	1.591413164	0.552190216
35	0	2.758743126	3.767944593	3.24E+00	1.74E+00	1.620570577	0.689379405
36	0	2.799804705	3.86E+00	3.304129959	1.735399084	1.707604003	0.767694545
37	0	2.81E+00	3.88E+00	3.33E+00	1.78E+00	1.850684255	0.805023071
38	0	2.83E+00	3.825992512	3.32E+00	1.77E+00	1.955612356	0.812222109
39	0	2.88E+00	3.71E+00	3.27E+00	1.72E+00	2.02283493	0.794834314
40	0	2.96E+00	3.53E+00	3.17E+00	1.63E+00	2.039979512	0.76100529
41	0	3.08E+00	3.36E+00	3.08E+00	1.50E+00	1.978589778	0.737436986
42	0	3.23E+00	3.22E+00	3.00E+00	1.33E+00	1.812138017	0.724323194
43	0	3.32E+00	3.10E+00	2.93E+00	1.224248871	1.62993092	0.694616604
44	0	3.373648092	3.01515656	2.885826133	1.210317956	1.443378622	0.647397333
45	0	3.387548569	2.941259107	2.850542512	1.27933732	1.275461574	0.580743737
46	0	3.366412571	2.87006343	2.824880168	1.409162486	1.163805932	0.491354181
47	0	3.299935588	2.78945294	2.810352237	1.57E+00	1.168780492	0.401270397
48	0	3.24E+00	2.722915916	2.79E+00	1.70E+00	1.186779685	0.326766754
49	0	3.370172177	2.694399847	2.890011148	1.786356253	1.230607195	0.279331569
50	0	3.75E+00	2.727131016	3.19E+00	1.84E+00	1.309499537	0.270386409
51	0	4.05E+00	2.79E+00	3.42E+00	1.86E+00	1.378721755	0.286184583
52	0	4.29E+00	2.86E+00	3.59E+00	1.83E+00	1.430217921	0.306822246
53	0	4.487229099	2.911329802	3.75E+00	1.80E+00	1.456529658	0.31733387
