num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.000204621	0.000171692	5.24E-05	0.000105035	0.999466
3	rest	3.11E-05	3.43E-05	0.000117564	0.000252775	0.999564
4	rest	0.000216102	9.81E-05	6.16E-05	8.35E-05	0.999541
5	rest	8.06E-05	0.000108361	5.43E-05	4.22E-05	0.999714
6	rest	7.46E-05	4.42E-05	7.10E-05	2.83E-05	0.999782
7	rest	0.000130641	2.62E-05	5.83E-05	3.02E-05	0.999755
8	rest	0.000106472	1.66E-05	1.49E-05	2.23E-05	0.99984
9	rest	0.000488441	8.72E-05	4.14E-05	0.000236037	0.999147
10	rest	0.000135736	3.50E-05	3.94E-05	4.24E-05	0.999747
11	rest	0.000176341	7.17E-05	0.000213501	8.49E-05	0.999454
12	rest	0.000179083	0.000482374	4.40E-05	1.78E-05	0.999277
13	rest	0.000101375	6.55E-05	3.73E-05	4.35E-05	0.999752
14	rest	4.38E-05	8.39E-05	7.87E-05	0.000142912	0.999651
15	rest	0.000214658	0.000216463	0.000271807	0.000206112	0.999091
16	rest	0.000448217	0.000394143	0.00026593	9.05E-05	0.998801
17	rest	0.000319654	0.000239087	0.00015484	0.000140994	0.999145
18	rest	4.90E-05	0.000200317	9.77E-05	8.85E-05	0.999564
19	rest	6.66E-05	0.000123387	5.63E-05	7.74E-05	0.999676
20	rest	3.05E-05	6.72E-05	4.04E-05	4.24E-05	0.999819
21	rest	6.86E-05	0.000162918	5.99E-05	7.70E-05	0.999632
22	rest	9.48E-05	9.23E-05	9.97E-05	0.000143035	0.99957
23	rest	9.03E-05	6.35E-05	0.000131867	7.68E-05	0.999637
24	rest	8.62E-05	8.77E-05	0.000151881	7.11E-05	0.999603
25	rest	8.97E-05	9.31E-05	6.28E-05	3.37E-05	0.999721
26	rest	8.81E-05	0.00021138	0.000104454	0.000122759	0.999473
27	rest	0.000109113	0.000149417	0.000159422	3.08E-05	0.999551
28	rest	3.05E-05	1.95E-05	1.55E-05	2.57E-05	0.999909
29	rest	2.68E-05	1.88E-05	4.13E-06	0.000105901	0.999844
30	rest	7.31E-05	0.000109749	6.24E-05	6.16E-05	0.999693
31	rest	4.01E-05	3.51E-05	2.45E-05	3.52E-05	0.999865
32	rest	4.27E-05	4.21E-05	1.99E-05	0.00010742	0.999788
33	rest	1.75E-05	2.65E-05	9.10E-06	6.61E-06	0.99994
34	rest	6.25E-05	7.82E-05	4.97E-05	6.58E-05	0.999744
35	rest	4.20E-05	6.86E-05	4.52E-05	3.35E-05	0.999811
36	rest	0.000126414	6.64E-05	0.000251731	0.000443293	0.999112
37	rest	5.67E-05	9.28E-05	6.08E-05	0.000209864	0.99958
38	rest	7.41E-06	3.35E-06	3.36E-06	1.10E-05	0.999975
39	rest	0.000128799	1.79E-05	0.000101774	0.000259671	0.999492
40	rest	2.81E-05	1.17E-05	7.98E-06	2.43E-05	0.999928
41	rest	7.05E-05	3.25E-05	0.000147716	0.000223712	0.999526
42	rest	3.05E-05	1.25E-05	3.08E-05	1.77E-05	0.999908
43	rest	4.85E-05	1.95E-05	1.92E-05	2.58E-05	0.999887
44	rest	5.87E-05	6.40E-05	7.78E-05	0.00022271	0.999577
45	rest	2.31E-05	4.14E-05	2.44E-05	2.64E-05	0.999885
46	rest	9.21E-06	3.21E-06	1.64E-06	5.97E-06	0.99998
47	rest	1.70E-05	2.97E-05	1.59E-05	6.31E-06	0.999931
48	rest	1.34E-05	1.79E-05	2.09E-05	1.22E-05	0.999936
49	rest	3.30E-05	3.07E-05	7.62E-05	0.000163405	0.999697
50	rest	3.16E-05	3.16E-05	1.36E-05	1.83E-05	0.999905
51	rest	2.98E-05	3.43E-05	1.03E-05	8.43E-05	0.999841
52	rest	4.41E-05	9.10E-05	6.04E-05	5.13E-05	0.999753
53	rest	0.000252966	9.92E-05	0.000203778	0.000150644	0.999293
54	rest	4.57E-05	3.41E-05	2.49E-05	2.02E-05	0.999875
55	rest	1.38E-05	4.64E-06	1.72E-05	1.46E-05	0.99995
56	rest	0.000286288	2.84E-05	8.87E-05	0.000467097	0.99913
57	rest	0.000104877	5.08E-05	2.73E-05	6.56E-05	0.999751
58	rest	3.75E-05	3.74E-05	3.17E-05	2.29E-05	0.999871
59	rest	6.54E-06	8.43E-06	3.80E-06	1.68E-05	0.999964
60	rest	2.28E-05	1.96E-05	9.51E-06	6.59E-05	0.999882
61	rest	3.36E-05	3.19E-05	2.12E-05	8.54E-05	0.999828
62	rest	0.000103459	3.74E-05	9.20E-05	5.89E-05	0.999708
63	rest	2.67E-05	3.86E-05	1.61E-05	2.36E-05	0.999895
64	rest	6.05E-05	4.45E-05	5.34E-05	0.000188595	0.999653
65	rest	4.02E-05	3.92E-05	2.57E-05	8.49E-06	0.999886
66	rest	9.88E-05	3.16E-05	9.36E-05	3.52E-05	0.999741
67	rest	0.000118616	7.78E-05	0.000499725	3.20E-05	0.999272
68	rest	0.000153863	5.90E-05	0.000126179	4.16E-05	0.999619
69	rest	6.35E-06	4.81E-06	1.21E-05	8.17E-07	0.999976
70	rest	2.49E-05	1.91E-05	2.77E-05	2.54E-05	0.999903
71	rest	1.91E-05	6.21E-06	3.35E-05	3.71E-05	0.999904
72	rest	7.22E-05	5.31E-05	3.67E-05	8.58E-05	0.999752
73	rest	6.61E-05	6.20E-05	5.66E-05	6.81E-05	0.999747
74	rest	2.20E-05	8.20E-05	3.38E-05	2.43E-05	0.999838
75	rest	2.24E-05	5.05E-05	0.000139138	4.26E-05	0.999745
76	rest	3.05E-05	6.01E-05	5.09E-05	6.35E-05	0.999795
77	rest	2.62E-06	3.58E-06	1.63E-06	1.73E-06	0.99999
78	rest	1.59E-05	2.06E-05	1.46E-05	6.40E-05	0.999885
79	rest	7.01E-05	3.67E-05	5.34E-05	4.23E-05	0.999797
80	rest	9.30E-06	1.41E-05	3.90E-06	7.87E-07	0.999972
81	rest	0.000110067	1.74E-05	3.20E-05	5.37E-05	0.999787
82	rest	0.000188435	3.78E-05	6.68E-05	0.000103215	0.999604
83	rest	3.39E-05	2.89E-05	2.95E-05	1.46E-05	0.999893
84	rest	2.33E-05	8.32E-05	3.26E-05	0.000116837	0.999744
85	rest	5.57E-05	3.84E-05	9.08E-06	2.66E-05	0.99987
86	rest	4.80E-05	5.77E-05	0.000137677	4.37E-05	0.999713
87	rest	0.00022536	0.000150258	0.000167487	0.000394985	0.999062
88	rest	3.11E-05	2.83E-05	7.63E-06	1.88E-05	0.999914
89	rest	0.000113516	6.72E-05	4.40E-05	0.000112084	0.999663
90	rest	6.19E-05	9.51E-05	0.000121767	8.26E-05	0.999639
91	rest	0.0001708	0.000219197	0.000145303	0.000237708	0.999227
92	rest	4.14E-05	5.77E-05	3.60E-05	1.77E-05	0.999847
93	rest	0.000150545	0.000409913	0.00024439	8.21E-05	0.999113
94	rest	0.00020671	0.000469503	0.000271286	8.47E-05	0.998968
95	rest	0.000240565	0.000442369	4.59E-05	0.000183374	0.999088
96	rest	7.20E-05	0.000318972	5.84E-05	8.15E-05	0.999469
97	rest	4.42E-05	4.99E-05	2.18E-05	1.85E-05	0.999866
98	rest	5.04E-05	2.49E-05	1.49E-05	7.57E-05	0.999834
99	rest	0.000110254	5.76E-05	0.000133079	0.000504537	0.999195
100	rest	6.60E-05	0.000116273	5.72E-05	0.000110753	0.99965
101	rest	4.90E-05	8.20E-05	1.56E-05	4.59E-05	0.999808
102	rest	6.87E-05	7.49E-05	4.34E-05	4.73E-05	0.999766
103	rest	0.000109224	7.68E-05	4.24E-05	1.67E-05	0.999755
104	rest	0.000135036	8.62E-05	4.56E-05	4.63E-05	0.999687
105	rest	1.93E-05	4.80E-05	8.54E-05	6.31E-05	0.999784
106	rest	1.84E-05	4.98E-05	1.88E-05	4.88E-05	0.999864
107	rest	0.000111249	0.000170512	0.000117363	0.000343967	0.999257
108	rest	2.17E-05	0.000139991	1.30E-05	6.61E-05	0.999759
109	rest	0.000185242	0.000363035	0.000103116	0.000298902	0.99905
110	rest	0.000157612	0.000179893	0.000149198	0.000118384	0.999395
111	rest	7.18E-05	0.00013166	7.74E-05	0.000100782	0.999618
