num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	3.090809476	2.233022952	2.046370246	1.492085676	1.701667836	0.228144058
2	0	3.090809476	2.233022952	2.046370246	1.492085676	1.701667836	0.228144058
3	0	3.090809476	2.233022952	2.046370246	1.492085676	1.701667836	0.228144058
4	0	3.090809476	2.233022952	2.046370246	1.492085676	1.701667836	0.228144058
5	0	3.090809476	2.233022952	2.046370246	1.492085676	1.701667836	0.228144058
6	0	3.090809476	2.228543697	2.032534877	1.485761227	1.694713696	0.266074538
7	0	3.090809476	2.237794268	1.996952567	1.577174448	1.708403268	0.337313763
8	0	3.090809476	2.240359834	1.931850339	1.725386176	1.729670273	0.322054148
9	0	3.090809476	2.21504807	1.856265831	1.857825433	1.742025467	0.306558063
10	0	3.459654177	2.176172114	1.763053202	1.974758204	1.743794624	0.290818065
11	0	3.639879131	2.131604002	1.685804664	2.091592841	1.748902716	0.237232677
12	0	3.780644622	2.036846722	1.6483538	2.100755456	1.704354445	0.236987396
13	0	3.845442842	1.932001842	1.667631775	2.037470321	1.631142882	0.320891817
14	0	3.922445658	1.876233642	1.681265918	1.987019527	1.562640285	0.404499429
15	0	3.788708146	1.832652156	1.698385339	1.963635658	1.506066674	0.475022458
16	0	3.717140281	1.796753384	1.701281378	1.959481371	1.454236329	0.534650065
17	0	3.647017626	1.798574615	1.681790774	2.033708097	1.443627221	0.517423366
18	0	3.641201494	1.807779251	1.633190727	2.154448868	1.458800036	0.497237706
19	0	3.61159822	1.796798204	1.59635349	2.278043498	1.483596096	0.462603009
20	0	3.5939964	1.769204102	1.550979169	2.348200168	1.488606791	0.430782976
21	0	3.563496432	1.763706511	1.503462326	2.275968465	1.515459728	0.391423627
22	0	3.602308076	1.895854223	1.562081645	2.174653554	1.547936927	0.345157426
23	0	3.632330098	2.04490681	1.648196643	2.034978652	1.61496748	0.299423883
24	0	3.634340507	2.182864563	1.600479506	2.031293323	1.671809249	0.301823848
25	0	3.624510609	2.311126825	1.56737528	1.855401636	1.741221318	0.308375141
26	0	3.636567089	2.400755438	1.543237873	2.067386512	1.786086121	0.331131779
27	0	3.50299841	2.322237706	1.533759349	2.067386512	1.813569093	0.375475771
28	0	3.355017408	2.168424615	1.527054711	2.213031306	1.771421139	0.431614705
29	0	3.235175919	1.949905842	1.613322631	2.160565875	1.728245463	0.417813845
30	0	3.062282404	1.703764493	1.757770059	2.264128996	1.693826347	0.430350295
31	0	2.833503743	1.391708564	1.892141418	2.153007459	1.637133182	0.45210363
32	0	2.733307118	1.25542526	1.811580456	2.156669686	1.573620336	0.457921816
33	0	2.678699512	1.22317109	1.829348607	2.081158255	1.564189738	0.461085711
34	0	2.575855074	1.267872387	1.872672973	2.090780808	1.516533739	0.493669988
35	0	2.536126982	1.283396292	1.82134903	2.105594483	1.464531233	0.47208605
36	0	2.58822619	1.365835273	1.784294338	2.193968973	1.428661928	0.442995823
37	0	2.955283363	1.501047355	1.877188866	2.190441065	1.445685489	0.418609761
38	0	3.223630375	1.659696742	1.843157301	2.119679221	1.473367673	0.381784047
39	0	3.463387987	1.763522317	1.826916208	1.987921949	1.537774312	0.336249568
40	0	3.673819562	1.835278507	1.822722604	2.015449561	1.563502925	0.326592078
41	0	3.810543357	1.878080043	1.765729844	2.045657754	1.604573604	0.314137137
42	0	3.710083611	1.856319624	1.69860413	2.159708007	1.603206488	0.318425494
43	1	3.605140412	1.764098622	1.674340722	2.20832394	1.564951802	0.31706597
44	1	3.476156725	1.688986348	1.609164619	2.281902757	1.530995284	0.333025933
45	1	3.296443867	1.669793576	1.585878452	2.217350206	1.521403673	0.338752101
46	1	3.104464583	1.62116726	1.588654127	2.080644272	1.494281752	0.331224171
47	1	3.132719367	1.604092449	1.5686195	2.005019716	1.452223664	0.293400959
48	1	3.068382368	1.640955804	1.566578249	2.013555407	1.446029544	0.273797731
49	1	3.039115448	1.689357889	1.601466665	1.93519604	1.452094205	0.267412368
50	1	3.055877456	1.673918751	1.610606962	1.924530703	1.494629141	0.279922908
51	1	3.122542133	1.692875727	1.633805293	2.034932166	1.553562104	0.314601694
52	1	3.179760119	1.685241711	1.703425356	2.161252552	1.543334118	0.394325528
53	1	3.278442304	1.663444578	1.649420366	2.102486643	1.640964575	0.470732821
54	1	3.302378813	1.665062033	1.601315492	2.086435725	1.694919243	0.510476783
55	1	3.305654303	1.666178159	1.581626471	2.010996009	1.701135711	0.541624689
56	1	3.240114927	1.687349057	1.563771295	1.84964072	1.701933905	0.551402607
57	1	3.213348134	1.733687658	1.541322813	1.869870213	1.748900744	0.519022768
58	1	3.188343793	1.7959079	1.600194259	2.016007135	1.684558643	0.469184503
59	1	3.222177337	1.757061902	1.639981054	2.08080702	1.643919969	0.455494639
60	1	3.276666631	1.779986083	1.670951144	2.069067606	1.598826105	0.417707827
61	1	3.352771286	1.768447355	1.685403447	2.090222635	1.573377564	0.403476436
62	1	3.342666345	1.751595553	1.689479376	1.948392366	1.610713092	0.422682475
63	1	3.407586174	1.781214154	1.722127683	1.944350147	1.662774929	0.451299436
64	1	3.442570195	1.87636514	1.750935712	2.022209413	1.731772354	0.456491038
65	1	3.415412161	1.91164917	1.782693982	2.165280694	1.698169441	0.501887973
66	1	3.384493594	1.933715536	1.802713636	2.214515628	1.742097583	0.456662873
67	1	3.403757659	1.938808126	1.837206558	2.262487159	1.735206202	0.460377967
68	1	3.290158435	1.841747373	1.822839023	2.221344155	1.714659745	0.455348603
69	1	3.159804232	1.727486122	1.814887507	2.182393886	1.647524968	0.436844927
70	1	3.103952333	1.623782386	1.773091608	2.165515327	1.681169052	0.394371898
71	1	3.045438475	1.570195106	1.748642104	2.219333758	1.649726976	0.439944595
72	0	2.952467363	1.528863102	1.676122719	2.193595106	1.642674735	0.413763286
73	0	2.929422865	1.558606025	1.62362109	2.218732098	1.619347706	0.403808809
74	0	3.014291891	1.602235791	1.5616348	2.260966038	1.61084893	0.42150133
75	0	3.208364361	1.643907527	1.525224972	2.249943468	1.672551149	0.43039131
76	0	3.391542595	1.671628289	1.491113536	2.192092035	1.645963512	0.413085382
77	0	3.672506296	1.83496138	1.536325095	2.237701855	1.641908247	0.432181302
78	0	3.92023353	1.957444384	1.582136349	2.227742168	1.705655508	0.459400027
79	0	4.065048528	2.061873876	1.64516844	2.160535668	1.773831505	0.476447093
80	0	4.073366385	2.141193609	1.693999279	2.175543138	1.801112573	0.504745997
81	0	4.072378576	2.182559953	1.734224582	2.236424089	1.759200247	0.560105506
82	0	3.906658599	2.095054022	1.689648192	2.207338869	1.810073616	0.571518693
83	0	3.654795466	2.033004741	1.627955892	2.237051727	1.779875511	0.546584413
84	0	3.35759982	1.938492042	1.505944778	2.298398921	1.726579201	0.498319234
85	0	3.084492549	1.846044063	1.378654809	2.279576263	1.626106753	0.440779095
86	1	2.762300927	1.808726208	1.245142625	2.24354117	1.671324606	0.367781934
87	1	2.658073293	1.799864127	1.216112512	2.212097915	1.580454453	0.295584413
88	1	2.631067137	1.735233743	1.233732449	2.158166636	1.534991316	0.238999215
89	1	2.619611617	1.705078227	1.292336614	2.055655332	1.515448491	0.223224035
90	1	2.689796789	1.71097814	1.367742358	2.000073385	1.525203125	0.216541892
91	1	2.707612799	1.677986194	1.448087364	1.925318931	1.486807656	0.244527286
92	1	2.746139281	1.63713032	1.515410414	1.942922129	1.49696502	0.307665432
93	1	2.844044416	1.647980057	1.522422713	1.940534649	1.494467113	0.367558319
94	1	2.973353213	1.650257438	1.543743509	2.036469128	1.480787643	0.408673739
95	1	3.06992997	1.612426164	1.535672695	2.100288794	1.49375585	0.436021989
96	1	3.144824402	1.618395164	1.472486356	2.197840148	1.527391333	0.430625999
97	1	3.186966631	1.689900702	1.372646247	2.254168438	1.486457552	0.392320094
98	1	3.1234371	1.73822	1.308338664	2.305864459	1.45095553	0.363122159
99	1	3.005929385	1.828909306	1.267053337	2.30824957	1.47177206	0.324289473
100	1	2.930993235	1.947462661	1.267854652	2.331530771	1.476394724	0.307592207
101	1	2.913463003	2.029276253	1.348975194	2.32462784	1.489318875	0.299129022
102	1	2.945666241	2.089923351	1.440083273	2.29903143	1.523254183	0.301270235
103	1	3.033956535	2.13585261	1.542610333	2.313982367	1.584721475	0.290678178
104	1	3.133855252	2.107279168	1.619621331	2.307356973	1.56127121	0.29074405
105	1	3.139689462	2.022897114	1.686899735	2.306046923	1.550316215	0.293068039
106	1	3.07535749	1.880543881	1.734311269	2.323920804	1.567600009	0.277930942
107	1	2.981196115	1.687587361	1.755892281	2.304660054	1.603540009	0.275563696
108	1	2.899211279	1.487019848	1.772004133	2.242732925	1.610121281	0.274145047
109	1	2.777208551	1.340137195	1.754517725	2.19488138	1.650160936	0.281153303
110	1	2.720376459	1.230587012	1.718481916	2.107601414	1.696895026	0.261737541
111	1	2.686078409	1.227951521	1.664372432	1.985467479	1.691515588	0.286585101
112	1	2.595439007	1.277101536	1.625476637	1.962267881	1.691361289	0.284171305
113	1	2.468427939	1.300670629	1.542058873	1.933319434	1.665083976	0.304640877
114	1	2.485583061	1.34590449	1.515749528	1.971347706	1.656317106	0.349564416
115	1	2.516042967	1.43720133	1.490225568	2.037293021	1.618329082	0.400553202
116	1	2.715995577	1.553627372	1.459258958	2.151311407	1.586217514	0.412711355
117	1	2.956351795	1.682749393	1.462515477	2.219659056	1.565378718	0.431926982
118	1	3.156105964	1.864346791	1.528596466	2.30282132	1.579287667	0.436512471
119	1	3.248734574	1.984908223	1.514295842	2.308037427	1.57451307	0.382180435
120	1	3.315714792	2.071631937	1.506585616	2.293332463	1.587613004	0.321104329
121	1	3.256369098	2.109860338	1.547939056	2.228049791	1.600978714	0.278799219
122	1	3.146624234	2.098530604	1.575210831	2.153267375	1.567877295	0.254794949
123	1	3.02912834	1.987350488	1.564175238	2.084763437	1.554904829	0.231016602
124	1	2.970066453	1.899255053	1.625764365	2.076584562	1.542142673	0.28575774
125	1	2.968574104	1.821718248	1.732286189	2.152706922	1.564414487	0.34432256
126	1	3.046930123	1.798877636	1.814996241	2.21994716	1.609802896	0.40682236
127	1	3.180768019	1.844652841	1.878773274	2.304552468	1.670826675	0.453202404
128	1	3.291583463	1.933776551	1.945683748	2.373203762	1.69933425	0.49814155
129	1	3.349976656	1.964269727	1.972362004	2.430712007	1.694224729	0.470503144
130	1	3.332866993	1.948303266	1.911351684	2.408018816	1.636841238	0.441237223
131	1	3.285545612	1.871255918	1.813718149	2.40467429	1.591879065	0.392754518
132	1	3.157167396	1.726080686	1.681608127	2.373876325	1.545976379	0.332276023
133	1	2.999425381	1.573436715	1.515084774	2.332182716	1.488499085	0.279081304
134	1	2.780917402	1.447056642	1.364025046	2.246656822	1.514654099	0.288501827
135	1	2.573881422	1.333623286	1.324581885	2.168023773	1.563079918	0.304453097
136	1	2.437449958	1.261386585	1.302277988	2.035853623	1.548193573	0.313674021
137	1	2.416189101	1.251657466	1.311647063	1.917437711	1.527370915	0.353592999
