num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.0249958	0.0238432	0.00166839	0.0216231	0.927869
3	rest	0.0123783	0.0264805	0.00120752	0.00197178	0.957962
4	rest	0.00905905	0.0189043	0.0018385	0.00162075	0.968577
5	rest	0.00534604	9.28E-03	8.17E-04	0.000217834	0.984336
6	rest	0.00175855	0.00267441	0.000809406	2.08E-04	0.99455
7	rest	0.00182227	0.000965137	0.000398229	1.13E-03	0.995685
8	rest	0.00184999	0.000872854	0.000649209	0.000251228	0.996377
9	rest	0.00146961	0.000461868	0.000511835	9.14E-04	0.996643
10	rest	0.00143907	0.000772902	0.000741072	0.00053536	0.996512
11	rest	0.00127851	0.00116542	0.000553933	0.000409872	0.996592
12	rest	0.000936861	0.000989974	0.00069176	0.0010135	0.996368
13	rest	0.000645317	0.000932908	0.000243963	0.000153635	0.998024
14	rest	0.000426517	0.0003758	0.000421517	0.000212463	0.998564
15	rest	0.000343571	0.000142104	0.000324438	0.000208856	0.998981
16	rest	0.000797256	0.000266583	0.000854119	0.000530524	0.997552
17	rest	0.00196475	0.00047494	0.000415964	0.000964538	0.99618
18	rest	0.00119474	0.000631222	7.02E-05	8.64E-05	0.998017
19	rest	0.001112	0.000826193	0.000358219	0.00120753	0.996496
20	rest	0.000852406	0.00153835	0.000467643	0.000363	0.996779
21	rest	0.000947286	0.00114356	8.63E-04	0.000358907	0.996687
22	rest	0.000955436	0.000236238	0.00159319	0.000537924	0.996677
23	rest	0.00311833	0.00041057	0.00112898	0.000283095	0.995059
24	rest	0.00691211	0.000604372	0.000721046	0.000887966	0.990875
25	rest	0.00551759	0.000346392	0.000319623	0.000326709	0.99349
26	rest	0.00574275	0.000357454	0.000261644	0.00036979	0.993268
27	rest	0.00358189	0.000274542	0.000264469	0.000221783	0.995657
28	rest	0.00284546	0.000467611	0.000325316	0.000279347	0.996082
29	rest	0.00151776	0.000242227	0.000134764	0.000175041	0.99793
30	rest	0.00117372	2.94E-04	6.85E-05	2.10E-04	0.998254
31	rest	8.02E-04	2.18E-04	1.65E-04	0.000181601	0.998634
32	rest	7.77E-04	3.17E-04	0.000288798	3.81E-04	0.998236
33	rest	0.00024413	0.00016237	8.64E-05	0.000169317	0.999338
34	rest	0.00027705	0.000123637	0.000351174	1.77E-04	0.999071
35	rest	6.69E-04	2.29E-04	0.000605803	4.65E-04	0.998031
36	rest	0.000490763	0.000172515	0.000133209	0.000149072	0.999054
37	rest	0.00058088	2.27E-04	1.29E-04	0.000281038	0.998782
38	rest	0.000700148	2.83E-04	0.000122999	0.000159649	0.998734
39	rest	0.00034221	0.000226183	0.000167019	0.000337642	0.998927
40	rest	0.000645265	0.000580194	0.000428284	0.000457031	0.997889
41	rest	8.96E-04	5.83E-04	5.43E-04	6.18E-04	0.997359
42	rest	6.30E-04	6.27E-04	0.0002091	2.20E-04	0.998314
43	rest	0.000658634	0.000502283	0.000432509	0.000749529	0.997657
44	rest	0.00138951	1.20E-03	4.12E-04	0.000484571	0.996513
45	rest	1.11E-03	9.06E-04	7.42E-04	1.27E-04	0.997119
46	rest	0.00162023	3.17E-04	0.000259283	0.000225488	0.997578
47	rest	0.00167046	0.000332512	0.000166396	0.000405884	0.997425
48	rest	0.00126973	0.000324485	1.20E-04	0.000124804	0.998161
49	rest	9.98E-04	5.60E-04	0.000263821	3.80E-04	0.997799
50	rest	0.000122847	0.000112141	4.28E-05	5.11E-05	0.999671
51	rest	0.000198403	0.000206255	0.000160544	1.22E-04	0.999313
52	rest	0.000691034	0.000363044	0.000366331	0.000401237	0.998178
53	rest	0.00135706	4.41E-04	0.000549074	5.86E-04	0.997066
54	rest	0.00391535	1.40E-03	0.00255647	0.00246179	0.989666
55	rest	0.00710869	0.00365149	2.26E-03	0.00290188	0.984078
56	rest	1.04E-02	6.49E-03	2.24E-03	0.00259507	0.978314
57	rest	1.04E-02	5.77E-03	2.25E-03	1.98E-03	0.97957
58	rest	0.0109542	3.38E-03	1.12E-03	4.13E-04	0.984124
59	rest	1.11E-02	1.50E-03	7.38E-04	4.48E-04	0.98621
60	rest	9.53E-03	6.66E-04	6.10E-04	6.61E-04	0.988536
61	rest	0.00815978	6.50E-04	9.90E-04	0.00118503	0.989014
62	rest	6.04E-03	1.12E-03	0.000530873	8.45E-04	0.991466
63	rest	0.00264128	6.70E-04	0.000221459	0.000287484	0.99618
64	rest	0.000929599	0.000208321	9.08E-05	0.000273469	0.998498
65	rest	0.00066095	0.000179896	0.000187873	0.000412666	0.998559
66	rest	0.000242892	8.39E-05	2.68E-05	3.00E-05	0.999616
67	rest	0.000377985	0.000113289	8.62E-05	0.000545667	0.998877
68	rest	0.000366906	4.23E-05	6.00E-05	8.35E-06	0.999522
69	rest	0.00123121	0.000114319	1.96E-04	0.000205027	0.998254
70	rest	0.00183103	0.000365523	0.000329347	0.00048381	0.99699
71	rest	0.00225584	0.00062627	0.000831576	0.000924944	0.995361
72	rest	0.00409569	1.85E-03	1.70E-03	8.45E-04	0.991506
73	rest	5.47E-03	1.72E-03	3.29E-03	1.06E-03	0.988455
74	rest	7.38E-03	1.37E-03	1.96E-03	0.000573945	0.988719
75	rest	0.00562063	0.00107161	1.23E-03	3.08E-04	0.991774
76	rest	0.00420806	0.000518353	2.39E-04	1.76E-04	0.994858
