num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	4.374669416	3.369204098	2.355603335	3.119940582	1.523162166	0.065456098
2	0	4.374669416	3.369204098	2.355603335	3.119940582	1.523162166	0.065456098
3	0	4.412511355	3.375394976	2.355603335	3.114347948	1.773915998	0.065456098
4	0	4.454815264	3.40732259	2.355603335	3.113073308	1.936105521	0.065456098
5	0	4.523473408	3.433908688	2.355603335	3.134147139	2.047531289	0.065456098
6	0	4.585991144	3.449644808	2.355603335	3.160087552	2.102957054	0.065456098
7	0	4.646292778	3.452634852	2.355603335	3.229519722	2.116122212	0.065456098
8	0	4.625222307	3.428317637	2.355603335	3.335745059	1.960638807	0.065456098
9	0	4.565729683	3.332131958	2.355603335	3.428844928	1.801639275	0.065456098
10	0	4.455263574	3.230579223	2.497538871	3.476652225	1.661359984	0.065456098
11	0	4.32432879	3.11914447	2.580267506	3.511936311	1.569628655	0.065456098
12	0	4.135401168	3.010007023	2.639426466	3.48425884	1.520478907	0.279179459
13	0	4.010119426	2.907339329	2.657284913	3.428898468	1.44920767	0.434887219
14	0	3.946191876	2.859262829	2.668246011	3.400977996	1.410024762	0.554792967
15	0	3.840373026	2.751942901	2.557900282	3.443892757	1.317962252	0.641040962
16	0	3.698143635	2.634727988	2.487344384	3.48595475	1.219557226	0.713900907
17	0	3.582193051	2.463391217	2.417755141	3.549457288	1.145303034	0.653334787
18	0	3.436406061	2.280776845	2.380679196	3.566246258	1.092553561	0.599216978
19	0	3.223084242	2.044937237	2.33318709	3.514769092	0.988708308	0.538857674
20	0	3.118091973	1.941218835	2.251567779	3.377167724	0.921516744	0.494967893
21	0	3.084902948	1.844895782	2.124356279	3.238978067	0.892544599	0.438628607
22	0	3.09200368	1.837264756	1.996845255	3.100155126	0.885950548	0.40315842
23	0	3.052114609	1.815909554	1.950972661	3.016290288	0.921764948	0.388770286
24	0	3.022667836	1.847480485	1.950163092	3.074847975	1.003845566	0.395357175
25	0	2.99178321	1.797576864	2.013376317	3.178050712	1.083906738	0.405966944
26	0	2.939776035	1.767089757	2.098689953	3.288017622	1.130128265	0.456175666
27	0	2.836141186	1.749350256	2.190314914	3.38139926	1.161756157	0.470499623
28	0	2.784872725	1.761159576	2.192584738	3.46404618	1.145948932	0.48785993
29	0	2.706822369	1.777738649	2.180866026	3.463062971	1.128910631	0.521911955
30	0	2.630290729	1.835759633	2.193686413	3.448782344	1.118906478	0.558704605
31	0	2.747635298	1.980388864	2.24591231	3.393507452	1.108826532	0.565180162
32	0	2.874386764	2.099672719	2.290536569	3.305147847	1.074236723	0.59764952
33	0	3.177420917	2.239855728	2.401122155	3.193894033	1.044099214	0.613787422
34	0	3.434791929	2.345987082	2.493964142	3.141132651	0.991608899	0.607467586
35	0	3.627713329	2.424339615	2.547848401	3.134153224	0.944782331	0.595528637
36	0	3.676635028	2.386645262	2.566990939	3.175915296	0.902128831	0.600898653
37	0	3.735027423	2.311501603	2.566880394	3.291466873	0.878411206	0.597196953
38	0	3.582382451	2.18089418	2.479719568	3.41879104	0.895200836	0.594598348
39	0	3.385034186	2.042424559	2.4018625	3.483429225	0.933651139	0.616572696
40	0	3.137921902	1.917924935	2.309943014	3.510834276	0.995815953	0.653053028
41	0	2.899002735	1.896870036	2.201732095	3.476495532	1.063663126	0.687951127
42	0	2.554932029	1.920241651	2.12122548	3.366125058	1.136645469	0.717822087
43	0	2.506682583	1.958070041	2.0955599	3.228793249	1.172844037	0.73043132
44	0	2.499584364	2.008445231	2.107763659	3.146051897	1.186510035	0.723260654
45	0	2.513531524	1.98091597	2.120131984	3.100859845	1.156843281	0.695213678
46	0	2.583237519	1.91494648	2.160068474	3.159507526	1.093436576	0.665669342
47	0	2.707373882	1.847816644	2.177886094	3.307649623	1.014534387	0.631239149
48	0	2.757643406	1.742062626	2.219811986	3.414069604	0.956790797	0.623138775
49	0	2.783070417	1.565875582	2.148335375	3.480462364	0.955023439	0.621592395
50	0	2.806034172	1.464117456	2.10774268	3.497702269	0.979488332	0.629556996
51	0	2.81761913	1.391592996	2.044415365	3.453326207	1.047690831	0.623224456
52	0	2.720622469	1.307963376	2.016729461	3.311561231	1.114215504	0.623952108
53	0	2.672525685	1.358968124	1.949919369	3.205525588	1.145590631	0.63647256
54	0	2.616952349	1.477452124	1.957895361	3.100662796	1.125706164	0.64067969
55	0	2.566011546	1.589192055	1.93701637	3.049826338	1.095847528	0.641270046
56	0	2.540929717	1.710552927	1.925445515	3.11185193	1.067678385	0.640568554
57	0	2.56044398	1.801346942	1.897748466	3.237881967	1.012329051	0.656060901
58	0	2.549146294	1.822044565	1.92205115	3.29670514	0.954162388	0.624593436
59	0	2.559455331	1.821742973	1.966191627	3.359004105	0.92171504	0.595215254
60	0	2.588477578	1.810628606	1.993798224	3.393787701	0.909443706	0.584872155
61	0	2.606404156	1.76497885	2.044175553	3.32225665	0.872243231	0.600727995
62	0	2.652799178	1.765311591	2.041294215	3.211182691	0.874913272	0.596247524
63	0	2.726590495	1.817826573	2.029221781	3.114439976	0.947522523	0.6503545
64	0	2.805523839	1.881738557	2.023705195	2.941296887	1.028868059	0.704793159
65	0	2.881022982	1.93870673	2.07831311	2.761315433	1.085086734	0.746026883
