num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
2	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
3	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
4	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
5	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
6	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
7	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
8	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
9	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
10	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
11	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
12	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
13	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
14	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
15	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
16	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
17	0	6.050641867	3.274108872	3.08E+00	1.03E+00	2.300369476	-0.169963737
18	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
19	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
20	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
21	0	6.050641867	3.274108872	3.079695511	1.028100144	2.300369476	-0.169963737
22	0	6.028213181	3.274108872	3.055230743	1.039431068	2.271935093	-0.162574081
23	0	5.984027034	3.656884887	2.99737226	1.027353581	2.207380909	-0.168473296
24	0	5.900497376	3.822794388	2.90827027	1.029388331	2.09856538	-0.170885207
25	0	5.767384887	3.860095392	2.778902105	1.049710905	1.929497804	-0.169211636
26	0	5.563213561	3.78488954	2.592273872	1.091327734	1.665207213	-0.162903723
27	0	5.333193116	3.70090348	2.411558081	1.135260614	1.365117698	-0.166155117
28	0	5.058919024	3.199192314	2.278004614	1.242877778	1.053651998	-0.13746048
29	0	4.808235603	2.65688643	2.18E+00	1.345539633	0.766312666	-0.110175685
30	0	4.62697718	2.264371051	2.139072409	1.4407579	0.56938805	-0.084735569
31	0	4.56757064	2.35671633	2.154437011	1.526998976	0.538876326	-0.061534469
32	0	4.556398395	2.48291071	2.17E+00	1.609697385	0.538042146	-0.034439372
33	0	4.602206911	2.630457554	2.163676475	1.668643106	0.53995371	-0.022004275
34	0	4.646008601	2.759007293	2.159386467	1.724306794	0.541861627	-0.009721912
35	0	4.687971943	2.872898478	2.155077976	1.777034733	0.54376591	0.002411423
36	0	4.728245054	2.975134571	2.150750841	1.827121138	0.545666575	0.014399303
37	0	4.766958837	3.067881124	2.146404901	1.874818097	0.547563633	0.026245175
38	0	4.804229557	3.152751113	2.142039991	1.920343252	0.5494571	0.037952363
39	0	4.840160938	3.230978289	2.137655945	1.963885799	0.551346988	0.049524078
40	0	4.874845911	3.303527463	2.133252595	2.005611239	0.553233311	0.060963418
41	0	4.908368057	3.371167408	2.128829769	2.045665177	0.555116083	0.072273378
42	0	4.940802821	3.434520615	2.124387295	2.084176392	0.556995316	0.083456853
43	0	4.972218538	3.494098203	2.119924997	2.121259327	0.558871025	0.094516639
44	0	5.002677294	3.550324999	2.115442698	2.157016148	0.560743222	0.105455443
45	0	5.032235672	3.603557932	2.110940217	2.060760309	0.56261192	0.116275883
46	0	5.060945377	3.654099771	2.106417373	1.945601334	0.564477133	0.126980494
47	0	5.088853786	3.70220956	2.101873979	1.805499046	0.566338873	0.137571729
48	0	5.116004417	3.74811065	2.097309848	1.630698444	0.568197154	0.148051964
49	0	5.142437334	3.791996973	2.09E+00	1.40E+00	0.570051987	0.158423501
50	0	5.168189508	3.834037986	2.088118614	1.403923466	0.571903387	0.168688573
51	0	5.193295123	3.87438263	2.083491122	1.403923466	0.573751366	0.178849344
52	0	5.217785851	3.913162509	2.078842117	1.403923466	0.575595935	0.18890791
53	0	5.241691094	3.950494484	2.074171397	1.403923466	0.577437109	0.198866309
54	0	5.229907292	3.948426693	2.086660279	1.403923466	0.574140965	0.182714618
55	0	5.175011824	3.903033843	2.085139648	1.403923466	0.566150492	0.139012258
56	0	5.068082353	3.806509117	2.071016767	1.568112006	0.555461504	0.064046074
57	0	4.888827728	3.640500017	2.045255739	1.646309381	0.544120734	-0.049605065
58	0	4.588982714	3.361814029	2.008500342	1.654496883	0.534261806	-0.216102701
59	0	4.231574677	3.051314667	1.921765943	1.647304304	0.538819829	-0.368632544
60	0	3.830185467	2.728918117	1.853870447	1.640838551	0.558705907	-0.494115954
61	0	3.411829335	2.435845919	1.807447537	1.482423129	0.590999597	-0.578354077
62	0	3.080255552	2.254979685	1.783813309	1.383278169	0.632580991	-0.609379656
63	0	3.024839342	2.27311803	1.78E+00	1.367082963	0.680440352	-0.582341827
64	0	3.011229231	2.302799805	1.824573927	1.372188984	0.727468169	-0.555538731
65	0	2.997431325	2.33E+00	1.86E+00	1.38E+00	0.77238335	-0.529435327
66	0	2.98344037	2.359644297	1.90E+00	1.382323472	0.815367577	-0.503996012
67	0	2.969250888	2.39E+00	1.94E+00	1.39E+00	0.856580055	-0.479187834
68	0	2.954857163	2.413430557	1.976550823	1.392356281	0.89616108	-0.454980233
69	0	2.940253228	2.439276343	2.011191804	1.39733519	0.934234914	-0.431344815
70	0	2.925432855	2.464470919	2.044672856	1.402289432	0.970912143	-0.408255156
71	0	2.910389529	2.489046298	2.077069148	1.40721925	1.00629161	-0.385686619
72	0	2.895116441	2.513032185	2.108448771	1.412124885	1.040462025	-0.363616201
73	0	2.879606463	2.5364562	2.138873598	1.417006572	1.0735033	-0.342022385
74	0	2.863852131	2.559344065	2.168400022	1.421864543	1.105487677	-0.320885023
75	0	2.847845621	2.581719776	2.197079581	1.426699029	1.13648068	-0.300185217
76	0	2.83157873	2.603605753	2.22E+00	1.43E+00	1.166541922	-0.279905217
77	0	2.815042845	2.625022975	2.25E+00	1.436298444	1.195725797	-0.260028334
78	0	2.798228921	2.645991101	2.28E+00	1.441063815	1.224082069	-0.240538854
79	0	2.781127447	2.66652858	2.304218449	1.445806585	1.251656385	-0.221421963
80	0	2.763728417	2.686652744	2.329301008	1.450526968	1.278490717	-0.202663684
81	0	2.746021291	2.706379903	2.353769797	1.455225173	1.304623746	-0.184250808
82	0	2.727994963	2.725725417	2.377654136	1.46E+00	1.330091196	-0.166170845
83	0	2.709637712	2.744703774	2.400981295	1.464555878	1.354926131	-0.148411971
84	0	2.690937161	2.763328651	2.42377668	1.469188784	1.379159208	-0.130962979
85	0	2.671880223	2.781612976	2.45E+00	1.473800325	1.402818911	-0.11381324
86	0	2.652453052	2.799568977	2.467865395	1.478390697	1.425931746	-0.096952663
87	0	2.632640975	2.81720824	2.489201618	1.482960094	1.448522423	-0.080371657
88	0	2.612428433	2.834541745	2.5100921	1.487508707	1.470614016	-0.064061103
89	0	2.591798902	2.851579911	2.530555086	1.492036723	1.4922281	-0.04801232
90	0	2.570734812	2.868332635	2.550607721	1.496544329	1.513384883	-0.032217036
91	0	2.549217461	2.884809324	2.570266139	1.501031707	1.534103314	-0.01666737
92	0	2.622183165	2.882511364	2.59E+00	1.52E+00	1.551992928	0.005479839
93	0	2.707212848	2.86E+00	2.61E+00	1.55E+00	1.547622508	0.019293194
94	0	2.890379902	2.79E+00	2.60E+00	1.57E+00	1.540507423	0.039698694
95	0	3.063423498	2.69118844	2.567549323	1.587040711	1.510817958	0.05353101
96	0	3.23E+00	2.54E+00	2.50E+00	1.60E+00	1.455617095	0.060631365
97	0	3.30E+00	2.36E+00	2.38E+00	1.58E+00	1.375288445	0.047741293
98	0	3.36E+00	2.19E+00	2.21E+00	1.54E+00	1.313705931	0.042572485
99	0	3.31E+00	2.05E+00	2.04E+00	1.51E+00	1.221297184	0.015572617
100	0	3.26E+00	1.93E+00	1.90E+00	1.47E+00	1.146928235	-0.007863347
101	0	3.189256993	1.87E+00	1.80E+00	1.44E+00	1.096705776	-0.026999777
102	0	3.156715155	1.83E+00	1.76E+00	1.43E+00	1.071968812	-0.033994332
103	0	3.12E+00	1.78E+00	1.77E+00	1.424130538	1.043698837	-0.043558421
104	0	3.15E+00	1.71E+00	1.79E+00	1.418126222	1.04561706	-0.039488767
105	0	3.17E+00	1.64E+00	1.81E+00	1.41E+00	1.047531611	-0.035435608
106	0	3.20E+00	1.56E+00	1.84E+00	1.41E+00	1.049442503	-0.031398811
107	0	3.276289504	1.514634484	1.841780521	1.401751919	1.039635069	-0.020101688
108	0	3.41E+00	1.651455702	1.98E+00	1.48E+00	1.057548634	-0.005076872
109	0	3.54E+00	1.84E+00	2.10E+00	1.53E+00	1.066189992	0.001352892
110	0	3.653591317	2.052954289	2.186673424	1.58282325	1.04574468	0.011915793
111	0	3.760166329	2.298922358	2.254116694	1.61E+00	1.003655889	0.033374835
