num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	2.300975194	1.825071757	1.513859515	0.183265946	0.532071145	0.126023108
2	0	2.300975194	1.825071757	1.513859515	0.183265946	0.532071145	0.126023108
3	0	2.300975194	1.825071757	1.513859515	0.183265946	0.532071145	0.126023108
4	0	2.300975194	1.825071757	1.513859515	0.183265946	0.532071145	0.126023108
5	0	2.300975194	1.825071757	1.513859515	0.183265946	0.532071145	0.126023108
6	0	2.327861398	1.815597131	1.545072693	0.2350291	0.645806121	0.141237554
7	0	2.364187147	1.806425811	1.567060336	0.353762272	0.788694978	0.156634894
8	0	2.415838792	1.808732446	1.575345608	0.512281601	0.930595274	0.165643856
9	0	2.500566105	1.820714282	1.56488069	0.665972322	1.055040011	0.174539911
10	0	2.588944806	1.855829331	1.539853015	0.824133203	1.172250619	0.214369731
11	0	2.621266001	1.900838414	1.423597765	0.975281214	1.154964779	0.250465512
12	0	2.622110463	1.940032514	1.299912522	1.050403161	1.08541778	0.271908996
13	0	2.614351164	1.961374141	1.170177674	1.079995705	0.991275617	0.296040503
14	0	2.556269177	1.963787013	1.047041153	1.084527757	0.889728402	0.312862552
15	0	2.45759502	1.925504564	0.932392337	1.07878021	0.773186185	0.285909513
16	0	2.397277422	1.900614873	0.964303927	1.059030813	0.758049706	0.222941329
17	0	2.483050064	1.911080273	1.096036457	1.432907403	0.915226905	0.239433964
18	0	2.555013099	1.935238919	1.294038756	1.755651987	1.099698768	0.349925073
19	0	2.626134648	1.973217279	1.480614464	2.018896362	1.264947755	0.48487692
20	0	2.726022992	2.036293707	1.645534668	2.221497712	1.399997442	0.629396344
21	0	2.857754493	2.110123074	1.745383484	2.37620891	1.519289166	0.787882245
22	0	2.841070117	2.127307787	1.739923064	2.273733723	1.498181248	0.877534015
23	0	2.808888665	2.122540944	1.649622297	2.094224074	1.428433019	0.880091173
24	0	2.7880647	2.101705306	1.541591212	1.851911898	1.333313971	0.844614261
25	0	2.784390808	2.08411631	1.418348249	1.532621854	1.233317963	0.794428056
26	0	2.726372977	1.998936828	1.333993457	1.116993764	1.142375353	0.724140908
27	0	2.836622393	1.988020512	1.382845725	1.093738992	1.19824197	0.671886856
28	0	2.969663516	2.011723805	1.469061761	1.201072923	1.284820382	0.671548458
29	0	3.107714464	2.057769032	1.535339231	1.337097222	1.397553569	0.716355592
30	0	3.240601478	2.087972082	1.602230443	1.531360634	1.544587369	0.767283887
31	0	3.321852325	2.149902711	1.633888589	1.718307728	1.646173893	0.826110256
32	0	3.278387859	2.137817282	1.602138258	1.835185616	1.672670273	0.857680213
33	0	3.234601454	2.096792085	1.567025782	1.91569393	1.662227526	0.855606989
34	0	3.185232183	2.062159309	1.521400024	1.965502633	1.625933515	0.839909599
35	0	3.052465653	1.993021373	1.453502714	1.945084713	1.506582733	0.811349457
36	0	2.99251658	1.894145074	1.402626103	1.891308521	1.40022696	0.778324159
37	0	3.055346922	1.812530315	1.364984107	1.860975121	1.343071832	0.771997609
38	0	3.076753529	1.72717716	1.364951177	1.872526167	1.33639933	0.800077073
39	0	3.037919372	1.562446207	1.41072062	1.949546121	1.34497681	0.824429764
40	0	3.065491104	1.44250725	1.452844835	2.062736565	1.406953893	0.879520634
41	0	3.031217183	1.373259935	1.472332974	2.162117256	1.449159161	0.919404378
42	0	2.933568979	1.314620845	1.487942877	2.256811499	1.486045496	0.993870426
43	0	2.819939041	1.312625557	1.482610391	2.315583952	1.525730636	1.059075444
44	0	2.75417223	1.352071796	1.449209583	2.311805236	1.563742293	1.106730189
45	0	2.618925263	1.359169268	1.415908882	2.273335375	1.571072246	1.112638701
46	0	2.529542558	1.331299361	1.40021958	2.211523893	1.555957921	1.108355836
47	0	2.44009555	1.337983065	1.378009344	2.094862705	1.511788645	1.037833825
48	0	2.385839017	1.31315638	1.346846786	1.952137275	1.459974652	0.951774661
49	0	2.401364153	1.350319523	1.281945304	1.829479405	1.374931021	0.868797915
