num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.00355838	2.13E-04	2.84E-04	6.36E-04	0.995309
3	rest	5.01E-05	1.34E-05	9.76E-06	1.25E-04	0.999801
4	rest	4.82E-05	7.28E-06	7.64E-06	1.62E-05	0.999921
5	rest	1.16E-04	3.75E-05	2.61E-05	9.11E-05	0.99973
6	rest	1.85E-04	9.54E-05	2.79E-04	1.35E-04	0.999306
7	rest	0.000184292	1.31E-04	4.14E-05	3.55E-05	0.999608
8	rest	8.69E-05	7.49E-05	7.55E-06	6.82E-06	0.999824
9	rest	6.87E-05	3.10E-05	4.58E-05	5.76E-05	0.999797
10	rest	1.38E-04	9.06E-06	1.95E-05	1.44E-05	0.999819
11	rest	5.28E-05	2.09E-05	3.38E-05	2.53E-05	0.999867
12	rest	0.000598344	1.98E-04	3.89E-04	0.000183166	0.998631
13	rest	4.69E-05	2.55E-05	4.15E-05	7.87E-06	0.999878
14	rest	1.56E-04	5.65E-05	6.74E-05	1.52E-05	0.999704
15	rest	1.18E-04	5.44E-05	5.81E-05	6.17E-05	0.999707
16	rest	2.23E-05	1.31E-05	7.86E-06	3.85E-06	0.999953
17	rest	3.39E-05	1.77E-05	9.30E-06	6.92E-06	0.999932
18	rest	9.22E-05	1.93E-05	4.49E-05	6.24E-06	0.999837
19	rest	1.36E-04	6.01E-05	9.51E-05	1.75E-04	0.999534
20	rest	3.50E-05	1.16E-05	1.52E-05	1.96E-05	0.999919
21	rest	4.86E-05	4.42E-05	1.86E-05	7.48E-05	0.999814
22	rest	5.61E-05	1.31E-05	1.97E-05	2.19E-05	0.999889
23	rest	7.99E-05	3.13E-05	3.55E-05	1.41E-05	0.999839
24	rest	3.26E-04	1.73E-05	0.000205527	2.75E-04	0.999175
25	rest	5.32E-04	4.45E-05	6.64E-05	9.04E-05	0.999266
26	rest	3.52E-04	5.03E-05	4.39E-05	1.05E-04	0.999449
27	rest	5.87E-04	6.12E-05	5.30E-05	6.58E-05	0.999233
28	rest	3.11E-05	2.01E-05	9.11E-06	1.68E-05	0.999923
29	rest	4.67E-05	3.14E-05	6.40E-06	1.23E-05	0.999903
30	rest	1.36E-05	1.32E-05	2.50E-06	2.61E-06	0.999968
31	rest	1.49E-05	4.18E-06	1.76E-06	1.50E-05	0.999964
32	rest	1.36E-04	1.21E-04	1.56E-04	8.10E-05	0.999506
33	rest	7.70E-05	5.52E-05	1.02E-05	9.51E-06	0.999848
34	rest	1.52E-04	1.37E-04	1.71E-04	4.88E-04	0.999052
35	rest	1.05E-04	2.11E-05	4.19E-06	3.62E-05	0.999834
