num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.00350846	0.000448945	0.00020685	0.0134526	0.982383
3	rest	0.000428929	0.00191222	0.00140848	0.0128037	0.983447
4	rest	0.00261109	0.015102	0.00177234	0.000623898	0.979891
5	rest	0.00313924	0.0138059	0.000272284	5.82E-05	0.982724
6	rest	0.00247734	0.00990437	0.000461656	0.000126851	0.98703
7	rest	0.000984772	0.00136337	4.29E-05	2.39E-05	0.997585
8	rest	0.00045713	0.000128116	1.59E-05	9.34E-06	0.99939
9	rest	8.54E-05	1.44E-05	1.92E-06	5.04E-06	0.999893
10	rest	1.78E-05	2.78E-05	4.40E-05	1.28E-05	0.999898
11	rest	2.97E-05	5.90E-05	2.28E-05	0.00010948	0.999779
12	rest	2.89E-05	0.00016292	2.76E-05	8.73E-05	0.999693
13	rest	0.000108234	0.000273991	0.000146566	8.38E-05	0.999387
14	rest	5.75E-05	0.000167649	4.50E-05	6.75E-05	0.999662
15	rest	4.25E-05	0.000188792	4.95E-05	0.000157381	0.999562
16	rest	7.34E-05	0.000352014	4.25E-05	3.20E-05	0.9995
17	rest	0.000134032	0.000265547	0.000195137	0.000176747	0.999229
18	rest	4.18E-05	0.000135424	1.11E-05	3.76E-05	0.999774
19	rest	5.98E-05	0.000156759	4.84E-05	3.27E-05	0.999702
20	rest	8.94E-05	0.000216524	5.27E-05	1.90E-05	0.999622
21	rest	0.000280201	0.00049163	4.95E-05	9.81E-05	0.999081
22	rest	9.51E-05	0.000137975	2.47E-05	7.83E-05	0.999664
23	rest	3.31E-05	0.000134642	3.95E-05	5.99E-05	0.999733
24	rest	3.13E-05	5.64E-05	2.10E-05	1.85E-05	0.999873
25	rest	1.97E-05	3.39E-05	1.78E-05	2.56E-05	0.999903
26	rest	1.11E-05	2.32E-05	3.31E-05	5.64E-06	0.999927
27	rest	2.76E-05	6.14E-05	3.42E-05	2.26E-05	0.999854
28	rest	8.74E-05	9.35E-05	1.96E-05	1.68E-05	0.999783
29	rest	6.44E-05	0.000157001	5.21E-05	3.32E-05	0.999693
30	rest	1.93E-05	4.93E-05	3.14E-05	7.28E-06	0.999893
31	rest	4.11E-05	5.89E-05	7.20E-06	1.21E-05	0.999881
32	rest	0.000134402	0.000137245	0.000345673	5.16E-05	0.999331
33	rest	0.000202071	0.000110322	0.00010961	2.24E-05	0.999556
34	rest	4.77E-05	2.27E-05	1.05E-05	6.62E-06	0.999912
35	rest	7.02E-05	5.20E-05	2.07E-05	1.16E-05	0.999845
36	rest	3.92E-05	6.16E-05	5.75E-05	4.08E-05	0.999801
37	rest	7.98E-05	4.46E-05	3.20E-05	6.83E-06	0.999837
38	rest	3.11E-05	2.53E-05	2.20E-05	2.39E-05	0.999898
39	rest	3.02E-05	3.69E-05	0.000134814	2.18E-05	0.999776
40	rest	5.32E-05	9.43E-05	8.85E-05	2.32E-05	0.999741
41	rest	7.60E-05	4.19E-05	3.01E-05	1.79E-05	0.999834
42	rest	0.00038334	9.59E-05	7.48E-05	0.000107625	0.999338
43	rest	0.000496587	0.000340472	0.000523035	6.07E-05	0.998579
44	rest	7.15E-05	0.000118189	8.09E-05	1.38E-05	0.999716
45	rest	0.00012045	8.13E-05	4.01E-05	3.71E-05	0.999721
46	rest	7.09E-05	0.000130241	0.000125282	2.62E-05	0.999647
47	rest	0.000231513	0.000153964	9.38E-05	0.000590046	0.998931
48	rest	8.08E-05	5.84E-05	6.20E-05	2.52E-05	0.999774
49	rest	0.000200029	0.00014911	0.000149056	0.000268349	0.999233
50	rest	0.000109994	6.15E-05	6.07E-05	9.21E-06	0.999759
51	rest	0.000150854	4.33E-05	5.64E-05	4.99E-05	0.9997
52	rest	0.000264336	0.000106166	4.47E-05	5.15E-05	0.999533
53	rest	0.000132142	0.000146845	0.000111261	1.15E-05	0.999598
54	rest	0.000212126	0.00011486	0.000143467	0.000118133	0.999411
55	rest	0.000130948	8.05E-05	0.000109013	6.57E-05	0.999614
56	rest	4.95E-05	5.44E-05	6.48E-05	5.23E-05	0.999779
57	rest	0.000158341	0.000108912	0.000199068	5.49E-05	0.999479
58	rest	6.47E-05	2.78E-05	4.97E-05	1.01E-05	0.999848
59	rest	0.000477266	0.000143895	0.000327356	8.20E-05	0.998969
60	rest	0.000736009	0.000235054	0.000518828	0.000428342	0.998082
61	rest	0.00115014	0.000485481	0.000210261	0.000382821	0.997771
62	rest	0.000235018	0.00013071	3.28E-05	1.06E-05	0.999591
63	rest	5.17E-05	2.66E-05	7.25E-06	2.14E-06	0.999912
64	rest	2.64E-05	9.21E-05	0.000241892	1.92E-05	0.99962
65	rest	0.000350426	0.000271544	0.00121146	0.00079352	0.997373
66	rest	0.00138893	0.000372565	0.000231873	0.000111724	0.997895
67	rest	0.000222351	0.00012505	2.73E-05	1.03E-05	0.999615
68	rest	1.83E-05	9.13E-06	2.34E-06	2.92E-06	0.999967
69	rest	8.65E-05	4.06E-05	0.000121076	3.35E-05	0.999718
70	rest	0.000381462	6.97E-05	0.000188952	3.65E-05	0.999323
71	rest	0.000237436	0.000111703	6.61E-05	1.86E-05	0.999566
72	rest	6.89E-05	5.03E-05	3.10E-05	0.000148377	0.999701
73	rest	1.94E-05	2.49E-05	3.42E-05	5.20E-05	0.999869
74	rest	8.87E-06	6.40E-05	2.53E-05	1.10E-05	0.999891
75	rest	4.46E-05	0.000119932	2.64E-05	2.48E-05	0.999784
76	rest	0.00017449	6.88E-05	0.000134489	0.000155486	0.999467
77	rest	0.00033912	0.000101056	0.000105382	0.000198121	0.999256
78	rest	0.000598624	0.000397442	0.000172203	5.04E-05	0.998781
79	rest	9.79E-05	9.36E-05	2.97E-05	3.70E-05	0.999742
80	rest	0.000177601	8.97E-05	5.03E-05	4.86E-06	0.999678
81	rest	0.000719192	0.000256951	0.00191897	0.000569465	0.996535
82	rest	0.00205059	0.000715093	0.00321123	0.000527424	0.993496
83	rest	0.000748026	0.000411319	0.000176635	4.24E-05	0.998622
84	rest	0.000298123	0.000377173	0.00016629	0.00045034	0.998708
85	rest	0.00030437	0.000392722	8.83E-05	0.000488435	0.998726
86	rest	0.000158408	0.000243248	6.03E-05	3.20E-05	0.999506
87	rest	3.48E-05	1.84E-05	1.72E-05	1.82E-05	0.999911
88	rest	2.67E-05	2.49E-05	1.37E-05	3.08E-05	0.999904
89	rest	2.45E-05	5.87E-05	0.000101438	5.12E-05	0.999764
90	rest	1.18E-05	2.50E-05	8.70E-06	1.96E-05	0.999935
91	rest	1.22E-05	9.54E-06	3.53E-05	3.33E-05	0.99991
92	rest	4.28E-05	5.56E-05	5.99E-05	1.89E-05	0.999823
93	rest	9.26E-05	6.82E-05	4.60E-05	2.27E-05	0.99977
94	rest	0.000216343	3.45E-05	0.00025304	7.83E-05	0.999418
95	rest	5.12E-05	7.98E-06	2.18E-06	2.89E-05	0.99991
96	rest	5.60E-05	5.92E-05	1.63E-05	3.16E-05	0.999837
97	rest	4.52E-05	2.12E-05	8.87E-05	0.000100622	0.999744
98	rest	4.93E-05	1.97E-05	1.68E-05	2.61E-05	0.999888
99	rest	1.34E-05	3.83E-05	1.84E-05	2.35E-05	0.999907
100	rest	0.000191432	9.15E-05	0.00029171	0.000540618	0.998885
101	rest	0.000253822	0.000266268	0.000399938	0.000318191	0.998762
102	rest	0.000482344	0.000522175	0.000580677	0.000188478	0.998226
103	rest	0.000719222	0.00037681	0.000272803	0.000377595	0.998254
104	rest	3.02E-05	0.000110202	5.57E-05	2.27E-05	0.999781
105	rest	0.000107594	0.000375605	0.000290938	4.13E-05	0.999185
106	rest	1.25E-05	1.47E-05	1.81E-05	2.97E-06	0.999952
107	rest	5.29E-05	1.65E-05	7.49E-05	2.64E-05	0.999829
108	rest	2.23E-05	1.02E-05	6.61E-05	2.18E-05	0.99988
109	rest	0.000168211	5.41E-05	0.000122526	0.000761199	0.998894
110	rest	7.71E-05	0.000100283	3.80E-05	1.16E-05	0.999773
111	rest	4.22E-05	1.33E-05	8.38E-05	0.000103574	0.999757
112	rest	5.14E-05	9.81E-06	3.70E-05	3.44E-05	0.999867
113	rest	5.61E-05	1.56E-05	2.64E-05	7.03E-06	0.999895
114	rest	2.49E-05	2.27E-05	2.68E-05	1.60E-05	0.99991
115	rest	2.73E-05	3.61E-05	7.67E-06	7.12E-06	0.999922
116	rest	2.95E-05	2.21E-05	1.60E-05	2.91E-05	0.999903
117	rest	2.46E-05	7.60E-06	1.94E-05	1.97E-05	0.999929
118	rest	0.000111721	6.24E-05	0.000206254	3.83E-05	0.999581
119	rest	0.000304797	7.77E-05	0.000149963	0.000155789	0.999312
120	rest	8.46E-05	9.82E-05	0.000109128	0.000134133	0.999574
121	rest	1.25E-05	7.14E-06	3.51E-06	6.00E-06	0.999971
122	rest	1.83E-05	3.48E-05	3.69E-05	0.000142172	0.999768
123	rest	6.33E-05	8.09E-05	2.94E-05	5.89E-06	0.999821
124	rest	0.000108914	4.01E-05	1.99E-05	7.96E-05	0.999752
125	rest	7.55E-05	6.72E-05	9.95E-05	4.92E-05	0.999709
126	rest	5.66E-05	0.000165628	0.000255033	0.000151877	0.999371
127	rest	8.31E-06	4.60E-06	6.80E-06	7.35E-06	0.999973
128	rest	8.25E-05	2.14E-05	9.16E-05	2.12E-05	0.999783
129	rest	4.09E-06	4.15E-06	4.09E-06	4.96E-06	0.999983
130	rest	5.98E-05	3.84E-05	6.26E-05	0.000268721	0.99957
131	rest	0.000142061	7.88E-05	0.000168066	0.000222133	0.999389
132	rest	0.000156367	0.000186529	0.000145871	0.000110028	0.999401
133	rest	5.19E-05	2.37E-05	1.25E-05	3.46E-05	0.999877
134	rest	9.72E-05	1.96E-05	4.55E-05	1.39E-05	0.999824
135	rest	0.000145013	2.29E-05	3.67E-05	6.79E-05	0.999728
136	rest	3.20E-05	5.34E-06	2.18E-05	1.79E-05	0.999923
137	rest	9.23E-05	3.92E-05	8.74E-05	0.000119234	0.999662
138	rest	0.000239157	5.15E-05	6.56E-05	0.000151371	0.999492
139	rest	8.74E-05	6.64E-05	6.27E-05	4.63E-05	0.999737
140	rest	8.47E-05	5.85E-05	4.61E-05	4.21E-05	0.999769
141	rest	1.82E-05	2.30E-05	6.23E-05	4.05E-05	0.999856
142	rest	3.34E-05	4.58E-05	0.000126589	0.000206968	0.999587
143	rest	0.000103753	0.000123089	0.000353579	0.000173932	0.999246
144	rest	8.78E-05	0.000178649	0.000117179	0.000138742	0.999478
145	rest	0.000319072	0.00129724	0.00115373	0.000719818	0.99651
146	rest	0.000145817	0.000112276	4.85E-05	9.85E-06	0.999684
147	rest	0.00010446	0.00029244	0.000299909	0.000146473	0.999157
148	rest	4.89E-05	2.81E-05	8.25E-05	1.74E-05	0.999823
149	rest	0.000181965	0.000232568	0.00116609	0.000421203	0.997998
150	rest	0.000607916	0.000508629	0.000478129	0.000837267	0.997568
151	rest	0.000732877	0.000512129	0.000321224	0.000677003	0.997757
152	rest	0.000130917	8.77E-05	9.95E-05	6.00E-05	0.999622
153	rest	5.69E-05	3.90E-05	3.32E-05	3.74E-05	0.999834
154	rest	7.94E-05	0.000136932	7.49E-05	0.000113787	0.999595
155	rest	9.93E-06	2.99E-05	1.97E-06	1.35E-05	0.999945
156	rest	1.37E-05	1.12E-05	4.20E-06	3.55E-05	0.999935
157	rest	5.44E-06	6.88E-06	3.88E-06	1.87E-05	0.999965
158	rest	4.72E-05	2.57E-05	4.01E-05	2.15E-05	0.999865
159	rest	3.16E-05	4.17E-05	5.98E-05	9.24E-06	0.999858
160	rest	3.55E-06	8.06E-06	4.55E-06	2.17E-05	0.999962
161	rest	1.68E-05	5.97E-05	4.36E-05	3.05E-05	0.999849
162	rest	2.49E-05	5.71E-05	7.30E-05	1.19E-05	0.999833
163	rest	4.31E-05	9.66E-06	1.10E-05	1.55E-05	0.999921
164	rest	2.14E-05	0.000110613	8.22E-05	1.60E-05	0.99977
165	rest	0.00034738	0.000609339	0.000364744	0.000207455	0.998471
166	rest	6.34E-05	0.000153554	5.88E-05	0.000239539	0.999485
167	rest	0.000160187	0.000207071	0.000155977	3.73E-05	0.999439
168	rest	0.000405487	0.000118826	0.000383612	0.000422594	0.998669
169	rest	0.000200655	0.000472385	0.000126166	0.000135486	0.999065
170	rest	8.54E-05	0.000721296	2.51E-05	3.22E-05	0.999136
171	rest	0.000471572	0.00129825	0.00113968	0.000241297	0.996849
172	rest	0.000995225	0.000566508	0.000531488	4.06E-05	0.997866
173	rest	0.000775433	8.83E-05	0.000277374	4.20E-05	0.998817
174	rest	0.000377022	2.09E-05	1.57E-05	2.58E-05	0.999561
175	rest	9.15E-05	1.40E-05	9.87E-06	1.80E-05	0.999867
176	rest	0.000425135	6.42E-05	0.000431652	0.000228686	0.99885
177	rest	0.000277609	3.20E-05	1.89E-05	5.45E-05	0.999617
178	rest	0.000171842	3.40E-05	3.26E-05	3.32E-05	0.999728
179	rest	5.70E-05	1.48E-05	2.90E-05	9.04E-06	0.99989
180	rest	6.89E-05	3.46E-05	0.000624392	6.41E-05	0.999208
181	rest	8.86E-05	3.28E-05	2.27E-05	2.48E-05	0.999831
182	rest	3.48E-05	3.12E-05	4.63E-05	0.000106844	0.999781
183	rest	0.000163793	8.26E-05	0.000185141	0.000278075	0.99929
184	rest	1.56E-05	6.04E-05	5.22E-06	8.56E-06	0.99991
185	rest	8.47E-06	7.40E-06	9.66E-06	1.70E-05	0.999957
186	rest	4.07E-05	4.92E-05	6.23E-05	4.72E-05	0.999801
187	rest	6.81E-06	3.17E-05	0.000126552	2.76E-05	0.999807
188	rest	0.000181084	4.02E-05	0.000139702	0.000296906	0.999342
189	rest	0.000873403	0.000226226	0.000212878	0.000217506	0.99847
190	rest	2.82E-05	1.61E-05	2.84E-05	4.11E-06	0.999923
191	rest	2.57E-05	1.44E-05	5.35E-05	6.63E-05	0.99984
192	rest	4.78E-05	2.19E-05	0.000286881	2.22E-05	0.999621
193	rest	0.00028754	5.25E-05	0.00147725	0.00020352	0.997979
194	rest	0.000840847	0.000158252	0.000557603	5.53E-05	0.998388
195	rest	0.000414682	0.000138416	0.000225286	2.39E-05	0.999198
196	rest	6.25E-05	5.72E-05	9.33E-05	2.22E-05	0.999765
197	rest	1.87E-05	8.28E-05	2.01E-05	6.83E-05	0.99981
198	rest	8.01E-06	2.16E-05	1.45E-05	7.40E-06	0.999948
199	rest	3.34E-05	6.56E-05	5.95E-05	3.20E-06	0.999838
200	rest	4.16E-05	1.16E-05	9.33E-06	4.24E-05	0.999895
201	rest	4.54E-06	4.02E-06	6.78E-06	5.31E-06	0.999979
202	rest	9.41E-05	0.000104413	0.000225672	3.72E-05	0.999539
203	rest	0.000171896	5.06E-05	0.000122324	4.69E-05	0.999608
204	rest	5.33E-05	2.56E-05	7.22E-06	1.60E-05	0.999898
205	rest	4.64E-05	1.47E-05	1.86E-05	9.88E-05	0.999822
206	rest	0.000189969	9.38E-05	6.04E-05	8.83E-05	0.999568
