num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.000520681	8.83E-05	3.95E-05	0.000240717	0.999111
3	rest	6.74E-05	6.92E-05	0.000385645	0.000138354	0.999339
4	rest	0.000115472	0.000163794	7.95E-05	3.40E-05	0.999607
5	rest	0.000100042	4.02E-05	1.40E-05	3.04E-05	0.999815
6	rest	7.21E-05	0.000109433	9.45E-05	3.43E-05	0.99969
7	rest	0.000115738	0.000132848	5.57E-05	3.85E-05	0.999657
8	rest	0.000143084	0.000114661	6.10E-05	9.66E-05	0.999585
9	rest	4.64E-05	3.89E-05	1.76E-05	1.59E-05	0.999881
10	rest	0.000128903	0.000187411	0.000194381	0.000246537	0.999243
11	rest	0.00024978	0.000604674	0.000433647	0.000259956	0.998452
12	rest	0.000167823	0.000723428	0.00069215	0.000544314	0.997872
13	rest	0.000253234	0.0011111	0.00127153	0.000181588	0.997183
14	rest	0.00015712	0.000378913	0.000323675	9.13E-05	0.999049
15	rest	0.000241794	0.000262209	0.000131198	0.000114664	0.99925
16	rest	0.00037036	0.000272271	0.000456312	0.000104731	0.998796
17	rest	0.000289852	0.000147688	0.000331163	6.34E-05	0.999168
18	rest	0.0002533	0.000409223	0.000466052	8.14E-05	0.99879
19	rest	0.000242304	0.0003126	0.000145597	6.73E-05	0.999232
20	rest	0.00011512	0.00016974	7.88E-05	6.74E-05	0.999569
21	rest	4.93E-05	7.84E-05	4.18E-05	6.00E-05	0.999771
22	rest	3.72E-05	0.000125503	4.77E-05	4.82E-05	0.999741
23	rest	8.70E-05	9.41E-05	7.57E-05	0.000106415	0.999637
24	rest	0.000293401	0.000220967	0.000120293	0.000144795	0.999221
25	rest	0.000195952	0.000176458	0.000139994	0.000211612	0.999276
26	rest	9.60E-05	0.000131797	0.000476846	5.31E-05	0.999242
27	rest	2.07E-05	4.37E-05	0.000187652	6.37E-05	0.999684
28	rest	4.65E-05	7.16E-05	0.000169109	0.000186602	0.999526
29	rest	2.83E-05	0.000105399	4.72E-05	6.36E-05	0.999755
30	rest	5.49E-05	0.000300322	4.11E-05	0.00011595	0.999488
31	rest	0.000118286	0.000136164	8.67E-05	5.69E-05	0.999602
32	rest	0.000114904	0.000150963	0.000177127	0.000135223	0.999422
33	rest	0.000114809	4.99E-05	7.37E-05	2.88E-05	0.999733
34	rest	0.000126717	0.00014438	0.000125397	0.000206544	0.999397
35	rest	0.000118933	0.00011675	0.000141389	9.78E-05	0.999525
36	rest	0.000102851	0.000144891	0.0001319	0.000120859	0.999499
37	rest	0.000145103	9.76E-05	4.14E-05	8.38E-05	0.999632
38	rest	2.68E-05	5.82E-05	3.03E-05	2.96E-05	0.999855
39	rest	2.32E-05	4.29E-05	1.61E-05	1.88E-05	0.999899
40	rest	1.56E-05	9.65E-05	4.61E-05	4.22E-05	0.9998
41	rest	8.53E-05	0.000198102	0.000151108	0.000346387	0.999219
42	rest	0.000177337	0.000313667	0.000253691	0.000218627	0.999037
43	rest	0.00010608	0.000158211	2.19E-05	5.88E-05	0.999655
44	rest	6.78E-05	0.000176897	0.000219125	0.000144709	0.999391
45	rest	0.000116374	0.000106898	5.07E-05	4.79E-05	0.999678
46	rest	9.95E-05	0.0001041	9.00E-05	9.46E-05	0.999612
47	rest	3.11E-05	3.96E-05	9.56E-06	7.77E-06	0.999912
48	rest	0.000270373	0.000168074	0.000126983	0.000170975	0.999264
49	rest	0.000165536	0.000122882	0.000198749	0.000151704	0.999361
50	rest	0.00018738	0.000106288	6.57E-05	4.77E-05	0.999593
51	rest	8.24E-05	5.30E-05	3.95E-05	2.25E-05	0.999803
52	rest	3.66E-05	4.39E-05	4.38E-05	2.30E-05	0.999853
53	rest	2.38E-05	5.57E-05	2.62E-05	7.84E-05	0.999816
54	rest	5.84E-05	0.000126172	8.07E-05	5.98E-05	0.999675
55	rest	8.00E-05	0.000107612	0.000197288	5.90E-05	0.999556
56	rest	5.55E-05	7.45E-05	4.31E-05	6.87E-05	0.999758
57	rest	0.000101845	0.000122797	8.42E-05	0.000148639	0.999543
58	rest	2.60E-05	0.000116011	2.12E-05	1.48E-05	0.999822
59	rest	1.17E-05	4.74E-05	2.48E-05	1.81E-05	0.999898
60	rest	1.69E-05	5.96E-05	1.66E-05	3.55E-05	0.999871
61	rest	5.76E-05	0.000133236	6.37E-05	2.28E-05	0.999723
62	rest	1.87E-05	3.95E-05	1.69E-05	1.79E-05	0.999907
63	rest	1.28E-05	3.40E-05	3.10E-05	2.29E-05	0.999899
64	rest	8.10E-05	0.000226112	0.000238727	0.00011145	0.999343
65	rest	9.47E-05	5.18E-05	5.45E-05	1.85E-05	0.99978
66	rest	1.85E-05	3.79E-05	1.98E-05	9.33E-05	0.99983
67	rest	4.75E-05	8.80E-05	3.20E-05	4.97E-05	0.999783
68	rest	0.000219642	0.000358769	0.000569188	0.000743916	0.998108
69	rest	0.000419079	0.000643317	0.000305263	0.000399444	0.998233
70	rest	0.00014779	0.000433987	0.000198008	4.39E-05	0.999176
71	rest	7.89E-05	0.000285333	0.000116895	0.000127365	0.999391
72	rest	0.000154836	0.000309188	0.000452017	0.000406204	0.998678
73	rest	0.000774861	0.000668848	0.000392269	0.00115488	0.997009
74	rest	0.00042388	0.000773295	0.000277113	0.000285482	0.99824
75	rest	0.000355665	0.000701163	0.000309904	0.000368589	0.998265
76	rest	0.000220133	0.00059003	0.000361028	0.000499808	0.998329
77	rest	0.000187474	0.000461717	0.000264041	0.000178628	0.998908
78	rest	0.000123381	0.00022685	0.000125176	0.000112016	0.999413
79	rest	3.41E-05	0.000101988	6.52E-05	7.84E-05	0.99972
80	rest	1.48E-05	3.16E-05	7.52E-06	9.43E-06	0.999937
81	rest	9.72E-05	9.08E-05	0.000168641	8.23E-05	0.999561
82	rest	7.69E-05	4.78E-05	3.30E-05	3.14E-05	0.999811
83	rest	9.99E-05	6.59E-05	8.25E-05	8.90E-05	0.999663
84	rest	7.97E-05	0.000212058	0.000105038	0.000163871	0.999439
85	rest	9.11E-05	0.000104999	4.19E-05	3.60E-05	0.999726
86	rest	0.00011076	0.000136426	0.000121432	9.07E-05	0.999541
87	rest	1.68E-05	3.10E-05	2.04E-05	1.02E-05	0.999922
88	rest	1.98E-05	3.91E-05	5.70E-05	1.84E-05	0.999866
89	rest	0.000128531	0.000103828	6.26E-05	0.000391864	0.999313
90	rest	1.96E-05	6.76E-05	1.51E-05	2.65E-05	0.999871
91	rest	1.80E-05	3.47E-05	9.24E-06	1.57E-05	0.999922
92	rest	0.000190034	0.000143132	0.000216565	8.02E-05	0.99937
93	rest	9.58E-05	8.55E-05	0.000356212	0.000452605	0.99901
94	rest	0.000179702	0.000211273	0.00047215	0.000142483	0.998994
95	rest	0.000114581	0.000207482	8.50E-05	1.05E-05	0.999583
96	rest	5.42E-05	8.91E-05	6.37E-05	5.15E-05	0.999741
97	rest	2.60E-05	7.15E-05	2.96E-05	3.91E-05	0.999834
98	rest	4.10E-05	0.000166228	3.86E-05	5.51E-05	0.999699
99	rest	5.10E-05	0.000208094	8.61E-05	3.91E-05	0.999616
100	rest	2.41E-05	8.09E-05	1.90E-05	1.49E-05	0.999861
101	rest	8.67E-05	0.000239307	0.000129431	0.000130151	0.999414
102	rest	1.70E-05	4.70E-05	1.52E-05	1.88E-05	0.999902
103	rest	1.65E-05	4.15E-05	5.13E-05	2.66E-05	0.999864
104	rest	7.74E-05	8.15E-05	0.000107221	9.62E-05	0.999638
105	rest	0.000156366	9.34E-05	9.04E-05	5.44E-05	0.999606
106	rest	0.000130953	0.000132101	0.000258592	0.000123442	0.999355
107	rest	4.34E-05	5.20E-05	2.00E-05	1.24E-05	0.999872
108	rest	2.53E-05	9.65E-05	6.25E-05	6.81E-05	0.999748
109	rest	3.88E-05	0.000106094	6.77E-05	2.62E-05	0.999761
110	rest	3.05E-05	6.23E-05	3.19E-05	2.15E-05	0.999854
111	rest	9.56E-05	0.000113748	0.000142414	0.000183331	0.999465
