num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	3.07744724	1.400956094	1.120689281	1.055952094	1.488956803	-0.678571809
2	0	3.07744724	1.400956094	1.120689281	1.055952094	1.488956803	-0.678571809
3	0	3.084288433	1.424820317	1.227557118	1.160410385	1.486552219	-0.446523955
4	0	3.094463261	1.459581666	1.369085631	1.299112155	1.482934466	-0.356751405
5	0	3.111194575	1.514959786	1.567894924	1.494558871	1.476875641	-0.282510289
6	0	3.135778093	1.592669624	1.80725877	1.730657542	1.467718012	-0.222972643
7	0	3.166073988	1.68315459	2.04599005	1.966817228	1.455996645	-0.260199935
8	0	3.200043826	1.77862086	2.265853148	2.184793749	1.442250639	-0.305111198
9	0	3.235831388	1.873320255	2.460855773	2.378434946	1.427036303	-0.356521295
10	0	3.271796364	1.963269178	2.63021829	2.546811204	1.410937976	-0.413041533
11	0	3.267883977	2.028508096	2.737252538	2.663444532	1.391942407	-0.452955861
12	0	3.256515617	2.069233597	2.79458618	2.79084328	1.377073807	-0.464356782
13	0	3.236797014	2.115927864	2.794821462	2.880984239	1.34728965	-0.460330106
14	0	3.236088369	2.141555581	2.737950127	2.983785288	1.333098944	-0.423763227
15	0	3.203483755	2.142374289	2.602241193	3.04917184	1.306631964	-0.364624136
16	0	3.256255496	2.238638514	2.471881233	3.131555951	1.293514541	-0.322168566
17	0	3.285289268	2.350665122	2.337072582	3.169316355	1.271430499	-0.313190225
18	0	3.295129033	2.431309367	2.264481451	3.222320031	1.266716841	-0.314769448
19	0	3.219008478	2.517742846	2.242779416	3.208522011	1.213609342	-0.363949529
20	0	3.14398794	2.613316874	2.301173126	3.226850027	1.188685329	-0.44467304
21	0	2.942390762	2.576763752	2.340123823	3.237724641	1.179297325	-0.535953505
22	0	2.748569357	2.496507504	2.45093595	3.25364799	1.214543776	-0.60803925
23	0	2.577448269	2.394770342	2.508542506	3.251085078	1.275351798	-0.640291949
24	0	2.527925271	2.244020844	2.5758054	3.29220502	1.368217872	-0.584773961
25	0	2.557591032	2.025505292	2.672219785	3.312252359	1.438643668	-0.515290776
26	0	2.703987113	1.910005678	2.793373742	3.323451652	1.491119849	-0.431621021
27	0	2.794990436	1.906382818	2.825271372	3.356473465	1.481222373	-0.361119779
28	0	2.821790388	1.970639833	2.886224587	3.404200819	1.432284122	-0.321906965
29	0	2.822368556	2.075382847	2.90708344	3.279783805	1.379135726	-0.326438822
30	0	2.773422591	2.181239828	2.877328093	3.134930174	1.313494907	-0.329238254
31	0	2.636665469	2.258147589	2.797646053	3.157529437	1.191870121	-0.32642989
32	0	2.528953437	2.264506339	2.738415018	3.148592914	1.118074005	-0.320853512
33	0	2.489847602	2.209677516	2.632848752	3.115663917	1.070542032	-0.328742909
34	0	2.475940281	2.173543713	2.588043181	3.269908098	1.011091688	-0.345901825
35	0	2.466030925	2.17232447	2.558745953	3.389413274	1.009291766	-0.336229942
36	0	2.533571686	2.175870895	2.527349943	3.360184687	1.082815969	-0.35080908
37	0	2.526603121	2.181273131	2.515400253	3.342518151	1.125172074	-0.365254435
38	0	2.478330278	2.223482732	2.527135541	3.335555944	1.157028035	-0.370518962
39	0	2.417639883	2.24714993	2.503662045	3.334364413	1.215508416	-0.37167121
40	0	2.408761351	2.247847463	2.459016486	3.34031277	1.221210481	-0.418399582
