num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.00498622	0.000460808	0.00170651	0.000271008	0.992575
3	rest	0.000160024	0.000209208	0.000152112	4.07E-05	0.999438
4	rest	0.000540598	0.000227588	0.000377691	0.000139541	0.998715
5	rest	0.000435046	0.000378145	0.000110031	3.17E-05	0.999045
6	rest	0.000102814	9.35E-05	0.000109467	4.89E-05	0.999645
7	rest	4.03E-05	5.26E-05	5.13E-05	1.63E-05	0.99984
8	rest	0.000280743	0.00013095	0.000260181	5.16E-05	0.999277
9	rest	4.95E-05	5.68E-05	0.000246409	2.78E-05	0.99962
10	rest	0.000262014	0.000165271	0.000250869	0.000156201	0.999166
11	rest	0.000227988	0.000302158	0.000161828	4.08E-05	0.999267
12	rest	0.000192935	0.000115802	3.45E-05	7.24E-05	0.999584
13	rest	0.000114051	3.57E-05	0.0001049	3.08E-05	0.999714
14	rest	0.000146719	0.000263627	7.77E-05	8.96E-05	0.999422
15	rest	0.000628053	0.000678313	0.000134613	0.00028302	0.998276
16	rest	8.05E-05	8.49E-05	4.16E-05	9.99E-05	0.999693
17	rest	6.16E-05	8.91E-05	5.44E-05	0.000119576	0.999675
18	rest	4.20E-05	4.63E-05	3.39E-05	4.12E-05	0.999837
19	rest	0.000176804	0.000148222	9.08E-05	0.000215033	0.999369
20	rest	6.26E-05	6.77E-05	2.92E-05	4.24E-05	0.999798
21	rest	2.46E-05	5.51E-05	1.28E-05	3.23E-05	0.999875
22	rest	2.16E-05	4.87E-05	3.30E-05	3.26E-05	0.999864
23	rest	3.53E-05	5.51E-05	2.08E-05	3.54E-05	0.999853
24	rest	1.77E-05	2.42E-05	2.92E-05	6.94E-05	0.999859
25	rest	6.90E-05	4.72E-05	5.46E-05	5.05E-05	0.999779
26	rest	1.04E-05	3.17E-06	2.24E-05	8.18E-06	0.999956
27	rest	2.66E-05	9.68E-06	2.63E-05	1.42E-05	0.999923
28	rest	7.61E-05	6.20E-05	0.000322509	3.29E-05	0.999507
29	rest	6.09E-05	7.59E-05	0.000103057	4.33E-05	0.999717
30	rest	5.59E-05	4.35E-05	1.72E-05	2.86E-05	0.999855
31	rest	2.19E-05	1.81E-05	1.28E-05	2.80E-05	0.999919
32	rest	0.000116961	8.31E-05	6.19E-05	7.62E-05	0.999662
33	rest	5.06E-05	0.000161031	2.14E-05	1.93E-05	0.999748
34	rest	0.000104449	0.000121626	0.000373065	0.000410061	0.998991
35	rest	0.000203852	0.00035133	0.000197205	9.29E-05	0.999155
36	rest	4.38E-05	5.90E-05	0.000109696	1.09E-05	0.999777
37	rest	6.86E-05	3.43E-05	8.84E-05	2.93E-05	0.999779
38	rest	4.09E-05	2.71E-05	1.50E-05	1.51E-05	0.999902
39	rest	8.58E-05	5.39E-05	2.57E-05	5.96E-05	0.999775
40	rest	1.19E-05	2.32E-05	1.11E-05	1.02E-05	0.999944
41	rest	5.79E-05	5.80E-05	5.43E-05	7.72E-05	0.999753
42	rest	3.41E-05	4.38E-05	7.73E-05	2.06E-05	0.999824
43	rest	3.67E-05	1.50E-05	4.35E-05	1.76E-05	0.999887
44	rest	3.45E-05	4.33E-05	7.25E-05	3.15E-05	0.999818
45	rest	1.50E-05	1.88E-05	1.50E-05	1.30E-05	0.999938
46	rest	3.17E-05	1.49E-05	1.81E-05	3.88E-05	0.999896
47	rest	2.82E-05	3.79E-05	1.67E-05	8.07E-06	0.999909
48	rest	1.39E-05	3.60E-05	3.50E-05	9.18E-05	0.999823
49	rest	4.41E-05	4.23E-05	0.000178483	0.000154955	0.99958
50	rest	1.91E-05	6.09E-05	3.90E-05	5.81E-06	0.999875
51	rest	4.29E-05	5.51E-05	1.77E-05	3.31E-05	0.999851
52	rest	5.57E-05	2.45E-05	3.70E-05	6.72E-05	0.999815
53	rest	2.52E-05	9.10E-06	4.66E-06	9.27E-06	0.999952
54	rest	8.80E-06	1.55E-05	2.27E-05	1.58E-05	0.999937
55	rest	7.84E-06	6.24E-06	9.16E-06	7.91E-06	0.999969
56	rest	1.07E-05	2.23E-05	1.36E-05	1.32E-05	0.99994
57	rest	1.99E-05	2.73E-05	0.000102166	1.71E-05	0.999833
58	rest	2.86E-05	7.97E-06	5.98E-06	3.02E-05	0.999927
59	rest	8.51E-05	2.20E-05	2.55E-05	7.92E-05	0.999788
60	rest	5.96E-05	0.000121857	8.22E-05	6.39E-05	0.999673
61	rest	3.35E-05	6.61E-05	2.46E-05	1.77E-05	0.999858
62	rest	2.82E-05	9.85E-05	2.31E-05	0.000140795	0.999709
63	rest	7.22E-05	0.000205597	0.000142694	7.47E-05	0.999505
64	rest	0.000248385	0.000521251	0.00115172	0.00125792	0.996821
65	rest	0.000531409	0.000639974	9.37E-05	6.23E-05	0.998673
66	rest	0.000759782	0.000486341	0.000138111	8.37E-05	0.998532
67	rest	0.000260931	0.000194274	7.09E-05	4.76E-05	0.999426
68	rest	8.36E-05	6.80E-05	2.54E-05	5.01E-06	0.999818
69	rest	0.000120295	0.000113823	0.000412513	1.77E-05	0.999336
70	rest	0.000140038	6.46E-05	0.000243528	5.70E-05	0.999495
71	rest	0.00015368	3.36E-05	4.37E-05	5.92E-05	0.99971
72	rest	4.07E-05	5.59E-05	0.000375912	3.97E-05	0.999488
73	rest	7.42E-05	8.52E-05	0.000328181	7.63E-05	0.999436
74	rest	0.000118433	8.31E-05	7.02E-05	1.65E-05	0.999712
75	rest	0.000249819	0.000108141	5.29E-05	0.000389958	0.999199
76	rest	0.000140103	0.000397044	6.36E-05	0.00136597	0.998033
77	rest	0.000216129	0.000513031	0.000100466	7.45E-05	0.999096
78	rest	3.13E-05	9.60E-05	3.58E-05	2.33E-05	0.999814
79	rest	4.22E-05	1.97E-05	3.28E-06	3.59E-05	0.999899
80	rest	5.77E-05	6.08E-05	5.14E-05	4.67E-05	0.999783
81	rest	0.000112036	0.000310818	9.43E-05	0.000303186	0.99918
82	rest	8.76E-05	0.000522041	3.10E-05	7.77E-05	0.999282
83	rest	8.49E-05	0.000238651	7.12E-05	4.07E-05	0.999565
84	rest	7.14E-05	0.000206579	0.000213626	6.15E-05	0.999447
85	rest	0.000160241	0.000248458	0.000839903	0.00011047	0.998641
86	rest	0.00039322	0.000312855	0.000620362	7.97E-05	0.998594
87	rest	0.000595016	0.000125473	0.000212201	6.44E-05	0.999003
