num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	2.791932516	0.790942659	1.147834839	1.688393709	-0.890925074	-0.558108907
2	0	2.791932516	0.790942659	1.147834839	1.688393709	-0.890925074	-0.558108907
3	0	2.791932516	0.790942659	1.147834839	1.688393709	-0.890925074	-0.558108907
4	0	2.830574149	0.839856945	1.149162876	1.679763796	-0.801910336	-0.561856317
5	0	2.85515738	0.938319984	1.175639999	1.643402685	-0.675274391	-0.56099712
6	0	2.871641282	1.061359861	1.197540308	1.578570386	-0.524041618	-0.572911604
7	0	2.874174487	1.196507758	1.233235036	1.472801653	-0.348356208	-0.578824424
8	0	2.912101184	1.334584287	1.259530697	1.315858055	-0.171868821	-0.583010283
9	0	2.87767467	1.46451234	1.292654242	1.14764558	-0.063321394	-0.559609984
10	0	2.852373684	1.54131629	1.286006135	1.025284602	0.020643502	-0.539972499
11	0	2.817852231	1.575433584	1.305994542	0.990153273	0.066256994	-0.498179439
12	0	2.85173449	1.591590087	1.359402537	1.051766718	0.084456779	-0.475452491
13	0	2.824412764	1.620313814	1.426226296	1.233780306	0.084911438	-0.468924887
14	0	2.836757427	1.57534175	1.473722681	1.363634692	0.075949641	-0.510139643
15	0	2.876028547	1.550217268	1.569556913	1.514307301	0.047730155	-0.572387679
16	0	2.958991445	1.547968066	1.643042964	1.498873391	0.020929733	-0.656907147
17	0	2.97279691	1.563448228	1.65076068	1.458981876	-0.001226923	-0.736173413
18	0	2.974555499	1.513668644	1.651344847	1.459009121	-0.051540738	-0.778293498
19	0	2.955258423	1.518032398	1.665013088	1.478746835	-0.109156708	-0.773603557
20	0	2.880264759	1.508049551	1.619250106	1.388763178	-0.158714885	-0.733169074
21	0	2.726173563	1.51964918	1.568886261	1.384879478	-0.173317832	-0.683140965
22	0	2.511263353	1.516045464	1.554026507	1.405820411	-0.213316665	-0.629392564
23	0	2.300174234	1.586726083	1.564739536	1.370837979	-0.185696857	-0.612122347
24	0	2.079465404	1.680452016	1.59357101	1.386850687	-0.103840591	-0.620411522
25	0	1.883723629	1.799142318	1.67101254	1.337032349	0.007007802	-0.656175229
26	0	1.800301425	1.879387394	1.731409888	1.341106002	0.119106057	-0.715221854
27	0	1.851571933	1.982545349	1.775632889	1.459662025	0.237229687	-0.799447541
28	0	1.937777265	2.119475603	1.784883012	1.490291208	0.315329352	-0.889434803
29	0	2.071143295	2.198269898	1.766539404	1.4494432	0.353742742	-0.972182785
30	0	2.342940568	2.242761461	1.693938424	1.478571558	0.345921834	-1.035135623
31	0	2.500271411	2.301591894	1.624826678	1.49632176	0.279294188	-1.068169485
32	0	2.622212454	2.304954791	1.554832558	1.373282395	0.174058023	-1.07644258
33	0	2.719191403	2.181185961	1.476961441	1.281737603	0.040668271	-1.052518559
34	0	2.815378505	2.061076016	1.383420929	1.263570378	-0.088536122	-1.001940718
35	0	2.739038945	1.928511075	1.349489256	1.322000021	-0.208768752	-0.970074923
36	0	2.707636882	1.741250696	1.349800511	1.405890222	-0.297341468	-0.942283894
37	0	2.726030428	1.594481523	1.416017085	1.492455639	-0.352689	-0.910227572
38	0	2.728277476	1.564423369	1.533234852	1.563462509	-0.384989549	-0.887352707
39	0	2.653371559	1.5421616	1.641683191	1.534060243	-0.460044429	-0.903528772
40	0	2.707879648	1.511098775	1.705260857	1.463424567	-0.483630444	-0.891953367
41	0	2.749080386	1.500179225	1.76046584	1.421524856	-0.462332115	-0.890043197
42	0	2.71423809	1.449160487	1.738105262	1.426769447	-0.400125454	-0.86047262
43	0	2.684627229	1.400190396	1.659220818	1.42206934	-0.295122853	-0.795276794
44	0	2.711008048	1.361426643	1.629744217	1.509667572	-0.155306513	-0.698024025
45	0	2.688022838	1.398864691	1.648984342	1.615227446	-0.04989754	-0.618708644
46	0	2.6430956	1.416753881	1.628412128	1.67376284	0.048310004	-0.508948147
47	0	2.637472468	1.456396087	1.642200813	1.674169375	0.105318611	-0.460727726
48	0	2.639374627	1.490060015	1.684614861	1.684953836	0.116482572	-0.459918074
49	0	2.593138951	1.500559953	1.65156055	1.677452337	0.113918033	-0.4759364
50	0	2.55373228	1.496443128	1.612131859	1.646899663	0.121809514	-0.503711617
51	0	2.496597234	1.517630318	1.628542786	1.546366128	0.088220935	-0.611152362
52	0	2.437994994	1.545887291	1.652290136	1.412181089	0.056921025	-0.696749709
53	0	2.406400267	1.598718005	1.676739341	1.264648281	0.057970866	-0.771582992
54	0	2.4044136	1.650406138	1.730526276	1.068147377	0.064156981	-0.874366093
55	0	2.371018009	1.615040441	1.713940411	0.854248701	0.011798035	-0.967771789
56	0	2.350380405	1.568515174	1.614326791	0.745768968	-0.033156398	-0.974050282
57	0	2.302820944	1.491856178	1.483545828	0.721454707	-0.05392215	-0.966292816
58	0	2.215934843	1.390544797	1.344319401	0.67831377	-0.108247345	-0.94983753
59	0	2.135898267	1.294829847	1.171902421	0.655551644	-0.155838048	-0.904118238
60	0	2.059563303	1.272286612	1.065934183	0.617747405	-0.167487464	-0.883647037
61	0	2.00056985	1.242749152	1.071965811	0.594175402	-0.14892851	-0.891147256
62	0	1.976774504	1.248001855	1.093708483	0.598501289	-0.079817047	-0.906084918
63	0	1.959910481	1.229918081	1.140695582	0.636623543	0.014249529	-0.915481553
64	0	1.946988189	1.199717385	1.225102954	0.667544223	0.061331808	-0.929344554
65	0	1.969758117	1.163829751	1.323893975	0.728513993	0.117335357	-0.910425581
