num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.000299503	0.00038879	0.000194184	0.000565803	0.998552
3	rest	2.16E-05	6.07E-05	0.000123168	6.73E-05	0.999727
4	rest	8.50E-05	0.000161394	7.71E-05	0.000158496	0.999518
5	rest	0.000112887	0.000209466	0.00022209	0.00022353	0.999232
6	rest	0.000104705	0.000272742	0.000310086	0.000131317	0.999181
7	rest	7.00E-05	0.00027087	4.23E-05	6.03E-05	0.999556
8	rest	6.36E-05	0.000225962	7.76E-05	7.96E-05	0.999553
9	rest	8.09E-05	0.000188702	6.62E-05	2.69E-05	0.999637
10	rest	0.000160306	0.000178649	7.89E-05	0.000124486	0.999458
11	rest	0.000122451	5.18E-05	2.66E-05	2.60E-05	0.999773
12	rest	0.000298708	0.000124793	0.000205557	8.98E-05	0.999281
13	rest	0.000374943	9.89E-05	5.79E-05	0.000111543	0.999357
14	rest	0.000273142	0.000240256	0.00014301	0.000132872	0.999211
15	rest	0.000163276	0.000182802	3.23E-05	3.75E-05	0.999584
16	rest	4.81E-05	9.17E-05	2.65E-05	7.98E-05	0.999754
17	rest	5.05E-05	0.000150875	0.000135598	3.96E-05	0.999623
18	rest	0.000147226	0.000302664	4.65E-05	4.86E-05	0.999455
19	rest	5.06E-05	9.12E-05	3.68E-05	1.27E-05	0.999809
20	rest	0.000131396	0.00011035	0.000222729	9.35E-05	0.999442
21	rest	6.89E-05	9.60E-05	4.82E-05	4.15E-05	0.999745
22	rest	6.09E-05	3.19E-05	2.74E-05	5.07E-05	0.999829
23	rest	2.91E-05	1.59E-05	1.46E-05	3.76E-05	0.999903
24	rest	3.52E-05	4.27E-05	3.43E-05	3.57E-05	0.999852
25	rest	0.000264911	0.000332711	0.000239541	0.000140289	0.999023
26	rest	0.000770347	0.000865341	0.00048721	0.000407693	0.997469
27	rest	0.000961617	0.00138291	0.000495151	0.000866718	0.996294
28	rest	0.000423053	0.00102199	0.00015943	0.000298738	0.998097
29	rest	0.000507352	0.00111912	0.000146911	0.000287965	0.997939
30	rest	0.00030437	0.000712087	0.000266795	0.000115286	0.998601
31	rest	0.000514692	0.00072394	0.000132299	0.000280422	0.998349
32	rest	0.000543855	0.000118307	6.77E-05	4.46E-05	0.999226
33	rest	0.000433794	4.93E-05	3.06E-05	0.000127473	0.999359
34	rest	0.000152378	8.91E-05	0.000283876	0.000140546	0.999334
35	rest	7.40E-05	3.34E-05	4.27E-05	5.22E-05	0.999798
36	rest	0.000350323	0.000197066	0.000128313	0.000469868	0.998854
37	rest	0.000442938	0.000541413	0.00019206	0.000128549	0.998695
38	rest	0.000455258	0.00094731	0.000364217	0.000553388	0.99768
39	rest	0.000518831	0.0016244	0.00027184	0.000909173	0.996676
40	rest	0.000228996	0.00156726	5.96E-05	0.00016582	0.997978
41	rest	0.000192442	0.000999455	0.000123968	0.000187975	0.998496
42	rest	0.000103531	0.00026844	8.14E-05	3.39E-05	0.999513
43	rest	0.000114869	0.000223302	0.000202206	0.000181774	0.999278
44	rest	0.000105043	0.000163319	0.000110812	8.86E-05	0.999532
45	rest	7.49E-05	0.00019352	9.18E-05	6.36E-05	0.999576
46	rest	0.000106917	0.000105737	0.000114563	0.000203215	0.99947
47	rest	0.000138429	8.10E-05	3.01E-05	0.000259978	0.99949
48	rest	4.94E-05	0.000240365	7.91E-05	6.18E-05	0.999569
49	rest	0.000261656	0.00063312	0.000100829	0.00041239	0.998592
50	rest	0.000223899	0.000878705	0.000373199	0.00105986	0.997464
