num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	3.649059992	2.172336162	1.011915336	-0.275273258	0.935966887	0.446137763
2	0	3.649059992	2.172336162	1.011915336	-0.275273258	0.935966887	0.446137763
3	0	3.65907875	2.172260274	1.019577398	-0.283542132	0.945478423	0.448165111
4	0	3.663286954	2.165749656	1.02827612	-0.228807372	0.962691417	0.448172735
5	0	3.662314432	2.13866903	1.024533178	-0.183862459	0.992731715	0.439746836
6	0	3.650886827	2.086705933	1.040882694	-0.109028117	1.021097218	0.429606406
7	0	3.613791614	2.020582425	1.086393285	-0.057186398	1.067179925	0.423576543
8	0	3.518411616	1.947626495	1.114467985	0.000123776	1.0903956	0.426183368
9	0	3.417731113	1.852525936	1.134447285	-0.020994882	1.106288484	0.425680379
10	0	3.330631643	1.792616453	1.184342088	-0.018001539	1.106267515	0.432172633
11	0	3.219696003	1.783360573	1.20342542	0.073640214	1.095700258	0.443444795
12	0	3.132539696	1.762031449	1.167171466	0.178780484	1.047097572	0.448715407
13	0	3.169732061	1.74740597	1.150065906	0.288067365	1.023188432	0.430461477
14	0	3.276518948	1.796602084	1.15228322	0.392441006	0.984953426	0.415943371
15	0	3.328793266	1.815226122	1.145879259	0.502944422	0.935529202	0.415270282
16	0	3.430245547	1.819632854	1.180847574	0.438956222	0.908745795	0.422771593
17	0	3.528855497	1.884261955	1.253452138	0.403167446	0.910404871	0.426503736
18	0	3.544044027	1.959392053	1.293711262	0.353340254	0.901702082	0.495637142
19	0	3.441902712	1.975315577	1.301005666	0.312360902	0.922921498	0.588521984
20	0	3.392707168	2.02223846	1.289897106	0.188535994	0.972476629	0.666073444
21	0	3.292439627	2.077376023	1.221553709	0.192201506	1.036499938	0.720675883
22	0	3.167938599	2.092447447	1.128992638	0.108366896	1.080106252	0.780776026
23	0	3.087335662	2.061488762	1.038178919	0.046583345	1.102900195	0.765686634
24	0	3.10551623	2.049310803	0.980291465	-0.007908026	1.111397337	0.713524457
25	0	3.116583431	2.018792342	0.947311988	0.044972768	1.114698247	0.66699957
26	0	3.157475994	1.948953335	0.955187486	0.166308971	1.071629239	0.634802551
27	0	3.410207296	2.121562132	1.044417649	0.386999719	1.101223373	0.673063148
28	0	3.616558099	2.290686254	1.165586071	0.532267878	1.131523741	0.745333076
29	0	3.7794342	2.456580051	1.278010857	0.702119551	1.152937028	0.822232557
30	0	3.846464101	2.585666356	1.330995346	0.808987625	1.163637704	0.880824899
31	0	3.913240199	2.705904013	1.365283885	0.847389484	1.188964822	0.927356064
32	0	3.743104294	2.583841744	1.315893883	0.78732145	1.112748163	0.848701188
33	0	3.544299671	2.452151961	1.233500706	0.731060571	1.073078131	0.775227797
34	0	3.297055604	2.262360992	1.105737884	0.587681468	1.038808789	0.695617931
35	0	3.103725437	2.05600046	1.04276515	0.509000502	0.987120851	0.606380989
36	0	2.815729014	1.825232191	0.997602698	0.625871067	0.936680646	0.499997958
37	0	2.825624633	1.833545654	0.980578685	0.817347983	0.949297685	0.501807356
38	0	2.779220317	1.855049617	0.980997655	0.998739171	0.939824791	0.487686935
39	0	2.72943874	1.920558956	1.028371466	1.215508508	0.952269491	0.467411941
40	0	2.68751849	2.009717022	1.069648956	1.420792636	1.019492242	0.454776947
41	0	2.680426056	2.06997493	1.12185593	1.477469285	1.077337418	0.466473384
42	0	2.664653869	2.107489942	1.165268631	1.531084656	1.122957687	0.472202687
43	0	2.69419826	2.096632848	1.192803395	1.572204547	1.158645855	0.467131289
44	0	2.81172441	2.075703829	1.302169818	1.557688685	1.214617781	0.48843518
45	0	2.874335931	1.996692231	1.356853686	1.42851655	1.209864634	0.500383494
46	0	2.957239923	1.925802772	1.409943691	1.360617327	1.223814717	0.510704823
47	0	3.032868573	1.877968573	1.48351934	1.228508995	1.227566543	0.496772954
48	0	3.10038258	1.885637634	1.543728375	1.067289924	1.214899425	0.499006802
49	0	3.07282915	1.861011649	1.459912339	0.904369473	1.137896252	0.477313586
50	0	3.057183661	1.851240222	1.396680487	0.81779741	1.098961936	0.477817565
51	0	3.002381896	1.830071174	1.330165728	0.602917523	1.067858792	0.475528925
52	0	2.900255405	1.817301391	1.273288224	0.415237014	1.069321762	0.491484347
53	0	2.834029027	1.763850922	1.238552765	0.226198416	1.095325935	0.504065676
54	0	2.81164857	1.731506232	1.2493944	0.045736986	1.15053725	0.552845722
55	0	2.779382523	1.712187277	1.252763134	-0.093028192	1.19777874	0.599112315
56	0	2.748493073	1.680814184	1.218719521	-0.062544921	1.21619191	0.633944914
57	0	2.794716381	1.613303436	1.114412459	-0.029711768	1.213693787	0.664736969
58	0	2.70070228	1.611983177	0.979602383	-0.066162979	1.202321469	0.705452264
59	0	2.684403424	1.653677756	0.922661494	-0.069037597	1.171556624	0.708751642
60	0	2.771831397	1.747627742	0.895322583	-0.079459897	1.172668835	0.690760969
61	0	2.868504575	1.848798013	0.883674844	-0.069299174	1.174736011	0.681706289
62	0	2.877784745	1.946782846	0.919221251	-0.059365621	1.167031032	0.667069197
63	0	3.044494538	2.031173724	0.987019758	0.031472227	1.169230663	0.63705465
64	0	3.12372402	2.068408444	1.05269233	0.045247139	1.194014142	0.630920415
65	0	3.112853541	2.03019486	1.073873473	0.053438906	1.143532843	0.662943628
66	0	3.165548561	2.030950809	1.126989385	0.096915364	1.13028678	0.700396518
