num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	2.900055161	1.065290412	1.971914857	1.09037427	1.004648863	-1.500490695
2	0	2.900055161	1.065290412	1.971914857	1.09037427	1.004648863	-1.500490695
3	0	2.887325298	1.057938979	1.955794294	1.093981026	1.000966208	-1.48799961
4	0	2.854709225	1.040971576	1.938048313	1.102510443	0.988987936	-1.454929377
5	0	2.786893729	1.004480481	1.892855873	1.093693241	0.965280826	-1.418122855
6	0	2.703540913	0.976541607	1.820354002	1.095408026	0.928969451	-1.377362181
7	0	2.585371184	0.9213085	1.728602301	1.10790076	0.879501722	-1.209684538
8	0	2.479325852	0.85220173	1.648155803	1.134529296	0.843045858	-1.065766487
9	0	2.414310572	0.773324258	1.537970036	1.172031576	0.830406192	-0.950037583
10	0	2.439842184	0.709889074	1.470237371	1.258275331	0.848064097	-0.838678639
11	0	2.486193304	0.58210616	1.442340291	1.339231714	0.89308525	-0.732434418
12	0	2.584103564	0.485863264	1.419117827	1.415410404	0.959053354	-0.770603764
13	0	2.674150636	0.420836079	1.395235311	1.475023923	1.005196443	-0.817580254
14	0	2.748734444	0.387784602	1.397545082	1.521246028	1.030862073	-0.869694168
15	0	2.796085997	0.37024766	1.383863097	1.541273288	1.035884854	-0.936732718
16	0	2.842239778	0.420376652	1.360479898	1.554218536	1.021816316	-1.021084325
17	0	2.874383757	0.470148129	1.348290577	1.560298484	0.989895216	-1.025312937
18	0	2.905526597	0.517559412	1.335950841	1.56634169	0.956921465	-1.029559506
19	0	2.935728781	0.562824247	1.323456931	1.572348595	0.922823262	-1.033824186
20	0	2.965045472	0.606128598	1.310804946	1.578319632	0.887521203	-1.038107131
21	0	2.993527117	0.647635261	1.297990835	1.584255227	0.850927159	-1.042408498
22	0	3.021219973	0.687487559	1.285010389	1.590155799	0.812942958	-1.046728447
23	0	3.048166554	0.725812333	1.271859233	1.596021758	0.773458796	-1.051067139
24	0	3.074406029	0.762722371	1.258532817	1.601853508	0.73235132	-1.055424738
25	0	3.099974562	0.798318414	1.245026405	1.607651446	0.689481307	-1.059801408
26	0	3.124905611	0.832690811	1.23133507	1.613415962	0.644690818	-1.064197318
27	0	3.149230192	0.865920902	1.217453677	1.619147438	0.597799684	-1.068612637
28	0	3.189605768	0.892987202	1.206277077	1.633888691	0.555828897	-1.07585901
29	0	3.21014459	0.932206186	1.231977341	1.660730544	0.522059036	-1.084103431
30	0	3.213188811	1.000624036	1.327215354	1.709094812	0.530757939	-1.108279913
31	0	3.177323851	1.171165993	1.469664827	1.749746885	0.542110898	-1.129055858
32	0	3.164542981	1.319418671	1.650776473	1.783247166	0.562418465	-1.149559498
33	0	3.130512054	1.452960532	1.84344877	1.793366216	0.57910875	-1.16386973
34	0	3.138203069	1.552597369	2.003807505	1.772919313	0.589550496	-1.176128887
35	0	3.173568295	1.603435795	2.106960936	1.697486573	0.532418479	-1.154564393
36	0	3.264396777	1.506678365	2.16965112	1.613871265	0.484531866	-1.141859857
