num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	2.991753266	1.574239777	1.539813366	2.661911077	0.730759419	0.999890581
2	0	2.991753266	1.620798995	1.539813366	2.635071909	0.730759419	0.98773025
3	0	2.991753266	1.72504782	1.539813366	2.538160871	1.067791851	0.903606752
4	0	3.384799935	1.855537957	1.650444419	2.435226189	1.140188387	0.816798757
5	0	3.56624203	1.97080624	1.685774199	2.280883441	1.19682067	0.693775622
6	0	3.672940253	2.06751919	1.695168449	2.112938652	1.244416546	0.541201749
7	0	3.779805489	2.186544734	1.737664061	1.982774257	1.168910064	0.417551823
8	0	3.857155746	2.265573414	1.846310789	1.977933203	1.118346791	0.431823609
9	0	3.721818306	2.260237628	1.868236518	2.037232363	1.109322327	0.595193017
10	0	3.656735472	2.270897112	1.83888659	2.157872992	1.132897954	0.765770067
11	0	3.671310689	2.266291883	1.830755059	2.279115814	1.163379754	0.933736685
12	0	3.616789504	2.167188372	1.792110842	2.394268887	1.180682159	1.065137712
13	0	3.610562898	2.09244126	1.677051491	2.401708704	1.213508112	1.080193529
14	0	3.612038637	2.066474903	1.539813366	2.436904877	1.256483183	0.954923717
15	0	3.612038817	1.986615943	1.539813366	2.475851299	1.232627847	0.802283068
16	0	3.542626707	1.908757007	1.687600442	2.404078481	1.212785706	0.619337494
17	0	3.505080579	1.915730575	1.795549482	2.482832736	1.14237719	0.415235324
18	0	3.399081096	1.917933334	1.856598002	2.556197446	1.05575817	0.291984357
19	0	3.247267104	1.911784027	1.910887578	2.568081197	0.968535215	0.305575931
20	0	3.070563681	1.96343194	1.969282942	2.570764028	0.949905828	0.327360938
21	0	2.904552057	1.990394273	1.914626663	2.64698476	0.902670294	0.320352688
22	0	2.782882616	1.962924215	1.869884435	2.584854019	0.904990947	0.285705906
23	0	2.716404031	1.869367318	1.878772967	2.552060551	0.884571792	0.252643978
24	0	2.689193772	1.780944646	1.926717957	2.540628518	0.811116759	0.219170398
25	0	2.687574789	1.63768418	1.997628198	2.528536969	0.709822778	0.188674604
26	0	2.678579842	1.523621478	2.059244842	2.488635774	0.644189335	0.178265981
27	0	2.771468354	1.519671789	2.017647869	2.470563811	0.607810723	0.191674516
28	0	2.872400927	1.617516896	2.054365023	2.461005319	0.639125601	0.186895076
29	0	2.948383683	1.71933225	2.029308098	2.531499691	0.705742484	0.190179319
30	0	3.048939811	1.83172853	1.977107006	2.589662987	0.770091784	0.195403389
31	0	3.216780787	1.914146789	1.937856816	2.547880371	0.811026261	0.20855564
32	0	3.216877342	1.957473697	2.014289182	2.613865187	0.846971071	0.212893832
33	0	3.218170132	1.957246322	1.99635266	2.6574574	0.848573574	0.226114717
34	0	3.233634218	1.90691189	2.0250486	2.577478355	0.845647712	0.225511468
35	0	3.204024388	1.865332278	2.021439886	2.472864621	0.889049839	0.211151652
