num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	4.084729389	3.766696823	2.229415786	1.25986169	1.211171666	1.782397248
2	0	4.084729389	3.766696823	2.229415786	1.25986169	1.211171666	1.782397248
3	0	4.084729389	3.763628356	2.258939692	1.25986169	1.242116146	1.78015773
4	0	4.084729389	3.75345596	2.320775673	1.25986169	1.295490015	1.77401014
5	0	4.084729389	3.731865418	2.414125036	1.25986169	1.362459409	1.762208762
6	0	4.893141726	3.693845859	2.53495105	1.25986169	1.435264518	1.742845181
7	0	5.296242208	3.632934075	2.677226472	1.25986169	1.507739041	1.713716689
8	0	5.568328386	3.547430825	2.80113224	1.25986169	1.530572851	1.677105465
9	0	5.760663014	3.442911864	2.875436564	1.25986169	1.545961674	1.623225202
10	0	5.889505656	3.343600353	2.904896109	1.425640012	1.54494741	1.554409396
11	0	5.778502721	3.249075342	2.887209512	1.507500416	1.538079897	1.477729826
12	0	5.645170504	3.153949229	2.824581727	1.523062162	1.514540629	1.399579453
13	0	5.496862551	3.069476448	2.717164517	1.512778803	1.510676343	1.320186798
14	0	5.330621627	2.997824813	2.62434658	1.476736366	1.486165792	1.382970993
15	0	5.19146888	2.916649566	2.571559163	1.286537092	1.447889066	1.580421269
16	0	5.051616543	2.961479452	2.644190548	1.196040301	1.390887141	1.517624913
17	0	4.941342339	3.030008915	2.714513634	1.218504571	1.33776635	1.721019224
18	0	4.752636142	3.118479021	2.808902067	1.238261868	1.295483221	1.877944412
19	0	4.537427065	3.214839492	2.885934698	1.327328222	1.241371764	1.87925391
20	0	4.283893371	3.294895489	2.936465206	1.397276872	1.203547796	1.692736092
21	0	4.017740865	3.207191851	2.84826195	1.448860587	1.182745289	1.675607086
22	0	3.726832181	3.118659681	2.769807538	1.467150651	1.204571633	1.371809195
23	0	3.648890923	3.025392501	2.66108955	1.527495184	1.204916245	0.987411687
24	0	3.670191293	2.907996278	2.542082434	1.537451507	1.216646268	0.659149851
25	0	3.683340908	2.779252651	2.411273154	1.546848729	1.280133261	0.559498284
26	0	3.662111205	2.741534864	2.364312002	1.494441806	1.332602165	0.55951295
27	0	3.650765316	2.696056047	2.317898186	1.463439754	1.378630931	0.567384713
28	0	3.613725123	2.612512004	2.295599918	1.488417863	1.451409359	0.540635891
29	0	3.595917661	2.517762253	2.276353857	1.591612713	1.550388687	0.496652836
30	0	3.540871806	2.381441752	2.245660002	1.551244122	1.589013564	0.466588915
31	0	3.546378662	2.285294338	2.242291424	1.547853531	1.63410755	0.449322796
32	0	3.615189551	2.176402507	2.207023064	1.528850572	1.662259823	0.442761765
33	0	3.713629263	2.14335141	2.164989288	1.438236219	1.662650923	0.481040676
34	0	3.744166464	2.111536083	2.126621253	1.430600913	1.613426751	0.534014974
35	0	3.794003237	2.19011437	2.103064391	1.529717189	1.55810876	0.594717537
36	0	3.843983215	2.284178887	2.052043213	1.614025976	1.509920244	0.653042252
37	0	3.763270109	2.370984927	2.008083507	1.669359256	1.410788515	0.704761833
38	0	3.6025576	2.360578692	1.946219903	1.712164093	1.300627866	0.723214319
39	0	3.441821204	2.363716374	1.859770817	1.607096266	1.252600317	0.727066187
40	0	3.369863444	2.296469794	1.748543966	1.540695348	1.251372253	0.702012537
41	0	3.231553465	2.169413366	1.644481382	1.479832978	1.248723343	0.658599271
42	0	3.232536064	2.029850672	1.55211603	1.459600637	1.283330519	0.598068807
43	0	3.296643421	1.977664524	1.460616453	1.403047802	1.334602844	0.537388376
44	0	3.38516284	1.98339322	1.419192544	1.419737872	1.335115293	0.4916406
45	0	3.303253713	2.038156761	1.415730444	1.414899172	1.318815706	0.451181083
46	0	3.263575979	2.102618631	1.392119781	1.384636289	1.252009162	0.440334796
47	0	3.241843178	2.131363578	1.386910513	1.321930867	1.23676435	0.421822613
48	0	3.208315369	2.105708146	1.381098709	1.330345712	1.210073613	0.403322334
49	0	3.169121882	2.028637568	1.31709857	1.259516085	1.199860692	0.358096081
50	0	3.218513038	1.981108126	1.266240047	1.203896813	1.205075228	0.351700746
51	0	3.221230049	1.950933827	1.265277632	1.248340017	1.247682147	0.332331225
52	0	3.121671696	1.964781901	1.26279506	1.294459095	1.238865393	0.358159652
53	0	3.019340768	2.020175971	1.28304411	1.305820202	1.263967661	0.390833837
54	0	2.88744478	2.016562385	1.337831105	1.340738954	1.291871565	0.445999487
55	0	2.715270607	1.92641969	1.356219875	1.404336484	1.258541561	0.458641417
56	1	2.59176435	1.84983276	1.377656356	1.336946315	1.221702517	0.449613407
57	1	2.552279252	1.764715318	1.38251907	1.277046229	1.193364276	0.420500857
58	1	2.562403337	1.655308825	1.400328915	1.226459394	1.112803147	0.427664023
59	1	2.574857968	1.647793022	1.410725976	1.208053058	1.10029299	0.468615269
60	1	2.598195157	1.679814058	1.422375322	1.121583788	1.15052805	0.542176747
61	1	2.601217494	1.67796151	1.402625897	1.120282523	1.190203119	0.661434851
62	1	2.630571979	1.660381515	1.388576385	1.119341522	1.232444305	0.755582848
63	1	2.593435732	1.648186964	1.344925122	1.138184058	1.344752936	0.812224366
64	1	2.560993072	1.58179751	1.295504764	1.113265205	1.371425989	0.84867313
65	1	2.606183165	1.558279365	1.279724383	1.118778399	1.399195722	0.870091594
66	1	2.636319428	1.620647357	1.282071576	1.16656232	1.419370185	0.859892513
67	1	2.688414512	1.678778631	1.289973012	1.23438678	1.42939322	0.866927989
68	1	2.766236975	1.75126016	1.327848553	1.260316186	1.35398183	0.867582037
69	1	2.840640455	1.846470874	1.370398483	1.278688961	1.289668356	0.813868833
70	1	2.955104794	1.93290997	1.413212305	1.314657648	1.196496085	0.749900431
71	1	3.08281137	1.941337272	1.4547466	1.296299313	1.106889316	0.662053271
72	1	3.225797911	2.017960608	1.528464849	1.216977	0.99272094	0.5523016
73	1	3.382846701	2.083972695	1.589441211	1.169679041	1.009860426	0.450234743
74	1	3.543755086	2.148841317	1.653367808	1.146618664	1.041247719	0.444387214
75	1	3.577501585	2.188071247	1.659043298	1.104579905	1.084372298	0.517857696
76	1	3.67050889	2.243479756	1.655098384	1.043133957	1.170683636	0.694886859
77	1	3.693457329	2.197022757	1.570578006	1.014987555	1.289702008	0.869926999
78	1	3.681836409	2.153474892	1.480556311	0.97669258	1.278585193	1.110381862
79	1	3.773522615	2.105882352	1.350996848	0.98013391	1.255982388	1.340274584
80	1	3.936082663	2.072329196	1.261620726	0.969829284	1.264377605	1.519696748
81	1	4.046888548	2.020816815	1.199569652	0.984789642	1.249472076	1.67038316
82	1	4.236703503	2.050484396	1.240579851	1.040422851	1.209552489	1.811393532
83	1	4.466226192	2.056938506	1.315287433	1.069714085	1.238490113	1.868818137
84	1	4.595629931	2.037009092	1.426591554	1.025725854	1.337179686	1.872647964
85	1	4.696464992	1.996148252	1.532222057	1.008633854	1.427104894	1.838061974
86	1	4.776518883	1.96422764	1.591728411	0.997986776	1.524552712	1.75723528
87	1	4.862773442	1.926960694	1.63282915	0.974895177	1.506163397	1.620328881
88	1	4.87333273	1.898350044	1.6238577	0.983196881	1.605566596	1.49251214
