num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	4.61E-05	1.02E-05	2.02E-05	0.000500085	0.999423
3	rest	2.13E-06	6.21E-06	1.84E-05	0.00029207	0.999681
4	rest	1.82E-05	3.91E-05	2.70E-05	9.19E-06	0.999907
5	rest	4.44E-05	2.56E-05	7.78E-05	4.45E-05	0.999808
6	rest	3.25E-05	2.20E-05	2.00E-05	1.66E-05	0.999909
7	rest	1.76E-05	1.98E-05	4.86E-06	6.15E-06	0.999952
8	rest	3.32E-05	2.81E-05	3.37E-05	1.77E-05	0.999887
9	rest	2.77E-05	5.03E-05	3.77E-05	1.31E-05	0.999871
10	rest	4.01E-05	1.63E-05	3.48E-05	2.55E-05	0.999883
11	rest	3.47E-05	1.54E-05	2.59E-05	1.24E-05	0.999912
12	rest	4.13E-06	2.34E-06	5.55E-06	2.01E-06	0.999986
13	rest	4.92E-05	1.46E-05	7.47E-06	1.11E-05	0.999918
14	rest	1.35E-05	1.23E-05	5.10E-05	2.37E-05	0.999899
15	rest	2.80E-05	1.46E-05	1.40E-05	1.85E-05	0.999925
16	rest	2.52E-05	3.54E-05	2.41E-05	1.73E-05	0.999898
17	rest	4.64E-06	5.84E-06	2.42E-06	6.46E-06	0.999981
18	rest	2.33E-05	2.90E-05	1.03E-05	6.66E-06	0.999931
19	rest	3.00E-06	5.03E-06	6.69E-06	2.55E-06	0.999983
20	rest	6.41E-06	1.99E-05	1.18E-05	1.26E-05	0.999949
21	rest	9.98E-05	0.000172137	0.000125721	0.000433496	0.999169
22	rest	4.90E-05	7.46E-05	1.89E-05	0.000158652	0.999699
23	rest	2.47E-05	0.000104336	0.000117538	5.13E-05	0.999702
24	rest	1.33E-05	1.64E-05	2.39E-05	4.81E-05	0.999898
25	rest	3.39E-05	2.33E-05	3.46E-05	1.99E-05	0.999888
26	rest	1.29E-05	7.17E-06	8.65E-06	2.97E-06	0.999968
27	rest	1.97E-05	3.69E-05	8.99E-05	0.000113286	0.99974
28	rest	3.35E-05	2.91E-05	3.17E-05	4.82E-05	0.999858
29	rest	8.21E-06	7.60E-06	4.11E-06	2.74E-06	0.999977
30	rest	1.87E-05	1.47E-05	1.05E-05	1.85E-05	0.999938
31	rest	1.61E-05	1.76E-05	2.51E-05	8.21E-05	0.999859
32	rest	2.13E-05	2.13E-05	1.32E-05	2.28E-05	0.999921
33	rest	2.50E-05	4.34E-05	5.63E-05	6.93E-05	0.999806
34	rest	2.02E-05	5.62E-05	2.49E-05	2.71E-05	0.999872
35	rest	7.02E-05	7.32E-05	3.65E-05	2.43E-05	0.999796
36	rest	3.79E-05	6.75E-05	2.06E-05	4.37E-05	0.99983
37	rest	2.54E-05	6.69E-05	2.40E-05	5.06E-06	0.999879
38	rest	6.38E-05	1.45E-05	4.20E-05	7.21E-06	0.999872
39	rest	4.82E-05	1.96E-05	3.30E-05	6.76E-06	0.999892
40	rest	2.39E-05	1.54E-05	1.25E-05	3.73E-06	0.999944
41	rest	1.08E-05	4.91E-06	7.55E-06	1.71E-05	0.99996
42	rest	5.55E-05	5.44E-05	0.000219282	0.000146803	0.999524
43	rest	9.27E-05	0.000125489	3.16E-05	9.96E-05	0.999651
44	rest	4.80E-05	5.71E-05	1.11E-05	9.75E-05	0.999786
45	rest	4.02E-06	1.18E-05	9.54E-06	4.94E-06	0.99997
46	rest	5.67E-05	5.99E-05	7.72E-05	8.61E-05	0.99972
47	rest	8.76E-05	0.00011512	6.19E-05	0.000150989	0.999584
48	rest	0.000221559	0.00014557	0.000225811	9.92E-05	0.999308
49	rest	3.71E-05	4.06E-05	1.59E-05	1.33E-05	0.999893
50	rest	3.04E-05	2.41E-05	3.55E-05	3.20E-05	0.999878
51	rest	9.33E-05	0.000112763	0.000177505	0.000455435	0.999161
52	rest	0.000170802	0.000251224	3.74E-05	7.28E-05	0.999468
53	rest	6.56E-06	9.50E-06	5.27E-06	7.00E-06	0.999972
54	rest	2.44E-05	3.78E-05	4.01E-05	2.26E-05	0.999875
55	rest	8.89E-05	3.44E-05	1.31E-05	3.26E-05	0.999831
56	rest	9.48E-06	1.04E-05	1.80E-05	6.93E-06	0.999955
