num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.000159977	0.000105627	0.000134298	0.000205831	0.999394
3	rest	3.35E-05	3.07E-05	5.48E-05	0.00125269	0.998628
4	rest	0.000167503	0.000164422	2.58E-05	0.000216129	0.999426
5	rest	5.19E-05	7.52E-05	9.28E-05	7.54E-05	0.999705
6	rest	7.88E-05	2.79E-05	2.32E-05	2.85E-05	0.999842
7	rest	4.34E-05	5.50E-05	7.85E-05	7.50E-05	0.999748
8	rest	2.20E-05	1.73E-05	4.07E-05	5.11E-05	0.999869
9	rest	6.59E-05	4.94E-05	7.76E-05	6.14E-05	0.999746
10	rest	1.98E-05	3.99E-05	2.26E-05	1.28E-05	0.999905
11	rest	2.18E-05	7.24E-05	2.46E-05	1.05E-05	0.999871
12	rest	8.84E-05	1.99E-05	1.69E-05	1.65E-05	0.999858
13	rest	1.68E-05	7.06E-06	3.46E-06	4.79E-06	0.999968
14	rest	5.06E-05	1.41E-05	1.05E-05	2.80E-05	0.999897
15	rest	5.72E-05	3.72E-05	1.35E-05	0.000138881	0.999753
16	rest	8.70E-05	0.000179226	4.27E-05	9.50E-05	0.999596
17	rest	1.98E-05	4.53E-05	2.29E-05	1.96E-05	0.999892
18	rest	2.83E-05	8.86E-05	3.52E-05	5.62E-05	0.999792
19	rest	2.44E-05	8.50E-05	5.52E-05	0.000176337	0.999659
20	rest	1.16E-05	4.85E-05	2.63E-05	7.24E-06	0.999906
21	rest	3.40E-05	5.83E-05	0.000130319	7.67E-05	0.999701
22	rest	9.43E-05	4.36E-05	5.84E-05	3.53E-05	0.999768
23	rest	0.000163702	0.000130737	0.000112366	7.73E-05	0.999516
24	rest	0.000102364	7.16E-05	7.15E-05	0.000122488	0.999632
25	rest	6.86E-05	5.24E-05	4.47E-05	5.55E-05	0.999779
26	rest	6.92E-05	0.000105504	8.69E-05	5.93E-05	0.999679
27	rest	6.97E-05	0.000103278	9.33E-05	0.000106477	0.999627
28	rest	0.000138488	6.55E-05	4.82E-05	5.61E-05	0.999692
29	rest	0.000102585	5.98E-05	5.75E-05	8.94E-05	0.999691
30	rest	1.42E-05	9.18E-06	7.33E-06	8.36E-06	0.999961
31	rest	0.000122334	5.37E-05	3.00E-05	4.84E-05	0.999746
32	rest	3.27E-05	2.71E-05	1.37E-05	5.13E-05	0.999875
33	rest	7.16E-05	0.000100268	4.42E-05	7.10E-05	0.999713
34	rest	9.17E-06	9.10E-06	6.19E-06	4.65E-06	0.999971
35	rest	5.66E-05	3.87E-05	3.41E-05	4.50E-05	0.999826
36	rest	0.000496539	0.000232038	0.000705801	0.00283925	0.995726
37	rest	0.000606101	0.00120776	0.000392419	0.00109165	0.996702
38	rest	6.31E-05	0.00021064	1.68E-05	2.88E-05	0.999681
39	rest	0.000124686	0.000146417	0.000107395	0.000145747	0.999476
40	rest	0.000147182	0.000148865	1.03E-05	5.02E-05	0.999643
41	rest	3.79E-05	7.21E-05	2.16E-05	1.46E-05	0.999854
42	rest	4.57E-05	5.37E-05	2.97E-05	0.000135919	0.999735
43	rest	1.31E-05	7.25E-05	5.36E-05	7.08E-05	0.99979
44	rest	4.09E-05	8.20E-05	2.55E-05	5.05E-05	0.999801
45	rest	8.68E-05	8.13E-05	5.78E-05	7.01E-05	0.999704
