onset	duration	category
255421	n/a	MRI_trigger
265921	n/a	MRI_trigger
276421	n/a	MRI_trigger
286921	n/a	MRI_trigger
297421	n/a	MRI_trigger
307921	n/a	MRI_trigger
318421	n/a	MRI_trigger
328921	n/a	MRI_trigger
339421	n/a	MRI_trigger
349921	n/a	MRI_trigger
360421	n/a	MRI_trigger
370921	n/a	MRI_trigger
381421	n/a	MRI_trigger
391921	n/a	MRI_trigger
402421	n/a	MRI_trigger
412921	n/a	MRI_trigger
423421	n/a	MRI_trigger
433921	n/a	MRI_trigger
444421	n/a	MRI_trigger
454921	n/a	MRI_trigger
465421	n/a	MRI_trigger
475921	n/a	MRI_trigger
486421	n/a	MRI_trigger
496921	n/a	MRI_trigger
507421	n/a	MRI_trigger
517921	n/a	MRI_trigger
528421	n/a	MRI_trigger
538921	n/a	MRI_trigger
549421	n/a	MRI_trigger
559921	n/a	MRI_trigger
570421	n/a	MRI_trigger
580921	n/a	MRI_trigger
591421	n/a	MRI_trigger
601921	n/a	MRI_trigger
612421	n/a	MRI_trigger
622921	n/a	MRI_trigger
633421	n/a	MRI_trigger
643921	n/a	MRI_trigger
654421	n/a	MRI_trigger
664921	n/a	MRI_trigger
675421	n/a	MRI_trigger
685921	n/a	MRI_trigger
696421	n/a	MRI_trigger
706921	n/a	MRI_trigger
717421	n/a	MRI_trigger
727921	n/a	MRI_trigger
738421	n/a	MRI_trigger
748921	n/a	MRI_trigger
759421	n/a	MRI_trigger
769921	n/a	MRI_trigger
780421	n/a	MRI_trigger
790921	n/a	MRI_trigger
801421	n/a	MRI_trigger
811921	n/a	MRI_trigger
822421	n/a	MRI_trigger
832921	n/a	MRI_trigger
843421	n/a	MRI_trigger
853921	n/a	MRI_trigger
864421	n/a	MRI_trigger
874921	n/a	MRI_trigger
885421	n/a	MRI_trigger
895921	n/a	MRI_trigger
906421	n/a	MRI_trigger
916921	n/a	MRI_trigger
927421	n/a	MRI_trigger
937921	n/a	MRI_trigger
948421	n/a	MRI_trigger
958921	n/a	MRI_trigger
969421	n/a	MRI_trigger
979921	n/a	MRI_trigger
990421	n/a	MRI_trigger
1000921	n/a	MRI_trigger
1011421	n/a	MRI_trigger
1021921	n/a	MRI_trigger
1032421	n/a	MRI_trigger
1042921	n/a	MRI_trigger
1053421	n/a	MRI_trigger
1063921	n/a	MRI_trigger
1074421	n/a	MRI_trigger
1084921	n/a	MRI_trigger
1095421	n/a	MRI_trigger
1105921	n/a	MRI_trigger
1116421	n/a	MRI_trigger
1126921	n/a	MRI_trigger
1137421	n/a	MRI_trigger
1147921	n/a	MRI_trigger
1158421	n/a	MRI_trigger
1168921	n/a	MRI_trigger
1179421	n/a	MRI_trigger
1189921	n/a	MRI_trigger
1200421	n/a	MRI_trigger
1210921	n/a	MRI_trigger
1221421	n/a	MRI_trigger
1231921	n/a	MRI_trigger
1242421	n/a	MRI_trigger
1252921	n/a	MRI_trigger
1263421	n/a	MRI_trigger
1273921	n/a	MRI_trigger
1284421	n/a	MRI_trigger
1294921	n/a	MRI_trigger
1305421	n/a	MRI_trigger
1315921	n/a	MRI_trigger
1326421	n/a	MRI_trigger
1336921	n/a	MRI_trigger
1347421	n/a	MRI_trigger
1357921	n/a	MRI_trigger
1368421	n/a	MRI_trigger
1378921	n/a	MRI_trigger
1389421	n/a	MRI_trigger
1399921	n/a	MRI_trigger
1410421	n/a	MRI_trigger
1420921	n/a	MRI_trigger
1431421	n/a	MRI_trigger
1441921	n/a	MRI_trigger
1452421	n/a	MRI_trigger
1462921	n/a	MRI_trigger
1473421	n/a	MRI_trigger
1483921	n/a	MRI_trigger
1494421	n/a	MRI_trigger
1504921	n/a	MRI_trigger
1515421	n/a	MRI_trigger
1525921	n/a	MRI_trigger
1536421	n/a	MRI_trigger
1546921	n/a	MRI_trigger
1557421	n/a	MRI_trigger
1567921	n/a	MRI_trigger
1578421	n/a	MRI_trigger
1588921	n/a	MRI_trigger
1599421	n/a	MRI_trigger
1609921	n/a	MRI_trigger
1620421	n/a	MRI_trigger
1630921	n/a	MRI_trigger
1641421	n/a	MRI_trigger
1651921	n/a	MRI_trigger
1662421	n/a	MRI_trigger
1672921	n/a	MRI_trigger
1683421	n/a	MRI_trigger
1693921	n/a	MRI_trigger
1704421	n/a	MRI_trigger
1714921	n/a	MRI_trigger
1725421	n/a	MRI_trigger
1735921	n/a	MRI_trigger
1746421	n/a	MRI_trigger
1756921	n/a	MRI_trigger
1767421	n/a	MRI_trigger
1777921	n/a	MRI_trigger
1788421	n/a	MRI_trigger
1798921	n/a	MRI_trigger
1809421	n/a	MRI_trigger
1819921	n/a	MRI_trigger
1830421	n/a	MRI_trigger
1840921	n/a	MRI_trigger
1851421	n/a	MRI_trigger
1861921	n/a	MRI_trigger
1872421	n/a	MRI_trigger
1882921	n/a	MRI_trigger
1893421	n/a	MRI_trigger
1903921	n/a	MRI_trigger
1914421	n/a	MRI_trigger
1924921	n/a	MRI_trigger
1935421	n/a	MRI_trigger
1945921	n/a	MRI_trigger
1956421	n/a	MRI_trigger
1966921	n/a	MRI_trigger
1977421	n/a	MRI_trigger
1987921	n/a	MRI_trigger
1998421	n/a	MRI_trigger
2008921	n/a	MRI_trigger
2019421	n/a	MRI_trigger
2029921	n/a	MRI_trigger
2040421	n/a	MRI_trigger
2050921	n/a	MRI_trigger
2061421	n/a	MRI_trigger
2071921	n/a	MRI_trigger
2082421	n/a	MRI_trigger
2092921	n/a	MRI_trigger
2103421	n/a	MRI_trigger
2113921	n/a	MRI_trigger
2124421	n/a	MRI_trigger
2134921	n/a	MRI_trigger
2145421	n/a	MRI_trigger
2155921	n/a	MRI_trigger
2166421	n/a	MRI_trigger
2176921	n/a	MRI_trigger
2187421	n/a	MRI_trigger
2197921	n/a	MRI_trigger
2208421	n/a	MRI_trigger
2218921	n/a	MRI_trigger
2229421	n/a	MRI_trigger
2239921	n/a	MRI_trigger
2250421	n/a	MRI_trigger
2260921	n/a	MRI_trigger
2271421	n/a	MRI_trigger
2281921	n/a	MRI_trigger
2292421	n/a	MRI_trigger
2302921	n/a	MRI_trigger
2313421	n/a	MRI_trigger
2323921	n/a	MRI_trigger
2334421	n/a	MRI_trigger
2344921	n/a	MRI_trigger
2355421	n/a	MRI_trigger
2365921	n/a	MRI_trigger
2376421	n/a	MRI_trigger
2386921	n/a	MRI_trigger
2397421	n/a	MRI_trigger
2407921	n/a	MRI_trigger
2418421	n/a	MRI_trigger
2428921	n/a	MRI_trigger
2439421	n/a	MRI_trigger
2449921	n/a	MRI_trigger
2460421	n/a	MRI_trigger
2470921	n/a	MRI_trigger
2481421	n/a	MRI_trigger
2491921	n/a	MRI_trigger
2502421	n/a	MRI_trigger
2512921	n/a	MRI_trigger
2523421	n/a	MRI_trigger
2533921	n/a	MRI_trigger
2544421	n/a	MRI_trigger
2554921	n/a	MRI_trigger
2565421	n/a	MRI_trigger
2575921	n/a	MRI_trigger
2586421	n/a	MRI_trigger
2596921	n/a	MRI_trigger
2607421	n/a	MRI_trigger
2617921	n/a	MRI_trigger
2628421	n/a	MRI_trigger
2638921	n/a	MRI_trigger
2649421	n/a	MRI_trigger
2659921	n/a	MRI_trigger
2670421	n/a	MRI_trigger
2680921	n/a	MRI_trigger
2691421	n/a	MRI_trigger
2701921	n/a	MRI_trigger
2712421	n/a	MRI_trigger
2722921	n/a	MRI_trigger
2733421	n/a	MRI_trigger
2743921	n/a	MRI_trigger
2754421	n/a	MRI_trigger
2764921	n/a	MRI_trigger
2775421	n/a	MRI_trigger
2785921	n/a	MRI_trigger
2796421	n/a	MRI_trigger
2806921	n/a	MRI_trigger
2817421	n/a	MRI_trigger
2827921	n/a	MRI_trigger
2838421	n/a	MRI_trigger
2848921	n/a	MRI_trigger
2859421	n/a	MRI_trigger
2869921	n/a	MRI_trigger
2880421	n/a	MRI_trigger
2890921	n/a	MRI_trigger
2901421	n/a	MRI_trigger
2911921	n/a	MRI_trigger
2922421	n/a	MRI_trigger
2932921	n/a	MRI_trigger
2943421	n/a	MRI_trigger
2953921	n/a	MRI_trigger
2964421	n/a	MRI_trigger
2974921	n/a	MRI_trigger
2985421	n/a	MRI_trigger
2995921	n/a	MRI_trigger
3006421	n/a	MRI_trigger
3016921	n/a	MRI_trigger
3027421	n/a	MRI_trigger
3037921	n/a	MRI_trigger
3048421	n/a	MRI_trigger
3058921	n/a	MRI_trigger
3069421	n/a	MRI_trigger
3079921	n/a	MRI_trigger
3090421	n/a	MRI_trigger
