num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.000633959	0.00071943	0.000303239	0.000557183	0.997786
3	rest	8.52E-05	0.000106867	6.12E-05	8.26E-05	0.999664
4	rest	2.84E-05	6.48E-05	3.01E-05	8.47E-05	0.999792
5	rest	9.17E-05	0.000110809	4.72E-05	3.25E-05	0.999718
6	rest	5.92E-05	5.72E-05	1.55E-05	4.18E-05	0.999826
7	rest	8.43E-05	6.80E-05	0.000105679	2.20E-05	0.99972
8	rest	0.000184434	4.32E-05	0.000103012	9.67E-05	0.999573
9	rest	0.000226268	0.000113974	8.82E-05	0.000120476	0.999451
10	rest	0.00019085	0.000127173	1.15E-05	3.24E-05	0.999638
11	rest	5.46E-05	1.44E-05	5.83E-06	8.07E-06	0.999917
12	rest	0.000242098	0.000132325	8.52E-05	1.49E-05	0.999525
13	rest	0.000234931	1.07E-05	2.81E-05	1.33E-05	0.999713
14	rest	0.0012178	0.000295816	0.000444832	0.000261663	0.99778
15	rest	0.000287541	5.26E-05	4.20E-05	2.32E-05	0.999595
16	rest	0.000361119	0.000292361	0.000543684	9.53E-05	0.998708
17	rest	0.00133794	0.000519918	0.000690526	0.000332504	0.997119
18	rest	0.000243064	0.000124588	0.000188987	6.48E-05	0.999379
19	rest	0.000154409	0.000100168	9.10E-05	3.47E-05	0.99962
20	rest	8.04E-05	4.67E-05	4.76E-05	3.19E-05	0.999793
21	rest	0.00113433	0.000108053	0.000572712	0.000933417	0.997251
22	rest	0.000273563	9.85E-05	3.03E-05	5.62E-05	0.999541
23	rest	0.000217681	8.11E-05	7.22E-05	0.000283253	0.999346
24	rest	3.44E-05	7.99E-05	2.98E-05	3.88E-05	0.999817
25	rest	9.12E-05	0.000179316	0.000139035	0.000187829	0.999403
26	rest	4.44E-05	3.62E-05	1.92E-05	3.66E-05	0.999864
27	rest	4.50E-05	5.05E-05	6.02E-05	0.000111	0.999733
28	rest	6.53E-05	8.91E-05	4.53E-05	5.30E-05	0.999747
29	rest	2.11E-05	3.64E-05	1.17E-05	3.56E-05	0.999895
30	rest	2.77E-05	2.00E-05	5.86E-05	4.23E-06	0.999889
31	rest	1.30E-05	1.61E-05	7.62E-06	3.07E-06	0.99996
32	rest	2.31E-05	1.49E-05	1.21E-05	2.05E-05	0.999929
33	rest	0.000333593	0.0001129	9.20E-05	0.000101205	0.99936
34	rest	8.35E-05	0.0001376	3.39E-05	4.59E-05	0.999699
35	rest	3.85E-05	1.85E-05	2.53E-05	9.87E-06	0.999908
36	rest	8.24E-05	2.78E-05	0.000208984	1.51E-05	0.999666
37	rest	3.71E-05	1.39E-05	1.58E-06	1.71E-06	0.999946
38	rest	4.78E-05	2.49E-05	5.22E-05	1.24E-05	0.999863
39	rest	0.000111816	3.87E-05	4.86E-05	2.40E-05	0.999777
40	rest	8.86E-05	4.28E-05	6.10E-05	8.29E-06	0.999799
