onset	duration	category
98220	n/a	MRI_trigger
108720	n/a	MRI_trigger
119220	n/a	MRI_trigger
129720	n/a	MRI_trigger
140220	n/a	MRI_trigger
150720	n/a	MRI_trigger
161220	n/a	MRI_trigger
171720	n/a	MRI_trigger
182220	n/a	MRI_trigger
192720	n/a	MRI_trigger
203220	n/a	MRI_trigger
213720	n/a	MRI_trigger
224220	n/a	MRI_trigger
234720	n/a	MRI_trigger
245220	n/a	MRI_trigger
255720	n/a	MRI_trigger
266220	n/a	MRI_trigger
276720	n/a	MRI_trigger
287220	n/a	MRI_trigger
297720	n/a	MRI_trigger
308220	n/a	MRI_trigger
318720	n/a	MRI_trigger
329220	n/a	MRI_trigger
339720	n/a	MRI_trigger
350220	n/a	MRI_trigger
360720	n/a	MRI_trigger
371220	n/a	MRI_trigger
381720	n/a	MRI_trigger
392220	n/a	MRI_trigger
402720	n/a	MRI_trigger
413220	n/a	MRI_trigger
423720	n/a	MRI_trigger
434220	n/a	MRI_trigger
444720	n/a	MRI_trigger
455220	n/a	MRI_trigger
465720	n/a	MRI_trigger
476220	n/a	MRI_trigger
486720	n/a	MRI_trigger
497220	n/a	MRI_trigger
507720	n/a	MRI_trigger
518220	n/a	MRI_trigger
528720	n/a	MRI_trigger
539220	n/a	MRI_trigger
549720	n/a	MRI_trigger
560220	n/a	MRI_trigger
570720	n/a	MRI_trigger
581220	n/a	MRI_trigger
591720	n/a	MRI_trigger
602220	n/a	MRI_trigger
612720	n/a	MRI_trigger
623220	n/a	MRI_trigger
633720	n/a	MRI_trigger
644220	n/a	MRI_trigger
654720	n/a	MRI_trigger
665220	n/a	MRI_trigger
675720	n/a	MRI_trigger
686220	n/a	MRI_trigger
696720	n/a	MRI_trigger
707220	n/a	MRI_trigger
717720	n/a	MRI_trigger
728220	n/a	MRI_trigger
738720	n/a	MRI_trigger
749220	n/a	MRI_trigger
759720	n/a	MRI_trigger
770220	n/a	MRI_trigger
780720	n/a	MRI_trigger
791220	n/a	MRI_trigger
801720	n/a	MRI_trigger
812220	n/a	MRI_trigger
822720	n/a	MRI_trigger
833220	n/a	MRI_trigger
843720	n/a	MRI_trigger
854220	n/a	MRI_trigger
864720	n/a	MRI_trigger
875220	n/a	MRI_trigger
885720	n/a	MRI_trigger
896220	n/a	MRI_trigger
906720	n/a	MRI_trigger
917220	n/a	MRI_trigger
927720	n/a	MRI_trigger
938220	n/a	MRI_trigger
948720	n/a	MRI_trigger
959220	n/a	MRI_trigger
969720	n/a	MRI_trigger
980220	n/a	MRI_trigger
990720	n/a	MRI_trigger
1001220	n/a	MRI_trigger
1011720	n/a	MRI_trigger
1022220	n/a	MRI_trigger
1032720	n/a	MRI_trigger
1043220	n/a	MRI_trigger
1053720	n/a	MRI_trigger
1064220	n/a	MRI_trigger
1074720	n/a	MRI_trigger
1085220	n/a	MRI_trigger
1095720	n/a	MRI_trigger
1106220	n/a	MRI_trigger
1116720	n/a	MRI_trigger
1127220	n/a	MRI_trigger
1137720	n/a	MRI_trigger
1148220	n/a	MRI_trigger
1158720	n/a	MRI_trigger
1169220	n/a	MRI_trigger
1179720	n/a	MRI_trigger
1190220	n/a	MRI_trigger
1200720	n/a	MRI_trigger
1211220	n/a	MRI_trigger
1221720	n/a	MRI_trigger
1232220	n/a	MRI_trigger
1242720	n/a	MRI_trigger
1253220	n/a	MRI_trigger
1263720	n/a	MRI_trigger
1274220	n/a	MRI_trigger
1284720	n/a	MRI_trigger
1295220	n/a	MRI_trigger
1305720	n/a	MRI_trigger
1316220	n/a	MRI_trigger
1326720	n/a	MRI_trigger
1337220	n/a	MRI_trigger
1347720	n/a	MRI_trigger
1358220	n/a	MRI_trigger
1368720	n/a	MRI_trigger
1379220	n/a	MRI_trigger
1389720	n/a	MRI_trigger
1400220	n/a	MRI_trigger
1410720	n/a	MRI_trigger
1421220	n/a	MRI_trigger
1431720	n/a	MRI_trigger
1442220	n/a	MRI_trigger
1452720	n/a	MRI_trigger
1463220	n/a	MRI_trigger
1473720	n/a	MRI_trigger
1484220	n/a	MRI_trigger
1494720	n/a	MRI_trigger
1505220	n/a	MRI_trigger
1515720	n/a	MRI_trigger
1526220	n/a	MRI_trigger
1536720	n/a	MRI_trigger
1547220	n/a	MRI_trigger
1557720	n/a	MRI_trigger
1568220	n/a	MRI_trigger
1578720	n/a	MRI_trigger
1589220	n/a	MRI_trigger
1599720	n/a	MRI_trigger
1610220	n/a	MRI_trigger
1620720	n/a	MRI_trigger
1631220	n/a	MRI_trigger
1641720	n/a	MRI_trigger
1652220	n/a	MRI_trigger
1662720	n/a	MRI_trigger
1673220	n/a	MRI_trigger
1683720	n/a	MRI_trigger
1694220	n/a	MRI_trigger
1704720	n/a	MRI_trigger
1715220	n/a	MRI_trigger
1725720	n/a	MRI_trigger
1736220	n/a	MRI_trigger
1746720	n/a	MRI_trigger
1757220	n/a	MRI_trigger
1767720	n/a	MRI_trigger
1778220	n/a	MRI_trigger
1788720	n/a	MRI_trigger
1799220	n/a	MRI_trigger
1809720	n/a	MRI_trigger
1820220	n/a	MRI_trigger
1830720	n/a	MRI_trigger
1841220	n/a	MRI_trigger
1851720	n/a	MRI_trigger
1862220	n/a	MRI_trigger
1872720	n/a	MRI_trigger
1883220	n/a	MRI_trigger
1893720	n/a	MRI_trigger
1904220	n/a	MRI_trigger
1914720	n/a	MRI_trigger
1925220	n/a	MRI_trigger
1935720	n/a	MRI_trigger
1946220	n/a	MRI_trigger
1956720	n/a	MRI_trigger
1967220	n/a	MRI_trigger
1977720	n/a	MRI_trigger
1988220	n/a	MRI_trigger
1998720	n/a	MRI_trigger
2009220	n/a	MRI_trigger
2019720	n/a	MRI_trigger
2030220	n/a	MRI_trigger
2040720	n/a	MRI_trigger
2051220	n/a	MRI_trigger
2061720	n/a	MRI_trigger
2072220	n/a	MRI_trigger
2082720	n/a	MRI_trigger
2093220	n/a	MRI_trigger
2103720	n/a	MRI_trigger
2114220	n/a	MRI_trigger
2124720	n/a	MRI_trigger
2135220	n/a	MRI_trigger
2145720	n/a	MRI_trigger
2156220	n/a	MRI_trigger
2166720	n/a	MRI_trigger
2177220	n/a	MRI_trigger
2187720	n/a	MRI_trigger
2198220	n/a	MRI_trigger
2208720	n/a	MRI_trigger
2219220	n/a	MRI_trigger
2229720	n/a	MRI_trigger
2240220	n/a	MRI_trigger
2250720	n/a	MRI_trigger
2261220	n/a	MRI_trigger
2271720	n/a	MRI_trigger
2282220	n/a	MRI_trigger
2292720	n/a	MRI_trigger
2303220	n/a	MRI_trigger
2313720	n/a	MRI_trigger
2324220	n/a	MRI_trigger
2334720	n/a	MRI_trigger
2345220	n/a	MRI_trigger
2355720	n/a	MRI_trigger
2366220	n/a	MRI_trigger
2376720	n/a	MRI_trigger
2387220	n/a	MRI_trigger
2397720	n/a	MRI_trigger
2408220	n/a	MRI_trigger
2418720	n/a	MRI_trigger
2429220	n/a	MRI_trigger
2439720	n/a	MRI_trigger
2450220	n/a	MRI_trigger
2460720	n/a	MRI_trigger
2471220	n/a	MRI_trigger
2481720	n/a	MRI_trigger
2492220	n/a	MRI_trigger
2502720	n/a	MRI_trigger
2513220	n/a	MRI_trigger
2523720	n/a	MRI_trigger
2534220	n/a	MRI_trigger
2544720	n/a	MRI_trigger
2555220	n/a	MRI_trigger
2565720	n/a	MRI_trigger
2576220	n/a	MRI_trigger
2586720	n/a	MRI_trigger
2597220	n/a	MRI_trigger
2607720	n/a	MRI_trigger
2618220	n/a	MRI_trigger
2628720	n/a	MRI_trigger
2639220	n/a	MRI_trigger
2649720	n/a	MRI_trigger
2660220	n/a	MRI_trigger
2670720	n/a	MRI_trigger
2681220	n/a	MRI_trigger
2691720	n/a	MRI_trigger
2702220	n/a	MRI_trigger
2712720	n/a	MRI_trigger
2723220	n/a	MRI_trigger
2733720	n/a	MRI_trigger
2744220	n/a	MRI_trigger
2754720	n/a	MRI_trigger
2765220	n/a	MRI_trigger
2775720	n/a	MRI_trigger
2786220	n/a	MRI_trigger
2796720	n/a	MRI_trigger
2807220	n/a	MRI_trigger
2817720	n/a	MRI_trigger
2828220	n/a	MRI_trigger
2838720	n/a	MRI_trigger
2849220	n/a	MRI_trigger
2859720	n/a	MRI_trigger
2870220	n/a	MRI_trigger
2880720	n/a	MRI_trigger
2891220	n/a	MRI_trigger
2901720	n/a	MRI_trigger
2912220	n/a	MRI_trigger
2922720	n/a	MRI_trigger
2933220	n/a	MRI_trigger
2943720	n/a	MRI_trigger
2954220	n/a	MRI_trigger
2964720	n/a	MRI_trigger
2975220	n/a	MRI_trigger
2985720	n/a	MRI_trigger
2996220	n/a	MRI_trigger
3006720	n/a	MRI_trigger
3017220	n/a	MRI_trigger
3027720	n/a	MRI_trigger
3038220	n/a	MRI_trigger
3048720	n/a	MRI_trigger
3059220	n/a	MRI_trigger
3069720	n/a	MRI_trigger
3080220	n/a	MRI_trigger
3090720	n/a	MRI_trigger
3101220	n/a	MRI_trigger
3111720	n/a	MRI_trigger
3122220	n/a	MRI_trigger
3132720	n/a	MRI_trigger
3143220	n/a	MRI_trigger
3153720	n/a	MRI_trigger
3164220	n/a	MRI_trigger
3174720	n/a	MRI_trigger
3185220	n/a	MRI_trigger
3195720	n/a	MRI_trigger
3206220	n/a	MRI_trigger
3216720	n/a	MRI_trigger
3227220	n/a	MRI_trigger
3237720	n/a	MRI_trigger
3248220	n/a	MRI_trigger
3258720	n/a	MRI_trigger
3269220	n/a	MRI_trigger
3279720	n/a	MRI_trigger
3290220	n/a	MRI_trigger
3300720	n/a	MRI_trigger
3311220	n/a	MRI_trigger
3321720	n/a	MRI_trigger
3332220	n/a	MRI_trigger
3342720	n/a	MRI_trigger
3353220	n/a	MRI_trigger
3363720	n/a	MRI_trigger
3374220	n/a	MRI_trigger
3384720	n/a	MRI_trigger
3395220	n/a	MRI_trigger
3405720	n/a	MRI_trigger
3416220	n/a	MRI_trigger
3426720	n/a	MRI_trigger
3437220	n/a	MRI_trigger
3447720	n/a	MRI_trigger
